,Central Banks,Month &,Year,Status,Timeline Description,Name of the CBDC,Type,Structure,Technology Provider,Programmability,Interoperability,Governance structure,Centralized / decentralized,DLT / non-DLT,Technology,Main motivation/goals of the CBDC,Remuneration,International access,Caps/Limits,CBDC emission amount,Offline payments,Anonymity/Privacy,Distribution,Link to announcement,Link to whitepaper,Link to site of project,Links to social networks,Description,Announcement Year,Keywords
Algeria,Banque d’Algérie,January,2023,Research,"Algeria's Prime Minister, Aïmene Benabderrahmane, reportedly said that the Bank of Algeria is working to create a digital dinar as part of a program to digitize payments.",Algerian Digital Dinar,,,,,,,,,,"The main motivation is the digitization of payments by moving towards the adoption of a digital form of money, of which it will ensure the issuance, management and control under the name of the Algerian digital dinar.",,,,,,,,https://www.algerie-focus.com/monnaie-vers-creation-du-dinar-numerique/,,,,,2022,
Argentina,Banco Central de la República Argentina,April,2022,Research,Argentina published a research paper on CBDCs.,,Retail,,,,,,,,,,,,,,,,,https://www.bcra.gob.ar/PublicacionesEstadisticas/Resumen.asp?id=1579,,,,,2022,
Australia,Reserve Bank of Australia,March,2023,Research,"The Reserve Bank of Australia (RBA) and Digital Finance Cooperative Research Centre (DFCRC) announced 14 use case proposals, along with their providers, that will participate in RBA/DFCRC CBDC pilots. The cases include offline payments, tax automation and a CBDC for “trusted Web3 commerce,” with participants ranging from banks — such as Commonwealth Bank and Australia and New Zealand (ANZ) bank — to payment providers like Mastercard. According to the September 2022 RBA white paper, use case end users will be selected by the use case providers. A report on the project is expected to be published around the middle of the year.",eAUD ,Wholesale,Token ,Kaleido,,,,,DLT,Ethereum,,,,,,,,,https://www.rba.gov.au/media-releases/2023/mr-23-06.html,https://www.rba.gov.au/media-releases/2022/mr-22-31.html,,,,2023,
Australia,Reserve Bank of Australia,December,2022,Research,"Reserve Bank of Australia (RBA) central bank digital currency (CBDC) research partner, the Digital Finance Cooperative Research Centre (DFCRC) published an update on the state-of-play regarding the possible CBDC issuance in higher-income economies with good electronic payments systems. It concludes that it is unlikely that there will be actual issuance of retail CBDCs in higher-income countries anytime soon. However, it conjectures that wholesale CBDCs could potentially be implemented sooner, reflecting that, conceptually, they arguably represent only a modest technological modification to the settlement/reserve accounts that central banks currently provide, and might be less of an issue politically than retail CBDCs.",eAUD ,Wholesale,Token ,Kaleido,,,,,DLT,Ethereum,,,,,,,,,https://www.rba.gov.au/speeches/2022/sp-ag-2022-12-08.html,https://dfcrc.com.au/wp-content/uploads/2022/12/Central-Bank-Digital-Currencies-CBDCs-An-update-on-rationales-for-issuance-and-systemic-design-considerations.pdf,,,,2022,
Australia,Reserve Bank of Australia,October,2022,Research,"The Reserve Bank of Australia (RBA) and the Digital Finance Cooperative Research Centre (DFCRC) published a white paper that explains in detail the objectives and approach of their eAUD central bank digital currency (CBDC) project. They also invited interested industry participants to make submissions on CBDC use cases, and offered participants the chance to express interest in operating their use case in a pilot project to test and demonstrate the value proposition. The DFCRC will develop and install the eAUD platform as a private, permissioned Ethereum (Quorum) implementation, and the eAUD ledger will operate as a centralised platform, under the management and oversight of the RBA.",eAUD,Wholesale,Token,Kaleido,,,,,DLT,Ethereum,Understand potential new business model thet CBDC might support,,No,,,,,,https://www.rba.gov.au/media-releases/2022/mr-22-31.html,https://www.rba.gov.au/payments-and-infrastructure/central-bank-digital-currency/pdf/australian-cbdc-pilot-for-digital-finance-innovation-white-paper.pdf,https://dfcrc.com.au/cbdc/,,,2022,
Australia,Reserve Bank of Australia,December,2021,Research,Securities Settlement System focused on wholesale CBDC experiments. ,eAUD,Wholesale,Token,,,,,,,Ethereum,,,,,,,,,https://www.rba.gov.au/media-releases/2021/mr-21-30.html,,,,,2021,
Australia,Reserve Bank of Australia,March,2020,Proof of concept,"Documents regarding the RBA's Innovation Lab's “proof-of-concept of a wholesale settlement system running on a private, permissioned Etherum network” as referenced in the RBA's 2019 submission to the Select Committee on Financial Technology and Regulatory Technology.",eAUD,Wholesale,Token,,,,,,,Ethereum,,,,,,,,,https://www.rba.gov.au/information/foi/disclosure-log/rbafoi-192024.html ,,,,,2020,
Australia,Reserve Bank of Australia,August,2022,Research,"Members of the Reserve Bank of Australia (RBA) Payment Systems Board discussed the increasing interest in central bank digital currency (CBDC) internationally and in Australia. Many see an increased likelihood of issuing some form of CBDC in the future, especially to support wholesale transactions.",eAUD,Wholesale,,,,,,,,,,,,,,,,,"https://www.ledgerinsights.com/reserve-bank-australia-cbdc-likely-wholesale/
https://www.rba.gov.au/media-releases/2022/mr-22-27.html",,,,"The research project is expected to take around a year, after which a report on the findings will be published. These findings will contribute to the Bank's ongoing research into the desirability and feasibility of a CBDC in Australia.",2022,
Australia,Reserve Bank of Australia,August,2022,Research,The Reserve Bank of Australia (RBA) has launched a research project to explore the use case for a CBDC in Australia. It is expected to take about a year to complete and will involve the development of a limited-scale CBDC pilot that will operate in a ring-fenced environment for a period of time. Interested industry participants will be invited to develop specific use cases that demonstrate how a CBDC could be used to provide innovative and value-added payment and settlement services to households and businesses. The Bank and DFCRC will then select a range of different use cases to participate in the pilot based on their potential to provide insights into the possible benefits of a CBDC.,eAUD,Retail ,,,,,,,,,,,,,,,,,https://www.rba.gov.au/media-releases/2022/mr-22-23.html,,,,RBA has launched a research project to look into the use cases for a CBDC in Australia.,2022,
Australia,Reserve Bank of Australia,November,2021,Research,"Tony Richards, Head of Payments Policy at the Reserve Bank of Australia (RBA), revealed that RBA staff are still not convinced that a strong policy case has emerged in Australia for a retail CBDC. Australia's existing electronic payments system already provides households and businesses with a wide range of safe, convenient and low-cost payment services. Also, much (if not all) of the innovation and new functionality that could potentially be enabled by a CBDC could in principle also be enabled by innovation based around commercial bank deposit accounts, e-money or stablecoins. But given the possibility that the balance could shift towards a case for issuance of retail CBDCs, the RBA has been stepping up its CBDC research.",eAUD,Retail,,,,,,,,,,,,,,,,,https://www.rba.gov.au/speeches/2021/sp-so-2021-11-18.html,https://www.rba.gov.au/speeches/2021/sp-so-2021-11-18.html,,,Reserve Bank of Australia (RBA) revealed that RBA staff are still not convinced that a strong policy case has emerged in Australia for a retail CBDC.,2021,
Australia,Reserve Bank of Australia,October,2020,Research,"The Reserve Bank of Australia published a paper in which they explained why retail CBDC is important to Australia. Like cash and central bank deposits, the unit of account of the CBDC would be the sovereign currency (i.e. the Australian dollar), and the CBDC would be convertible at par (i.e. one for one) with other forms of money. The Reserve Bank's view is that the public policy case for issuing a general purpose or retail CBDC in Australia is still to be made.",Project Atom,Retail,,,,,,,,,,,,,,,,,https://www.rba.gov.au/speeches/2020/sp-so-2020-10-14.html,,,,,2021,
