,date,hits,keyword,geo,time,gprop,category
1,2/1/2014,0,Bitcoin,AD,2014-02-01 2014-02-28,web,0
2,2/2/2014,0,Bitcoin,AD,2014-02-01 2014-02-28,web,0
3,2/3/2014,0,Bitcoin,AD,2014-02-01 2014-02-28,web,0
4,2/4/2014,0,Bitcoin,AD,2014-02-01 2014-02-28,web,0
5,2/5/2014,0,Bitcoin,AD,2014-02-01 2014-02-28,web,0
6,2/6/2014,0,Bitcoin,AD,2014-02-01 2014-02-28,web,0
7,2/7/2014,0,Bitcoin,AD,2014-02-01 2014-02-28,web,0
8,2/8/2014,0,Bitcoin,AD,2014-02-01 2014-02-28,web,0
9,2/9/2014,0,Bitcoin,AD,2014-02-01 2014-02-28,web,0
10,2/10/2014,0,Bitcoin,AD,2014-02-01 2014-02-28,web,0
11,2/11/2014,70,Bitcoin,AD,2014-02-01 2014-02-28,web,0
12,2/12/2014,0,Bitcoin,AD,2014-02-01 2014-02-28,web,0
13,2/13/2014,0,Bitcoin,AD,2014-02-01 2014-02-28,web,0
14,2/14/2014,0,Bitcoin,AD,2014-02-01 2014-02-28,web,0
15,2/15/2014,0,Bitcoin,AD,2014-02-01 2014-02-28,web,0
16,2/16/2014,0,Bitcoin,AD,2014-02-01 2014-02-28,web,0
17,2/17/2014,0,Bitcoin,AD,2014-02-01 2014-02-28,web,0
18,2/18/2014,0,Bitcoin,AD,2014-02-01 2014-02-28,web,0
19,2/19/2014,100,Bitcoin,AD,2014-02-01 2014-02-28,web,0
20,2/20/2014,0,Bitcoin,AD,2014-02-01 2014-02-28,web,0
21,2/21/2014,0,Bitcoin,AD,2014-02-01 2014-02-28,web,0
22,2/22/2014,0,Bitcoin,AD,2014-02-01 2014-02-28,web,0
23,2/23/2014,0,Bitcoin,AD,2014-02-01 2014-02-28,web,0
24,2/24/2014,56,Bitcoin,AD,2014-02-01 2014-02-28,web,0
25,2/25/2014,87,Bitcoin,AD,2014-02-01 2014-02-28,web,0
26,2/26/2014,0,Bitcoin,AD,2014-02-01 2014-02-28,web,0
27,2/27/2014,64,Bitcoin,AD,2014-02-01 2014-02-28,web,0
28,2/28/2014,0,Bitcoin,AD,2014-02-01 2014-02-28,web,0
29,7/1/2018,0,Bitcoin,AD,2018-07-01 2018-07-31,web,0
30,7/2/2018,0,Bitcoin,AD,2018-07-01 2018-07-31,web,0
31,7/3/2018,0,Bitcoin,AD,2018-07-01 2018-07-31,web,0
32,7/4/2018,0,Bitcoin,AD,2018-07-01 2018-07-31,web,0
33,7/5/2018,0,Bitcoin,AD,2018-07-01 2018-07-31,web,0
34,7/6/2018,0,Bitcoin,AD,2018-07-01 2018-07-31,web,0
35,7/7/2018,0,Bitcoin,AD,2018-07-01 2018-07-31,web,0
36,7/8/2018,90,Bitcoin,AD,2018-07-01 2018-07-31,web,0
37,7/9/2018,45,Bitcoin,AD,2018-07-01 2018-07-31,web,0
38,7/10/2018,0,Bitcoin,AD,2018-07-01 2018-07-31,web,0
39,7/11/2018,0,Bitcoin,AD,2018-07-01 2018-07-31,web,0
40,7/12/2018,0,Bitcoin,AD,2018-07-01 2018-07-31,web,0
41,7/13/2018,72,Bitcoin,AD,2018-07-01 2018-07-31,web,0
42,7/14/2018,100,Bitcoin,AD,2018-07-01 2018-07-31,web,0
43,7/15/2018,0,Bitcoin,AD,2018-07-01 2018-07-31,web,0
44,7/16/2018,0,Bitcoin,AD,2018-07-01 2018-07-31,web,0
45,7/17/2018,0,Bitcoin,AD,2018-07-01 2018-07-31,web,0
46,7/18/2018,0,Bitcoin,AD,2018-07-01 2018-07-31,web,0
47,7/19/2018,85,Bitcoin,AD,2018-07-01 2018-07-31,web,0
48,7/20/2018,0,Bitcoin,AD,2018-07-01 2018-07-31,web,0
49,7/21/2018,0,Bitcoin,AD,2018-07-01 2018-07-31,web,0
50,7/22/2018,0,Bitcoin,AD,2018-07-01 2018-07-31,web,0
