,date,hits,keyword,geo,time,gprop,category
1,1/1/2015,0,Bitcoin,AW,2015-01-01 2015-01-31,web,0
2,1/2/2015,0,Bitcoin,AW,2015-01-01 2015-01-31,web,0
3,1/3/2015,0,Bitcoin,AW,2015-01-01 2015-01-31,web,0
4,1/4/2015,0,Bitcoin,AW,2015-01-01 2015-01-31,web,0
5,1/5/2015,0,Bitcoin,AW,2015-01-01 2015-01-31,web,0
6,1/6/2015,0,Bitcoin,AW,2015-01-01 2015-01-31,web,0
7,1/7/2015,0,Bitcoin,AW,2015-01-01 2015-01-31,web,0
8,1/8/2015,30,Bitcoin,AW,2015-01-01 2015-01-31,web,0
9,1/9/2015,72,Bitcoin,AW,2015-01-01 2015-01-31,web,0
10,1/10/2015,100,Bitcoin,AW,2015-01-01 2015-01-31,web,0
11,1/11/2015,0,Bitcoin,AW,2015-01-01 2015-01-31,web,0
12,1/12/2015,76,Bitcoin,AW,2015-01-01 2015-01-31,web,0
13,1/13/2015,0,Bitcoin,AW,2015-01-01 2015-01-31,web,0
14,1/14/2015,0,Bitcoin,AW,2015-01-01 2015-01-31,web,0
15,1/15/2015,45,Bitcoin,AW,2015-01-01 2015-01-31,web,0
16,1/16/2015,56,Bitcoin,AW,2015-01-01 2015-01-31,web,0
17,1/17/2015,0,Bitcoin,AW,2015-01-01 2015-01-31,web,0
18,1/18/2015,51,Bitcoin,AW,2015-01-01 2015-01-31,web,0
19,1/19/2015,0,Bitcoin,AW,2015-01-01 2015-01-31,web,0
20,1/20/2015,0,Bitcoin,AW,2015-01-01 2015-01-31,web,0
21,1/21/2015,51,Bitcoin,AW,2015-01-01 2015-01-31,web,0
22,1/22/2015,0,Bitcoin,AW,2015-01-01 2015-01-31,web,0
23,1/23/2015,0,Bitcoin,AW,2015-01-01 2015-01-31,web,0
24,1/24/2015,0,Bitcoin,AW,2015-01-01 2015-01-31,web,0
25,1/25/2015,0,Bitcoin,AW,2015-01-01 2015-01-31,web,0
26,1/26/2015,0,Bitcoin,AW,2015-01-01 2015-01-31,web,0
27,1/27/2015,0,Bitcoin,AW,2015-01-01 2015-01-31,web,0
28,1/28/2015,0,Bitcoin,AW,2015-01-01 2015-01-31,web,0
29,1/29/2015,0,Bitcoin,AW,2015-01-01 2015-01-31,web,0
30,1/30/2015,0,Bitcoin,AW,2015-01-01 2015-01-31,web,0
31,1/31/2015,0,Bitcoin,AW,2015-01-01 2015-01-31,web,0
32,12/1/2017,0,Bitcoin,AW,2017-12-01 2017-12-31,web,0
33,12/2/2017,0,Bitcoin,AW,2017-12-01 2017-12-31,web,0
34,12/3/2017,52,Bitcoin,AW,2017-12-01 2017-12-31,web,0
35,12/4/2017,0,Bitcoin,AW,2017-12-01 2017-12-31,web,0
36,12/5/2017,0,Bitcoin,AW,2017-12-01 2017-12-31,web,0
37,12/6/2017,25,Bitcoin,AW,2017-12-01 2017-12-31,web,0
38,12/7/2017,27,Bitcoin,AW,2017-12-01 2017-12-31,web,0
39,12/8/2017,54,Bitcoin,AW,2017-12-01 2017-12-31,web,0
40,12/9/2017,63,Bitcoin,AW,2017-12-01 2017-12-31,web,0
41,12/10/2017,0,Bitcoin,AW,2017-12-01 2017-12-31,web,0
42,12/11/2017,23,Bitcoin,AW,2017-12-01 2017-12-31,web,0
43,12/12/2017,47,Bitcoin,AW,2017-12-01 2017-12-31,web,0
44,12/13/2017,53,Bitcoin,AW,2017-12-01 2017-12-31,web,0
45,12/14/2017,0,Bitcoin,AW,2017-12-01 2017-12-31,web,0
46,12/15/2017,0,Bitcoin,AW,2017-12-01 2017-12-31,web,0
47,12/16/2017,0,Bitcoin,AW,2017-12-01 2017-12-31,web,0
48,12/17/2017,0,Bitcoin,AW,2017-12-01 2017-12-31,web,0
49,12/18/2017,0,Bitcoin,AW,2017-12-01 2017-12-31,web,0
50,12/19/2017,22,Bitcoin,AW,2017-12-01 2017-12-31,web,0
51,12/20/2017,53,Bitcoin,AW,2017-12-01 2017-12-31,web,0
52,12/21/2017,42,Bitcoin,AW,2017-12-01 2017-12-31,web,0
53,12/22/2017,37,Bitcoin,AW,2017-12-01 2017-12-31,web,0
54,12/23/2017,100,Bitcoin,AW,2017-12-01 2017-12-31,web,0
55,12/24/2017,0,Bitcoin,AW,2017-12-01 2017-12-31,web,0
56,12/25/2017,26,Bitcoin,AW,2017-12-01 2017-12-31,web,0
57,12/26/2017,0,Bitcoin,AW,2017-12-01 2017-12-31,web,0
58,12/27/2017,0,Bitcoin,AW,2017-12-01 2017-12-31,web,0
59,12/28/2017,0,Bitcoin,AW,2017-12-01 2017-12-31,web,0
60,12/29/2017,34,Bitcoin,AW,2017-12-01 2017-12-31,web,0
61,12/30/2017,0,Bitcoin,AW,2017-12-01 2017-12-31,web,0
62,12/31/2017,0,Bitcoin,AW,2017-12-01 2017-12-31,web,0
63,1/1/2018,0,Bitcoin,AW,2018-01-01 2018-01-31,web,0
64,1/2/2018,63,Bitcoin,AW,2018-01-01 2018-01-31,web,0
65,1/3/2018,0,Bitcoin,AW,2018-01-01 2018-01-31,web,0
66,1/4/2018,0,Bitcoin,AW,2018-01-01 2018-01-31,web,0
67,1/5/2018,0,Bitcoin,AW,2018-01-01 2018-01-31,web,0
68,1/6/2018,0,Bitcoin,AW,2018-01-01 2018-01-31,web,0
69,1/7/2018,0,Bitcoin,AW,2018-01-01 2018-01-31,web,0
70,1/8/2018,0,Bitcoin,AW,2018-01-01 2018-01-31,web,0
71,1/9/2018,39,Bitcoin,AW,2018-01-01 2018-01-31,web,0
72,1/10/2018,0,Bitcoin,AW,2018-01-01 2018-01-31,web,0
73,1/11/2018,0,Bitcoin,AW,2018-01-01 2018-01-31,web,0
74,1/12/2018,50,Bitcoin,AW,2018-01-01 2018-01-31,web,0
75,1/13/2018,0,Bitcoin,AW,2018-01-01 2018-01-31,web,0
76,1/14/2018,0,Bitcoin,AW,2018-01-01 2018-01-31,web,0
77,1/15/2018,57,Bitcoin,AW,2018-01-01 2018-01-31,web,0
78,1/16/2018,0,Bitcoin,AW,2018-01-01 2018-01-31,web,0
79,1/17/2018,78,Bitcoin,AW,2018-01-01 2018-01-31,web,0
80,1/18/2018,100,Bitcoin,AW,2018-01-01 2018-01-31,web,0
81,1/19/2018,0,Bitcoin,AW,2018-01-01 2018-01-31,web,0
82,1/20/2018,0,Bitcoin,AW,2018-01-01 2018-01-31,web,0
83,1/21/2018,0,Bitcoin,AW,2018-01-01 2018-01-31,web,0
84,1/22/2018,0,Bitcoin,AW,2018-01-01 2018-01-31,web,0
85,1/23/2018,0,Bitcoin,AW,2018-01-01 2018-01-31,web,0
86,1/24/2018,0,Bitcoin,AW,2018-01-01 2018-01-31,web,0
87,1/25/2018,0,Bitcoin,AW,2018-01-01 2018-01-31,web,0
88,1/26/2018,0,Bitcoin,AW,2018-01-01 2018-01-31,web,0
89,1/27/2018,72,Bitcoin,AW,2018-01-01 2018-01-31,web,0
90,1/28/2018,0,Bitcoin,AW,2018-01-01 2018-01-31,web,0
91,1/29/2018,0,Bitcoin,AW,2018-01-01 2018-01-31,web,0
92,1/30/2018,38,Bitcoin,AW,2018-01-01 2018-01-31,web,0
93,1/31/2018,0,Bitcoin,AW,2018-01-01 2018-01-31,web,0
94,3/1/2018,0,Bitcoin,AW,2018-03-01 2018-03-31,web,0
95,3/2/2018,0,Bitcoin,AW,2018-03-01 2018-03-31,web,0
96,3/3/2018,0,Bitcoin,AW,2018-03-01 2018-03-31,web,0
97,3/4/2018,0,Bitcoin,AW,2018-03-01 2018-03-31,web,0
98,3/5/2018,0,Bitcoin,AW,2018-03-01 2018-03-31,web,0
99,3/6/2018,0,Bitcoin,AW,2018-03-01 2018-03-31,web,0
100,3/7/2018,0,Bitcoin,AW,2018-03-01 2018-03-31,web,0
101,3/8/2018,0,Bitcoin,AW,2018-03-01 2018-03-31,web,0
102,3/9/2018,0,Bitcoin,AW,2018-03-01 2018-03-31,web,0
103,3/10/2018,0,Bitcoin,AW,2018-03-01 2018-03-31,web,0
104,3/11/2018,0,Bitcoin,AW,2018-03-01 2018-03-31,web,0
105,3/12/2018,0,Bitcoin,AW,2018-03-01 2018-03-31,web,0
106,3/13/2018,0,Bitcoin,AW,2018-03-01 2018-03-31,web,0
107,3/14/2018,79,Bitcoin,AW,2018-03-01 2018-03-31,web,0
108,3/15/2018,0,Bitcoin,AW,2018-03-01 2018-03-31,web,0
109,3/16/2018,0,Bitcoin,AW,2018-03-01 2018-03-31,web,0
110,3/17/2018,0,Bitcoin,AW,2018-03-01 2018-03-31,web,0
111,3/18/2018,0,Bitcoin,AW,2018-03-01 2018-03-31,web,0
112,3/19/2018,51,Bitcoin,AW,2018-03-01 2018-03-31,web,0
113,3/20/2018,0,Bitcoin,AW,2018-03-01 2018-03-31,web,0
114,3/21/2018,0,Bitcoin,AW,2018-03-01 2018-03-31,web,0
115,3/22/2018,53,Bitcoin,AW,2018-03-01 2018-03-31,web,0
116,3/23/2018,0,Bitcoin,AW,2018-03-01 2018-03-31,web,0
117,3/24/2018,56,Bitcoin,AW,2018-03-01 2018-03-31,web,0
118,3/25/2018,0,Bitcoin,AW,2018-03-01 2018-03-31,web,0
119,3/26/2018,45,Bitcoin,AW,2018-03-01 2018-03-31,web,0
120,3/27/2018,0,Bitcoin,AW,2018-03-01 2018-03-31,web,0
121,3/28/2018,0,Bitcoin,AW,2018-03-01 2018-03-31,web,0
122,3/29/2018,0,Bitcoin,AW,2018-03-01 2018-03-31,web,0
123,3/30/2018,100,Bitcoin,AW,2018-03-01 2018-03-31,web,0
124,3/31/2018,0,Bitcoin,AW,2018-03-01 2018-03-31,web,0
125,8/1/2018,0,Bitcoin,AW,2018-08-01 2018-08-31,web,0
126,8/2/2018,0,Bitcoin,AW,2018-08-01 2018-08-31,web,0
127,8/3/2018,0,Bitcoin,AW,2018-08-01 2018-08-31,web,0
128,8/4/2018,29,Bitcoin,AW,2018-08-01 2018-08-31,web,0
129,8/5/2018,0,Bitcoin,AW,2018-08-01 2018-08-31,web,0
130,8/6/2018,0,Bitcoin,AW,2018-08-01 2018-08-31,web,0
131,8/7/2018,0,Bitcoin,AW,2018-08-01 2018-08-31,web,0
132,8/8/2018,0,Bitcoin,AW,2018-08-01 2018-08-31,web,0
133,8/9/2018,20,Bitcoin,AW,2018-08-01 2018-08-31,web,0
134,8/10/2018,27,Bitcoin,AW,2018-08-01 2018-08-31,web,0
135,8/11/2018,0,Bitcoin,AW,2018-08-01 2018-08-31,web,0
136,8/12/2018,0,Bitcoin,AW,2018-08-01 2018-08-31,web,0
137,8/13/2018,0,Bitcoin,AW,2018-08-01 2018-08-31,web,0
138,8/14/2018,86,Bitcoin,AW,2018-08-01 2018-08-31,web,0
139,8/15/2018,0,Bitcoin,AW,2018-08-01 2018-08-31,web,0
140,8/16/2018,0,Bitcoin,AW,2018-08-01 2018-08-31,web,0
141,8/17/2018,0,Bitcoin,AW,2018-08-01 2018-08-31,web,0
142,8/18/2018,0,Bitcoin,AW,2018-08-01 2018-08-31,web,0
143,8/19/2018,0,Bitcoin,AW,2018-08-01 2018-08-31,web,0
144,8/20/2018,0,Bitcoin,AW,2018-08-01 2018-08-31,web,0
145,8/21/2018,0,Bitcoin,AW,2018-08-01 2018-08-31,web,0
146,8/22/2018,0,Bitcoin,AW,2018-08-01 2018-08-31,web,0
147,8/23/2018,0,Bitcoin,AW,2018-08-01 2018-08-31,web,0
148,8/24/2018,0,Bitcoin,AW,2018-08-01 2018-08-31,web,0
149,8/25/2018,0,Bitcoin,AW,2018-08-01 2018-08-31,web,0
150,8/26/2018,0,Bitcoin,AW,2018-08-01 2018-08-31,web,0
151,8/27/2018,19,Bitcoin,AW,2018-08-01 2018-08-31,web,0
152,8/28/2018,100,Bitcoin,AW,2018-08-01 2018-08-31,web,0
153,8/29/2018,0,Bitcoin,AW,2018-08-01 2018-08-31,web,0
154,8/30/2018,0,Bitcoin,AW,2018-08-01 2018-08-31,web,0
155,8/31/2018,18,Bitcoin,AW,2018-08-01 2018-08-31,web,0
156,10/1/2019,0,Bitcoin,AW,2019-10-01 2019-10-31,web,0
157,10/2/2019,0,Bitcoin,AW,2019-10-01 2019-10-31,web,0
158,10/3/2019,0,Bitcoin,AW,2019-10-01 2019-10-31,web,0
159,10/4/2019,100,Bitcoin,AW,2019-10-01 2019-10-31,web,0
160,10/5/2019,88,Bitcoin,AW,2019-10-01 2019-10-31,web,0
161,10/6/2019,0,Bitcoin,AW,2019-10-01 2019-10-31,web,0
162,10/7/2019,0,Bitcoin,AW,2019-10-01 2019-10-31,web,0
163,10/8/2019,30,Bitcoin,AW,2019-10-01 2019-10-31,web,0
164,10/9/2019,0,Bitcoin,AW,2019-10-01 2019-10-31,web,0
165,10/10/2019,0,Bitcoin,AW,2019-10-01 2019-10-31,web,0
166,10/11/2019,0,Bitcoin,AW,2019-10-01 2019-10-31,web,0
167,10/12/2019,0,Bitcoin,AW,2019-10-01 2019-10-31,web,0
168,10/13/2019,0,Bitcoin,AW,2019-10-01 2019-10-31,web,0
169,10/14/2019,0,Bitcoin,AW,2019-10-01 2019-10-31,web,0
170,10/15/2019,29,Bitcoin,AW,2019-10-01 2019-10-31,web,0
171,10/16/2019,0,Bitcoin,AW,2019-10-01 2019-10-31,web,0
172,10/17/2019,0,Bitcoin,AW,2019-10-01 2019-10-31,web,0
173,10/18/2019,0,Bitcoin,AW,2019-10-01 2019-10-31,web,0
174,10/19/2019,0,Bitcoin,AW,2019-10-01 2019-10-31,web,0
175,10/20/2019,0,Bitcoin,AW,2019-10-01 2019-10-31,web,0
176,10/21/2019,0,Bitcoin,AW,2019-10-01 2019-10-31,web,0
177,10/22/2019,0,Bitcoin,AW,2019-10-01 2019-10-31,web,0
178,10/23/2019,50,Bitcoin,AW,2019-10-01 2019-10-31,web,0
179,10/24/2019,0,Bitcoin,AW,2019-10-01 2019-10-31,web,0
180,10/25/2019,41,Bitcoin,AW,2019-10-01 2019-10-31,web,0
181,10/26/2019,0,Bitcoin,AW,2019-10-01 2019-10-31,web,0
182,10/27/2019,0,Bitcoin,AW,2019-10-01 2019-10-31,web,0
183,10/28/2019,57,Bitcoin,AW,2019-10-01 2019-10-31,web,0
184,10/29/2019,0,Bitcoin,AW,2019-10-01 2019-10-31,web,0
185,10/30/2019,0,Bitcoin,AW,2019-10-01 2019-10-31,web,0
186,10/31/2019,0,Bitcoin,AW,2019-10-01 2019-10-31,web,0
187,5/1/2020,0,Bitcoin,AW,2020-05-01 2020-05-31,web,0
188,5/2/2020,0,Bitcoin,AW,2020-05-01 2020-05-31,web,0
189,5/3/2020,100,Bitcoin,AW,2020-05-01 2020-05-31,web,0
190,5/4/2020,0,Bitcoin,AW,2020-05-01 2020-05-31,web,0
191,5/5/2020,0,Bitcoin,AW,2020-05-01 2020-05-31,web,0
192,5/6/2020,0,Bitcoin,AW,2020-05-01 2020-05-31,web,0
193,5/7/2020,0,Bitcoin,AW,2020-05-01 2020-05-31,web,0
194,5/8/2020,0,Bitcoin,AW,2020-05-01 2020-05-31,web,0
195,5/9/2020,0,Bitcoin,AW,2020-05-01 2020-05-31,web,0
196,5/10/2020,0,Bitcoin,AW,2020-05-01 2020-05-31,web,0
197,5/11/2020,0,Bitcoin,AW,2020-05-01 2020-05-31,web,0
198,5/12/2020,0,Bitcoin,AW,2020-05-01 2020-05-31,web,0
199,5/13/2020,0,Bitcoin,AW,2020-05-01 2020-05-31,web,0
200,5/14/2020,0,Bitcoin,AW,2020-05-01 2020-05-31,web,0
201,5/15/2020,0,Bitcoin,AW,2020-05-01 2020-05-31,web,0
202,5/16/2020,0,Bitcoin,AW,2020-05-01 2020-05-31,web,0
203,5/17/2020,0,Bitcoin,AW,2020-05-01 2020-05-31,web,0
204,5/18/2020,0,Bitcoin,AW,2020-05-01 2020-05-31,web,0
205,5/19/2020,0,Bitcoin,AW,2020-05-01 2020-05-31,web,0
206,5/20/2020,33,Bitcoin,AW,2020-05-01 2020-05-31,web,0
207,5/21/2020,0,Bitcoin,AW,2020-05-01 2020-05-31,web,0
208,5/22/2020,0,Bitcoin,AW,2020-05-01 2020-05-31,web,0
209,5/23/2020,0,Bitcoin,AW,2020-05-01 2020-05-31,web,0
210,5/24/2020,0,Bitcoin,AW,2020-05-01 2020-05-31,web,0
211,5/25/2020,0,Bitcoin,AW,2020-05-01 2020-05-31,web,0
212,5/26/2020,0,Bitcoin,AW,2020-05-01 2020-05-31,web,0
213,5/27/2020,0,Bitcoin,AW,2020-05-01 2020-05-31,web,0
214,5/28/2020,0,Bitcoin,AW,2020-05-01 2020-05-31,web,0
215,5/29/2020,0,Bitcoin,AW,2020-05-01 2020-05-31,web,0
216,5/30/2020,0,Bitcoin,AW,2020-05-01 2020-05-31,web,0
217,5/31/2020,0,Bitcoin,AW,2020-05-01 2020-05-31,web,0
218,8/1/2020,100,Bitcoin,AW,2020-08-01 2020-08-31,web,0
219,8/2/2020,0,Bitcoin,AW,2020-08-01 2020-08-31,web,0
220,8/3/2020,0,Bitcoin,AW,2020-08-01 2020-08-31,web,0
221,8/4/2020,0,Bitcoin,AW,2020-08-01 2020-08-31,web,0
222,8/5/2020,46,Bitcoin,AW,2020-08-01 2020-08-31,web,0
223,8/6/2020,0,Bitcoin,AW,2020-08-01 2020-08-31,web,0
224,8/7/2020,0,Bitcoin,AW,2020-08-01 2020-08-31,web,0
225,8/8/2020,0,Bitcoin,AW,2020-08-01 2020-08-31,web,0
226,8/9/2020,0,Bitcoin,AW,2020-08-01 2020-08-31,web,0
227,8/10/2020,0,Bitcoin,AW,2020-08-01 2020-08-31,web,0
228,8/11/2020,29,Bitcoin,AW,2020-08-01 2020-08-31,web,0
229,8/12/2020,0,Bitcoin,AW,2020-08-01 2020-08-31,web,0
230,8/13/2020,0,Bitcoin,AW,2020-08-01 2020-08-31,web,0
231,8/14/2020,0,Bitcoin,AW,2020-08-01 2020-08-31,web,0
232,8/15/2020,0,Bitcoin,AW,2020-08-01 2020-08-31,web,0
233,8/16/2020,0,Bitcoin,AW,2020-08-01 2020-08-31,web,0
234,8/17/2020,0,Bitcoin,AW,2020-08-01 2020-08-31,web,0
235,8/18/2020,0,Bitcoin,AW,2020-08-01 2020-08-31,web,0
236,8/19/2020,0,Bitcoin,AW,2020-08-01 2020-08-31,web,0
237,8/20/2020,0,Bitcoin,AW,2020-08-01 2020-08-31,web,0
238,8/21/2020,0,Bitcoin,AW,2020-08-01 2020-08-31,web,0
239,8/22/2020,39,Bitcoin,AW,2020-08-01 2020-08-31,web,0
240,8/23/2020,0,Bitcoin,AW,2020-08-01 2020-08-31,web,0
241,8/24/2020,0,Bitcoin,AW,2020-08-01 2020-08-31,web,0
242,8/25/2020,96,Bitcoin,AW,2020-08-01 2020-08-31,web,0
243,8/26/2020,0,Bitcoin,AW,2020-08-01 2020-08-31,web,0
244,8/27/2020,0,Bitcoin,AW,2020-08-01 2020-08-31,web,0
245,8/28/2020,0,Bitcoin,AW,2020-08-01 2020-08-31,web,0
