,date,hits,keyword,geo,time,gprop,category
1,2/1/2017,0,Bitcoin,BI,2017-02-01 2017-02-28,web,0
2,2/2/2017,0,Bitcoin,BI,2017-02-01 2017-02-28,web,0
3,2/3/2017,60,Bitcoin,BI,2017-02-01 2017-02-28,web,0
4,2/4/2017,0,Bitcoin,BI,2017-02-01 2017-02-28,web,0
5,2/5/2017,0,Bitcoin,BI,2017-02-01 2017-02-28,web,0
6,2/6/2017,0,Bitcoin,BI,2017-02-01 2017-02-28,web,0
7,2/7/2017,0,Bitcoin,BI,2017-02-01 2017-02-28,web,0
8,2/8/2017,0,Bitcoin,BI,2017-02-01 2017-02-28,web,0
9,2/9/2017,0,Bitcoin,BI,2017-02-01 2017-02-28,web,0
10,2/10/2017,0,Bitcoin,BI,2017-02-01 2017-02-28,web,0
11,2/11/2017,0,Bitcoin,BI,2017-02-01 2017-02-28,web,0
12,2/12/2017,0,Bitcoin,BI,2017-02-01 2017-02-28,web,0
13,2/13/2017,50,Bitcoin,BI,2017-02-01 2017-02-28,web,0
14,2/14/2017,0,Bitcoin,BI,2017-02-01 2017-02-28,web,0
15,2/15/2017,0,Bitcoin,BI,2017-02-01 2017-02-28,web,0
16,2/16/2017,52,Bitcoin,BI,2017-02-01 2017-02-28,web,0
17,2/17/2017,0,Bitcoin,BI,2017-02-01 2017-02-28,web,0
18,2/18/2017,0,Bitcoin,BI,2017-02-01 2017-02-28,web,0
19,2/19/2017,0,Bitcoin,BI,2017-02-01 2017-02-28,web,0
20,2/20/2017,0,Bitcoin,BI,2017-02-01 2017-02-28,web,0
21,2/21/2017,100,Bitcoin,BI,2017-02-01 2017-02-28,web,0
22,2/22/2017,0,Bitcoin,BI,2017-02-01 2017-02-28,web,0
23,2/23/2017,0,Bitcoin,BI,2017-02-01 2017-02-28,web,0
24,2/24/2017,0,Bitcoin,BI,2017-02-01 2017-02-28,web,0
25,2/25/2017,0,Bitcoin,BI,2017-02-01 2017-02-28,web,0
26,2/26/2017,53,Bitcoin,BI,2017-02-01 2017-02-28,web,0
27,2/27/2017,0,Bitcoin,BI,2017-02-01 2017-02-28,web,0
28,2/28/2017,0,Bitcoin,BI,2017-02-01 2017-02-28,web,0
29,3/1/2017,0,Bitcoin,BI,2017-03-01 2017-03-31,web,0
30,3/2/2017,0,Bitcoin,BI,2017-03-01 2017-03-31,web,0
31,3/3/2017,100,Bitcoin,BI,2017-03-01 2017-03-31,web,0
32,3/4/2017,0,Bitcoin,BI,2017-03-01 2017-03-31,web,0
33,3/5/2017,0,Bitcoin,BI,2017-03-01 2017-03-31,web,0
34,3/6/2017,0,Bitcoin,BI,2017-03-01 2017-03-31,web,0
35,3/7/2017,0,Bitcoin,BI,2017-03-01 2017-03-31,web,0
36,3/8/2017,0,Bitcoin,BI,2017-03-01 2017-03-31,web,0
37,3/9/2017,0,Bitcoin,BI,2017-03-01 2017-03-31,web,0
38,3/10/2017,0,Bitcoin,BI,2017-03-01 2017-03-31,web,0
39,3/11/2017,0,Bitcoin,BI,2017-03-01 2017-03-31,web,0
40,3/12/2017,0,Bitcoin,BI,2017-03-01 2017-03-31,web,0
41,3/13/2017,0,Bitcoin,BI,2017-03-01 2017-03-31,web,0
42,3/14/2017,0,Bitcoin,BI,2017-03-01 2017-03-31,web,0
43,3/15/2017,0,Bitcoin,BI,2017-03-01 2017-03-31,web,0
44,3/16/2017,0,Bitcoin,BI,2017-03-01 2017-03-31,web,0
45,3/17/2017,0,Bitcoin,BI,2017-03-01 2017-03-31,web,0
46,3/18/2017,0,Bitcoin,BI,2017-03-01 2017-03-31,web,0
47,3/19/2017,78,Bitcoin,BI,2017-03-01 2017-03-31,web,0
48,3/20/2017,0,Bitcoin,BI,2017-03-01 2017-03-31,web,0
49,3/21/2017,0,Bitcoin,BI,2017-03-01 2017-03-31,web,0
50,3/22/2017,57,Bitcoin,BI,2017-03-01 2017-03-31,web,0
51,3/23/2017,0,Bitcoin,BI,2017-03-01 2017-03-31,web,0
52,3/24/2017,0,Bitcoin,BI,2017-03-01 2017-03-31,web,0
53,3/25/2017,0,Bitcoin,BI,2017-03-01 2017-03-31,web,0
54,3/26/2017,0,Bitcoin,BI,2017-03-01 2017-03-31,web,0
55,3/27/2017,93,Bitcoin,BI,2017-03-01 2017-03-31,web,0
56,3/28/2017,0,Bitcoin,BI,2017-03-01 2017-03-31,web,0
57,3/29/2017,0,Bitcoin,BI,2017-03-01 2017-03-31,web,0
58,3/30/2017,0,Bitcoin,BI,2017-03-01 2017-03-31,web,0
59,3/31/2017,0,Bitcoin,BI,2017-03-01 2017-03-31,web,0
60,5/1/2017,0,Bitcoin,BI,2017-05-01 2017-05-31,web,0
61,5/2/2017,0,Bitcoin,BI,2017-05-01 2017-05-31,web,0
62,5/3/2017,0,Bitcoin,BI,2017-05-01 2017-05-31,web,0
63,5/4/2017,0,Bitcoin,BI,2017-05-01 2017-05-31,web,0
64,5/5/2017,0,Bitcoin,BI,2017-05-01 2017-05-31,web,0
65,5/6/2017,0,Bitcoin,BI,2017-05-01 2017-05-31,web,0
66,5/7/2017,0,Bitcoin,BI,2017-05-01 2017-05-31,web,0
67,5/8/2017,0,Bitcoin,BI,2017-05-01 2017-05-31,web,0
68,5/9/2017,0,Bitcoin,BI,2017-05-01 2017-05-31,web,0
69,5/10/2017,0,Bitcoin,BI,2017-05-01 2017-05-31,web,0
70,5/11/2017,0,Bitcoin,BI,2017-05-01 2017-05-31,web,0
71,5/12/2017,0,Bitcoin,BI,2017-05-01 2017-05-31,web,0
72,5/13/2017,0,Bitcoin,BI,2017-05-01 2017-05-31,web,0
73,5/14/2017,0,Bitcoin,BI,2017-05-01 2017-05-31,web,0
74,5/15/2017,0,Bitcoin,BI,2017-05-01 2017-05-31,web,0
75,5/16/2017,0,Bitcoin,BI,2017-05-01 2017-05-31,web,0
76,5/17/2017,0,Bitcoin,BI,2017-05-01 2017-05-31,web,0
77,5/18/2017,0,Bitcoin,BI,2017-05-01 2017-05-31,web,0
78,5/19/2017,0,Bitcoin,BI,2017-05-01 2017-05-31,web,0
79,5/20/2017,82,Bitcoin,BI,2017-05-01 2017-05-31,web,0
80,5/21/2017,0,Bitcoin,BI,2017-05-01 2017-05-31,web,0
81,5/22/2017,0,Bitcoin,BI,2017-05-01 2017-05-31,web,0
82,5/23/2017,75,Bitcoin,BI,2017-05-01 2017-05-31,web,0
83,5/24/2017,0,Bitcoin,BI,2017-05-01 2017-05-31,web,0
84,5/25/2017,89,Bitcoin,BI,2017-05-01 2017-05-31,web,0
85,5/26/2017,0,Bitcoin,BI,2017-05-01 2017-05-31,web,0
86,5/27/2017,100,Bitcoin,BI,2017-05-01 2017-05-31,web,0
87,5/28/2017,0,Bitcoin,BI,2017-05-01 2017-05-31,web,0
88,5/29/2017,0,Bitcoin,BI,2017-05-01 2017-05-31,web,0
89,5/30/2017,0,Bitcoin,BI,2017-05-01 2017-05-31,web,0
90,5/31/2017,41,Bitcoin,BI,2017-05-01 2017-05-31,web,0
91,4/1/2020,0,Bitcoin,BI,2020-04-01 2020-04-30,web,0
92,4/2/2020,0,Bitcoin,BI,2020-04-01 2020-04-30,web,0
93,4/3/2020,0,Bitcoin,BI,2020-04-01 2020-04-30,web,0
94,4/4/2020,0,Bitcoin,BI,2020-04-01 2020-04-30,web,0
95,4/5/2020,39,Bitcoin,BI,2020-04-01 2020-04-30,web,0
96,4/6/2020,0,Bitcoin,BI,2020-04-01 2020-04-30,web,0
97,4/7/2020,0,Bitcoin,BI,2020-04-01 2020-04-30,web,0
98,4/8/2020,0,Bitcoin,BI,2020-04-01 2020-04-30,web,0
99,4/9/2020,0,Bitcoin,BI,2020-04-01 2020-04-30,web,0
100,4/10/2020,0,Bitcoin,BI,2020-04-01 2020-04-30,web,0
101,4/11/2020,0,Bitcoin,BI,2020-04-01 2020-04-30,web,0
102,4/12/2020,0,Bitcoin,BI,2020-04-01 2020-04-30,web,0
103,4/13/2020,59,Bitcoin,BI,2020-04-01 2020-04-30,web,0
104,4/14/2020,0,Bitcoin,BI,2020-04-01 2020-04-30,web,0
105,4/15/2020,28,Bitcoin,BI,2020-04-01 2020-04-30,web,0
106,4/16/2020,0,Bitcoin,BI,2020-04-01 2020-04-30,web,0
107,4/17/2020,0,Bitcoin,BI,2020-04-01 2020-04-30,web,0
108,4/18/2020,0,Bitcoin,BI,2020-04-01 2020-04-30,web,0
109,4/19/2020,33,Bitcoin,BI,2020-04-01 2020-04-30,web,0
110,4/20/2020,100,Bitcoin,BI,2020-04-01 2020-04-30,web,0
111,4/21/2020,0,Bitcoin,BI,2020-04-01 2020-04-30,web,0
112,4/22/2020,0,Bitcoin,BI,2020-04-01 2020-04-30,web,0
113,4/23/2020,0,Bitcoin,BI,2020-04-01 2020-04-30,web,0
114,4/24/2020,0,Bitcoin,BI,2020-04-01 2020-04-30,web,0
115,4/25/2020,0,Bitcoin,BI,2020-04-01 2020-04-30,web,0
116,4/26/2020,0,Bitcoin,BI,2020-04-01 2020-04-30,web,0
117,4/27/2020,0,Bitcoin,BI,2020-04-01 2020-04-30,web,0
118,4/28/2020,0,Bitcoin,BI,2020-04-01 2020-04-30,web,0
119,4/29/2020,0,Bitcoin,BI,2020-04-01 2020-04-30,web,0
120,4/30/2020,0,Bitcoin,BI,2020-04-01 2020-04-30,web,0
121,10/1/2020,51,Bitcoin,BI,2020-10-01 2020-10-31,web,0
122,10/2/2020,0,Bitcoin,BI,2020-10-01 2020-10-31,web,0
123,10/3/2020,0,Bitcoin,BI,2020-10-01 2020-10-31,web,0
124,10/4/2020,0,Bitcoin,BI,2020-10-01 2020-10-31,web,0
125,10/5/2020,30,Bitcoin,BI,2020-10-01 2020-10-31,web,0
126,10/6/2020,44,Bitcoin,BI,2020-10-01 2020-10-31,web,0
127,10/7/2020,0,Bitcoin,BI,2020-10-01 2020-10-31,web,0
128,10/8/2020,0,Bitcoin,BI,2020-10-01 2020-10-31,web,0
129,10/9/2020,90,Bitcoin,BI,2020-10-01 2020-10-31,web,0
130,10/10/2020,0,Bitcoin,BI,2020-10-01 2020-10-31,web,0
131,10/11/2020,0,Bitcoin,BI,2020-10-01 2020-10-31,web,0
132,10/12/2020,0,Bitcoin,BI,2020-10-01 2020-10-31,web,0
133,10/13/2020,0,Bitcoin,BI,2020-10-01 2020-10-31,web,0
134,10/14/2020,0,Bitcoin,BI,2020-10-01 2020-10-31,web,0
135,10/15/2020,0,Bitcoin,BI,2020-10-01 2020-10-31,web,0
136,10/16/2020,0,Bitcoin,BI,2020-10-01 2020-10-31,web,0
137,10/17/2020,0,Bitcoin,BI,2020-10-01 2020-10-31,web,0
138,10/18/2020,0,Bitcoin,BI,2020-10-01 2020-10-31,web,0
139,10/19/2020,0,Bitcoin,BI,2020-10-01 2020-10-31,web,0
140,10/20/2020,0,Bitcoin,BI,2020-10-01 2020-10-31,web,0
141,10/21/2020,0,Bitcoin,BI,2020-10-01 2020-10-31,web,0
142,10/22/2020,35,Bitcoin,BI,2020-10-01 2020-10-31,web,0
143,10/23/2020,100,Bitcoin,BI,2020-10-01 2020-10-31,web,0
144,10/24/2020,0,Bitcoin,BI,2020-10-01 2020-10-31,web,0
145,10/25/2020,0,Bitcoin,BI,2020-10-01 2020-10-31,web,0
146,10/26/2020,57,Bitcoin,BI,2020-10-01 2020-10-31,web,0
147,10/27/2020,0,Bitcoin,BI,2020-10-01 2020-10-31,web,0
148,10/28/2020,0,Bitcoin,BI,2020-10-01 2020-10-31,web,0
149,10/29/2020,0,Bitcoin,BI,2020-10-01 2020-10-31,web,0
150,10/30/2020,0,Bitcoin,BI,2020-10-01 2020-10-31,web,0
151,10/31/2020,0,Bitcoin,BI,2020-10-01 2020-10-31,web,0
152,1/1/2021,0,Bitcoin,BI,2021-01-01 2021-01-31,web,0
153,1/2/2021,49,Bitcoin,BI,2021-01-01 2021-01-31,web,0
154,1/3/2021,0,Bitcoin,BI,2021-01-01 2021-01-31,web,0
155,1/4/2021,0,Bitcoin,BI,2021-01-01 2021-01-31,web,0
156,1/5/2021,0,Bitcoin,BI,2021-01-01 2021-01-31,web,0
157,1/6/2021,0,Bitcoin,BI,2021-01-01 2021-01-31,web,0
158,1/7/2021,50,Bitcoin,BI,2021-01-01 2021-01-31,web,0
159,1/8/2021,0,Bitcoin,BI,2021-01-01 2021-01-31,web,0
160,1/9/2021,0,Bitcoin,BI,2021-01-01 2021-01-31,web,0
161,1/10/2021,0,Bitcoin,BI,2021-01-01 2021-01-31,web,0
162,1/11/2021,0,Bitcoin,BI,2021-01-01 2021-01-31,web,0
163,1/12/2021,0,Bitcoin,BI,2021-01-01 2021-01-31,web,0
164,1/13/2021,0,Bitcoin,BI,2021-01-01 2021-01-31,web,0
