,date,hits,keyword,geo,time,gprop,category
1,8/1/2017,0,Bitcoin,BJ,2017-08-01 2017-08-31,web,0
2,8/2/2017,0,Bitcoin,BJ,2017-08-01 2017-08-31,web,0
3,8/3/2017,0,Bitcoin,BJ,2017-08-01 2017-08-31,web,0
4,8/4/2017,0,Bitcoin,BJ,2017-08-01 2017-08-31,web,0
5,8/5/2017,0,Bitcoin,BJ,2017-08-01 2017-08-31,web,0
6,8/6/2017,0,Bitcoin,BJ,2017-08-01 2017-08-31,web,0
7,8/7/2017,0,Bitcoin,BJ,2017-08-01 2017-08-31,web,0
8,8/8/2017,52,Bitcoin,BJ,2017-08-01 2017-08-31,web,0
9,8/9/2017,0,Bitcoin,BJ,2017-08-01 2017-08-31,web,0
10,8/10/2017,0,Bitcoin,BJ,2017-08-01 2017-08-31,web,0
11,8/11/2017,0,Bitcoin,BJ,2017-08-01 2017-08-31,web,0
12,8/12/2017,0,Bitcoin,BJ,2017-08-01 2017-08-31,web,0
13,8/13/2017,68,Bitcoin,BJ,2017-08-01 2017-08-31,web,0
14,8/14/2017,0,Bitcoin,BJ,2017-08-01 2017-08-31,web,0
15,8/15/2017,0,Bitcoin,BJ,2017-08-01 2017-08-31,web,0
16,8/16/2017,0,Bitcoin,BJ,2017-08-01 2017-08-31,web,0
17,8/17/2017,0,Bitcoin,BJ,2017-08-01 2017-08-31,web,0
18,8/18/2017,0,Bitcoin,BJ,2017-08-01 2017-08-31,web,0
19,8/19/2017,0,Bitcoin,BJ,2017-08-01 2017-08-31,web,0
20,8/20/2017,100,Bitcoin,BJ,2017-08-01 2017-08-31,web,0
21,8/21/2017,0,Bitcoin,BJ,2017-08-01 2017-08-31,web,0
22,8/22/2017,0,Bitcoin,BJ,2017-08-01 2017-08-31,web,0
23,8/23/2017,46,Bitcoin,BJ,2017-08-01 2017-08-31,web,0
24,8/24/2017,73,Bitcoin,BJ,2017-08-01 2017-08-31,web,0
25,8/25/2017,0,Bitcoin,BJ,2017-08-01 2017-08-31,web,0
26,8/26/2017,0,Bitcoin,BJ,2017-08-01 2017-08-31,web,0
27,8/27/2017,0,Bitcoin,BJ,2017-08-01 2017-08-31,web,0
28,8/28/2017,0,Bitcoin,BJ,2017-08-01 2017-08-31,web,0
29,8/29/2017,0,Bitcoin,BJ,2017-08-01 2017-08-31,web,0
30,8/30/2017,0,Bitcoin,BJ,2017-08-01 2017-08-31,web,0
31,8/31/2017,0,Bitcoin,BJ,2017-08-01 2017-08-31,web,0
32,12/1/2017,0,Bitcoin,BJ,2017-12-01 2017-12-31,web,0
33,12/2/2017,0,Bitcoin,BJ,2017-12-01 2017-12-31,web,0
34,12/3/2017,0,Bitcoin,BJ,2017-12-01 2017-12-31,web,0
35,12/4/2017,0,Bitcoin,BJ,2017-12-01 2017-12-31,web,0
36,12/5/2017,48,Bitcoin,BJ,2017-12-01 2017-12-31,web,0
37,12/6/2017,0,Bitcoin,BJ,2017-12-01 2017-12-31,web,0
38,12/7/2017,100,Bitcoin,BJ,2017-12-01 2017-12-31,web,0
39,12/8/2017,52,Bitcoin,BJ,2017-12-01 2017-12-31,web,0
40,12/9/2017,0,Bitcoin,BJ,2017-12-01 2017-12-31,web,0
41,12/10/2017,46,Bitcoin,BJ,2017-12-01 2017-12-31,web,0
42,12/11/2017,0,Bitcoin,BJ,2017-12-01 2017-12-31,web,0
43,12/12/2017,0,Bitcoin,BJ,2017-12-01 2017-12-31,web,0
44,12/13/2017,0,Bitcoin,BJ,2017-12-01 2017-12-31,web,0
45,12/14/2017,0,Bitcoin,BJ,2017-12-01 2017-12-31,web,0
46,12/15/2017,42,Bitcoin,BJ,2017-12-01 2017-12-31,web,0
