,date,hits,keyword,geo,time,gprop,category
1,7/1/2016,0,Bitcoin,CI,2016-07-01 2016-07-31,web,0
2,7/2/2016,0,Bitcoin,CI,2016-07-01 2016-07-31,web,0
3,7/3/2016,0,Bitcoin,CI,2016-07-01 2016-07-31,web,0
4,7/4/2016,0,Bitcoin,CI,2016-07-01 2016-07-31,web,0
5,7/5/2016,0,Bitcoin,CI,2016-07-01 2016-07-31,web,0
6,7/6/2016,0,Bitcoin,CI,2016-07-01 2016-07-31,web,0
7,7/7/2016,0,Bitcoin,CI,2016-07-01 2016-07-31,web,0
8,7/8/2016,0,Bitcoin,CI,2016-07-01 2016-07-31,web,0
9,7/9/2016,0,Bitcoin,CI,2016-07-01 2016-07-31,web,0
10,7/10/2016,0,Bitcoin,CI,2016-07-01 2016-07-31,web,0
11,7/11/2016,0,Bitcoin,CI,2016-07-01 2016-07-31,web,0
12,7/12/2016,32,Bitcoin,CI,2016-07-01 2016-07-31,web,0
13,7/13/2016,0,Bitcoin,CI,2016-07-01 2016-07-31,web,0
14,7/14/2016,0,Bitcoin,CI,2016-07-01 2016-07-31,web,0
15,7/15/2016,0,Bitcoin,CI,2016-07-01 2016-07-31,web,0
16,7/16/2016,100,Bitcoin,CI,2016-07-01 2016-07-31,web,0
17,7/17/2016,0,Bitcoin,CI,2016-07-01 2016-07-31,web,0
18,7/18/2016,0,Bitcoin,CI,2016-07-01 2016-07-31,web,0
19,7/19/2016,0,Bitcoin,CI,2016-07-01 2016-07-31,web,0
20,7/20/2016,36,Bitcoin,CI,2016-07-01 2016-07-31,web,0
21,7/21/2016,0,Bitcoin,CI,2016-07-01 2016-07-31,web,0
22,7/22/2016,0,Bitcoin,CI,2016-07-01 2016-07-31,web,0
23,7/23/2016,0,Bitcoin,CI,2016-07-01 2016-07-31,web,0
24,7/24/2016,54,Bitcoin,CI,2016-07-01 2016-07-31,web,0
25,7/25/2016,0,Bitcoin,CI,2016-07-01 2016-07-31,web,0
26,7/26/2016,0,Bitcoin,CI,2016-07-01 2016-07-31,web,0
27,7/27/2016,0,Bitcoin,CI,2016-07-01 2016-07-31,web,0
28,7/28/2016,0,Bitcoin,CI,2016-07-01 2016-07-31,web,0
29,7/29/2016,37,Bitcoin,CI,2016-07-01 2016-07-31,web,0
30,7/30/2016,0,Bitcoin,CI,2016-07-01 2016-07-31,web,0
31,7/31/2016,0,Bitcoin,CI,2016-07-01 2016-07-31,web,0
32,9/1/2016,0,Bitcoin,CI,2016-09-01 2016-09-30,web,0
33,9/2/2016,0,Bitcoin,CI,2016-09-01 2016-09-30,web,0
34,9/3/2016,0,Bitcoin,CI,2016-09-01 2016-09-30,web,0
35,9/4/2016,0,Bitcoin,CI,2016-09-01 2016-09-30,web,0
36,9/5/2016,0,Bitcoin,CI,2016-09-01 2016-09-30,web,0
37,9/6/2016,0,Bitcoin,CI,2016-09-01 2016-09-30,web,0
38,9/7/2016,0,Bitcoin,CI,2016-09-01 2016-09-30,web,0
39,9/8/2016,63,Bitcoin,CI,2016-09-01 2016-09-30,web,0
40,9/9/2016,93,Bitcoin,CI,2016-09-01 2016-09-30,web,0
41,9/10/2016,0,Bitcoin,CI,2016-09-01 2016-09-30,web,0
42,9/11/2016,0,Bitcoin,CI,2016-09-01 2016-09-30,web,0
43,9/12/2016,0,Bitcoin,CI,2016-09-01 2016-09-30,web,0
44,9/13/2016,0,Bitcoin,CI,2016-09-01 2016-09-30,web,0
45,9/14/2016,64,Bitcoin,CI,2016-09-01 2016-09-30,web,0
46,9/15/2016,0,Bitcoin,CI,2016-09-01 2016-09-30,web,0
47,9/16/2016,0,Bitcoin,CI,2016-09-01 2016-09-30,web,0
48,9/17/2016,52,Bitcoin,CI,2016-09-01 2016-09-30,web,0
49,9/18/2016,0,Bitcoin,CI,2016-09-01 2016-09-30,web,0
50,9/19/2016,100,Bitcoin,CI,2016-09-01 2016-09-30,web,0
51,9/20/2016,51,Bitcoin,CI,2016-09-01 2016-09-30,web,0
52,9/21/2016,0,Bitcoin,CI,2016-09-01 2016-09-30,web,0
53,9/22/2016,0,Bitcoin,CI,2016-09-01 2016-09-30,web,0
54,9/23/2016,0,Bitcoin,CI,2016-09-01 2016-09-30,web,0
55,9/24/2016,0,Bitcoin,CI,2016-09-01 2016-09-30,web,0
56,9/25/2016,0,Bitcoin,CI,2016-09-01 2016-09-30,web,0
57,9/26/2016,0,Bitcoin,CI,2016-09-01 2016-09-30,web,0
58,9/27/2016,0,Bitcoin,CI,2016-09-01 2016-09-30,web,0
59,9/28/2016,0,Bitcoin,CI,2016-09-01 2016-09-30,web,0
60,9/29/2016,0,Bitcoin,CI,2016-09-01 2016-09-30,web,0
61,9/30/2016,41,Bitcoin,CI,2016-09-01 2016-09-30,web,0
62,1/1/2017,0,Bitcoin,CI,2017-01-01 2017-01-31,web,0
63,1/2/2017,0,Bitcoin,CI,2017-01-01 2017-01-31,web,0
64,1/3/2017,49,Bitcoin,CI,2017-01-01 2017-01-31,web,0
65,1/4/2017,0,Bitcoin,CI,2017-01-01 2017-01-31,web,0
66,1/5/2017,0,Bitcoin,CI,2017-01-01 2017-01-31,web,0
67,1/6/2017,0,Bitcoin,CI,2017-01-01 2017-01-31,web,0
68,1/7/2017,51,Bitcoin,CI,2017-01-01 2017-01-31,web,0
69,1/8/2017,0,Bitcoin,CI,2017-01-01 2017-01-31,web,0
70,1/9/2017,0,Bitcoin,CI,2017-01-01 2017-01-31,web,0
71,1/10/2017,0,Bitcoin,CI,2017-01-01 2017-01-31,web,0
72,1/11/2017,0,Bitcoin,CI,2017-01-01 2017-01-31,web,0
73,1/12/2017,64,Bitcoin,CI,2017-01-01 2017-01-31,web,0
74,1/13/2017,0,Bitcoin,CI,2017-01-01 2017-01-31,web,0
75,1/14/2017,0,Bitcoin,CI,2017-01-01 2017-01-31,web,0
76,1/15/2017,61,Bitcoin,CI,2017-01-01 2017-01-31,web,0
77,1/16/2017,100,Bitcoin,CI,2017-01-01 2017-01-31,web,0
78,1/17/2017,0,Bitcoin,CI,2017-01-01 2017-01-31,web,0
79,1/18/2017,0,Bitcoin,CI,2017-01-01 2017-01-31,web,0
80,1/19/2017,0,Bitcoin,CI,2017-01-01 2017-01-31,web,0
81,1/20/2017,0,Bitcoin,CI,2017-01-01 2017-01-31,web,0
82,1/21/2017,0,Bitcoin,CI,2017-01-01 2017-01-31,web,0
83,1/22/2017,67,Bitcoin,CI,2017-01-01 2017-01-31,web,0
84,1/23/2017,0,Bitcoin,CI,2017-01-01 2017-01-31,web,0
85,1/24/2017,0,Bitcoin,CI,2017-01-01 2017-01-31,web,0
86,1/25/2017,0,Bitcoin,CI,2017-01-01 2017-01-31,web,0
87,1/26/2017,49,Bitcoin,CI,2017-01-01 2017-01-31,web,0
88,1/27/2017,0,Bitcoin,CI,2017-01-01 2017-01-31,web,0
89,1/28/2017,0,Bitcoin,CI,2017-01-01 2017-01-31,web,0
90,1/29/2017,0,Bitcoin,CI,2017-01-01 2017-01-31,web,0
91,1/30/2017,0,Bitcoin,CI,2017-01-01 2017-01-31,web,0
92,1/31/2017,0,Bitcoin,CI,2017-01-01 2017-01-31,web,0
93,3/1/2017,71,Bitcoin,CI,2017-03-01 2017-03-31,web,0
94,3/2/2017,0,Bitcoin,CI,2017-03-01 2017-03-31,web,0
95,3/3/2017,36,Bitcoin,CI,2017-03-01 2017-03-31,web,0
96,3/4/2017,0,Bitcoin,CI,2017-03-01 2017-03-31,web,0
97,3/5/2017,44,Bitcoin,CI,2017-03-01 2017-03-31,web,0
98,3/6/2017,0,Bitcoin,CI,2017-03-01 2017-03-31,web,0
99,3/7/2017,0,Bitcoin,CI,2017-03-01 2017-03-31,web,0
100,3/8/2017,0,Bitcoin,CI,2017-03-01 2017-03-31,web,0
101,3/9/2017,78,Bitcoin,CI,2017-03-01 2017-03-31,web,0
102,3/10/2017,37,Bitcoin,CI,2017-03-01 2017-03-31,web,0
103,3/11/2017,40,Bitcoin,CI,2017-03-01 2017-03-31,web,0
104,3/12/2017,0,Bitcoin,CI,2017-03-01 2017-03-31,web,0
105,3/13/2017,87,Bitcoin,CI,2017-03-01 2017-03-31,web,0
106,3/14/2017,0,Bitcoin,CI,2017-03-01 2017-03-31,web,0
107,3/15/2017,0,Bitcoin,CI,2017-03-01 2017-03-31,web,0
108,3/16/2017,100,Bitcoin,CI,2017-03-01 2017-03-31,web,0
109,3/17/2017,47,Bitcoin,CI,2017-03-01 2017-03-31,web,0
110,3/18/2017,43,Bitcoin,CI,2017-03-01 2017-03-31,web,0
