,date,hits,keyword,geo,time,gprop,category
1,1/1/2018,0,Bitcoin,CW,2018-01-01 2018-01-31,web,0
2,1/2/2018,0,Bitcoin,CW,2018-01-01 2018-01-31,web,0
3,1/3/2018,0,Bitcoin,CW,2018-01-01 2018-01-31,web,0
4,1/4/2018,0,Bitcoin,CW,2018-01-01 2018-01-31,web,0
5,1/5/2018,31,Bitcoin,CW,2018-01-01 2018-01-31,web,0
6,1/6/2018,30,Bitcoin,CW,2018-01-01 2018-01-31,web,0
7,1/7/2018,0,Bitcoin,CW,2018-01-01 2018-01-31,web,0
8,1/8/2018,0,Bitcoin,CW,2018-01-01 2018-01-31,web,0
9,1/9/2018,83,Bitcoin,CW,2018-01-01 2018-01-31,web,0
10,1/10/2018,0,Bitcoin,CW,2018-01-01 2018-01-31,web,0
11,1/11/2018,44,Bitcoin,CW,2018-01-01 2018-01-31,web,0
12,1/12/2018,42,Bitcoin,CW,2018-01-01 2018-01-31,web,0
13,1/13/2018,0,Bitcoin,CW,2018-01-01 2018-01-31,web,0
14,1/14/2018,55,Bitcoin,CW,2018-01-01 2018-01-31,web,0
15,1/15/2018,0,Bitcoin,CW,2018-01-01 2018-01-31,web,0
16,1/16/2018,58,Bitcoin,CW,2018-01-01 2018-01-31,web,0
17,1/17/2018,82,Bitcoin,CW,2018-01-01 2018-01-31,web,0
18,1/18/2018,0,Bitcoin,CW,2018-01-01 2018-01-31,web,0
19,1/19/2018,100,Bitcoin,CW,2018-01-01 2018-01-31,web,0
20,1/20/2018,0,Bitcoin,CW,2018-01-01 2018-01-31,web,0
21,1/21/2018,0,Bitcoin,CW,2018-01-01 2018-01-31,web,0
22,1/22/2018,72,Bitcoin,CW,2018-01-01 2018-01-31,web,0
23,1/23/2018,0,Bitcoin,CW,2018-01-01 2018-01-31,web,0
24,1/24/2018,69,Bitcoin,CW,2018-01-01 2018-01-31,web,0
25,1/25/2018,34,Bitcoin,CW,2018-01-01 2018-01-31,web,0
26,1/26/2018,45,Bitcoin,CW,2018-01-01 2018-01-31,web,0
27,1/27/2018,29,Bitcoin,CW,2018-01-01 2018-01-31,web,0
28,1/28/2018,82,Bitcoin,CW,2018-01-01 2018-01-31,web,0
29,1/29/2018,0,Bitcoin,CW,2018-01-01 2018-01-31,web,0
30,1/30/2018,46,Bitcoin,CW,2018-01-01 2018-01-31,web,0
31,1/31/2018,0,Bitcoin,CW,2018-01-01 2018-01-31,web,0
32,2/1/2018,0,Bitcoin,CW,2018-02-01 2018-02-28,web,0
33,2/2/2018,0,Bitcoin,CW,2018-02-01 2018-02-28,web,0
34,2/3/2018,100,Bitcoin,CW,2018-02-01 2018-02-28,web,0
35,2/4/2018,0,Bitcoin,CW,2018-02-01 2018-02-28,web,0
36,2/5/2018,0,Bitcoin,CW,2018-02-01 2018-02-28,web,0
37,2/6/2018,34,Bitcoin,CW,2018-02-01 2018-02-28,web,0
38,2/7/2018,0,Bitcoin,CW,2018-02-01 2018-02-28,web,0
39,2/8/2018,0,Bitcoin,CW,2018-02-01 2018-02-28,web,0
40,2/9/2018,0,Bitcoin,CW,2018-02-01 2018-02-28,web,0
41,2/10/2018,45,Bitcoin,CW,2018-02-01 2018-02-28,web,0
42,2/11/2018,0,Bitcoin,CW,2018-02-01 2018-02-28,web,0
43,2/12/2018,31,Bitcoin,CW,2018-02-01 2018-02-28,web,0
44,2/13/2018,0,Bitcoin,CW,2018-02-01 2018-02-28,web,0
45,2/14/2018,22,Bitcoin,CW,2018-02-01 2018-02-28,web,0
46,2/15/2018,19,Bitcoin,CW,2018-02-01 2018-02-28,web,0
47,2/16/2018,0,Bitcoin,CW,2018-02-01 2018-02-28,web,0
48,2/17/2018,42,Bitcoin,CW,2018-02-01 2018-02-28,web,0
49,2/18/2018,0,Bitcoin,CW,2018-02-01 2018-02-28,web,0
50,2/19/2018,30,Bitcoin,CW,2018-02-01 2018-02-28,web,0
51,2/20/2018,29,Bitcoin,CW,2018-02-01 2018-02-28,web,0
52,2/21/2018,0,Bitcoin,CW,2018-02-01 2018-02-28,web,0
53,2/22/2018,45,Bitcoin,CW,2018-02-01 2018-02-28,web,0
54,2/23/2018,0,Bitcoin,CW,2018-02-01 2018-02-28,web,0
55,2/24/2018,0,Bitcoin,CW,2018-02-01 2018-02-28,web,0
56,2/25/2018,0,Bitcoin,CW,2018-02-01 2018-02-28,web,0
57,2/26/2018,0,Bitcoin,CW,2018-02-01 2018-02-28,web,0
58,2/27/2018,0,Bitcoin,CW,2018-02-01 2018-02-28,web,0
59,2/28/2018,0,Bitcoin,CW,2018-02-01 2018-02-28,web,0
60,7/1/2019,0,Bitcoin,CW,2019-07-01 2019-07-31,web,0
61,7/2/2019,0,Bitcoin,CW,2019-07-01 2019-07-31,web,0
62,7/3/2019,0,Bitcoin,CW,2019-07-01 2019-07-31,web,0
63,7/4/2019,29,Bitcoin,CW,2019-07-01 2019-07-31,web,0
64,7/5/2019,0,Bitcoin,CW,2019-07-01 2019-07-31,web,0
65,7/6/2019,0,Bitcoin,CW,2019-07-01 2019-07-31,web,0
66,7/7/2019,0,Bitcoin,CW,2019-07-01 2019-07-31,web,0
67,7/8/2019,42,Bitcoin,CW,2019-07-01 2019-07-31,web,0
68,7/9/2019,0,Bitcoin,CW,2019-07-01 2019-07-31,web,0
69,7/10/2019,0,Bitcoin,CW,2019-07-01 2019-07-31,web,0
70,7/11/2019,0,Bitcoin,CW,2019-07-01 2019-07-31,web,0
