,date,hits,keyword,geo,time,gprop,category
1,7/1/2011,44,Bitcoin,EE,2011-07-01 2011-07-31,web,0
2,7/2/2011,0,Bitcoin,EE,2011-07-01 2011-07-31,web,0
3,7/3/2011,0,Bitcoin,EE,2011-07-01 2011-07-31,web,0
4,7/4/2011,55,Bitcoin,EE,2011-07-01 2011-07-31,web,0
5,7/5/2011,0,Bitcoin,EE,2011-07-01 2011-07-31,web,0
6,7/6/2011,47,Bitcoin,EE,2011-07-01 2011-07-31,web,0
7,7/7/2011,0,Bitcoin,EE,2011-07-01 2011-07-31,web,0
8,7/8/2011,0,Bitcoin,EE,2011-07-01 2011-07-31,web,0
9,7/9/2011,0,Bitcoin,EE,2011-07-01 2011-07-31,web,0
10,7/10/2011,0,Bitcoin,EE,2011-07-01 2011-07-31,web,0
11,7/11/2011,47,Bitcoin,EE,2011-07-01 2011-07-31,web,0
12,7/12/2011,0,Bitcoin,EE,2011-07-01 2011-07-31,web,0
13,7/13/2011,0,Bitcoin,EE,2011-07-01 2011-07-31,web,0
14,7/14/2011,0,Bitcoin,EE,2011-07-01 2011-07-31,web,0
15,7/15/2011,0,Bitcoin,EE,2011-07-01 2011-07-31,web,0
16,7/16/2011,0,Bitcoin,EE,2011-07-01 2011-07-31,web,0
17,7/17/2011,0,Bitcoin,EE,2011-07-01 2011-07-31,web,0
18,7/18/2011,93,Bitcoin,EE,2011-07-01 2011-07-31,web,0
19,7/19/2011,0,Bitcoin,EE,2011-07-01 2011-07-31,web,0
20,7/20/2011,0,Bitcoin,EE,2011-07-01 2011-07-31,web,0
21,7/21/2011,100,Bitcoin,EE,2011-07-01 2011-07-31,web,0
22,7/22/2011,0,Bitcoin,EE,2011-07-01 2011-07-31,web,0
23,7/23/2011,0,Bitcoin,EE,2011-07-01 2011-07-31,web,0
24,7/24/2011,0,Bitcoin,EE,2011-07-01 2011-07-31,web,0
25,7/25/2011,0,Bitcoin,EE,2011-07-01 2011-07-31,web,0
26,7/26/2011,0,Bitcoin,EE,2011-07-01 2011-07-31,web,0
27,7/27/2011,0,Bitcoin,EE,2011-07-01 2011-07-31,web,0
28,7/28/2011,0,Bitcoin,EE,2011-07-01 2011-07-31,web,0
29,7/29/2011,0,Bitcoin,EE,2011-07-01 2011-07-31,web,0
30,7/30/2011,0,Bitcoin,EE,2011-07-01 2011-07-31,web,0
31,7/31/2011,0,Bitcoin,EE,2011-07-01 2011-07-31,web,0
32,11/1/2013,28,Bitcoin,EE,2013-11-01 2013-11-30,web,0
33,11/2/2013,39,Bitcoin,EE,2013-11-01 2013-11-30,web,0
34,11/3/2013,38,Bitcoin,EE,2013-11-01 2013-11-30,web,0
35,11/4/2013,24,Bitcoin,EE,2013-11-01 2013-11-30,web,0
36,11/5/2013,98,Bitcoin,EE,2013-11-01 2013-11-30,web,0
37,11/6/2013,0,Bitcoin,EE,2013-11-01 2013-11-30,web,0
