,date,hits,keyword,geo,time,gprop,category
1,3/1/2015,0,Bitcoin,EG,2015-03-01 2015-03-31,web,0
2,3/2/2015,0,Bitcoin,EG,2015-03-01 2015-03-31,web,0
3,3/3/2015,0,Bitcoin,EG,2015-03-01 2015-03-31,web,0
4,3/4/2015,0,Bitcoin,EG,2015-03-01 2015-03-31,web,0
5,3/5/2015,41,Bitcoin,EG,2015-03-01 2015-03-31,web,0
6,3/6/2015,28,Bitcoin,EG,2015-03-01 2015-03-31,web,0
7,3/7/2015,32,Bitcoin,EG,2015-03-01 2015-03-31,web,0
8,3/8/2015,0,Bitcoin,EG,2015-03-01 2015-03-31,web,0
9,3/9/2015,0,Bitcoin,EG,2015-03-01 2015-03-31,web,0
10,3/10/2015,0,Bitcoin,EG,2015-03-01 2015-03-31,web,0
11,3/11/2015,0,Bitcoin,EG,2015-03-01 2015-03-31,web,0
12,3/12/2015,94,Bitcoin,EG,2015-03-01 2015-03-31,web,0
13,3/13/2015,0,Bitcoin,EG,2015-03-01 2015-03-31,web,0
14,3/14/2015,0,Bitcoin,EG,2015-03-01 2015-03-31,web,0
15,3/15/2015,0,Bitcoin,EG,2015-03-01 2015-03-31,web,0
16,3/16/2015,100,Bitcoin,EG,2015-03-01 2015-03-31,web,0
17,3/17/2015,0,Bitcoin,EG,2015-03-01 2015-03-31,web,0
18,3/18/2015,50,Bitcoin,EG,2015-03-01 2015-03-31,web,0
19,3/19/2015,0,Bitcoin,EG,2015-03-01 2015-03-31,web,0
20,3/20/2015,27,Bitcoin,EG,2015-03-01 2015-03-31,web,0
21,3/21/2015,0,Bitcoin,EG,2015-03-01 2015-03-31,web,0
22,3/22/2015,42,Bitcoin,EG,2015-03-01 2015-03-31,web,0
23,3/23/2015,0,Bitcoin,EG,2015-03-01 2015-03-31,web,0
24,3/24/2015,83,Bitcoin,EG,2015-03-01 2015-03-31,web,0
25,3/25/2015,0,Bitcoin,EG,2015-03-01 2015-03-31,web,0
26,3/26/2015,0,Bitcoin,EG,2015-03-01 2015-03-31,web,0
27,3/27/2015,49,Bitcoin,EG,2015-03-01 2015-03-31,web,0
28,3/28/2015,0,Bitcoin,EG,2015-03-01 2015-03-31,web,0
29,3/29/2015,68,Bitcoin,EG,2015-03-01 2015-03-31,web,0
30,3/30/2015,0,Bitcoin,EG,2015-03-01 2015-03-31,web,0
31,3/31/2015,0,Bitcoin,EG,2015-03-01 2015-03-31,web,0
32,7/1/2015,0,Bitcoin,EG,2015-07-01 2015-07-31,web,0
33,7/2/2015,35,Bitcoin,EG,2015-07-01 2015-07-31,web,0
34,7/3/2015,100,Bitcoin,EG,2015-07-01 2015-07-31,web,0
35,7/4/2015,33,Bitcoin,EG,2015-07-01 2015-07-31,web,0
36,7/5/2015,26,Bitcoin,EG,2015-07-01 2015-07-31,web,0
37,7/6/2015,0,Bitcoin,EG,2015-07-01 2015-07-31,web,0
38,7/7/2015,40,Bitcoin,EG,2015-07-01 2015-07-31,web,0
39,7/8/2015,0,Bitcoin,EG,2015-07-01 2015-07-31,web,0
40,7/9/2015,37,Bitcoin,EG,2015-07-01 2015-07-31,web,0
41,7/10/2015,48,Bitcoin,EG,2015-07-01 2015-07-31,web,0
42,7/11/2015,0,Bitcoin,EG,2015-07-01 2015-07-31,web,0
43,7/12/2015,60,Bitcoin,EG,2015-07-01 2015-07-31,web,0
44,7/13/2015,0,Bitcoin,EG,2015-07-01 2015-07-31,web,0
45,7/14/2015,31,Bitcoin,EG,2015-07-01 2015-07-31,web,0
46,7/15/2015,40,Bitcoin,EG,2015-07-01 2015-07-31,web,0
47,7/16/2015,0,Bitcoin,EG,2015-07-01 2015-07-31,web,0
48,7/17/2015,0,Bitcoin,EG,2015-07-01 2015-07-31,web,0
49,7/18/2015,0,Bitcoin,EG,2015-07-01 2015-07-31,web,0
50,7/19/2015,0,Bitcoin,EG,2015-07-01 2015-07-31,web,0
51,7/20/2015,0,Bitcoin,EG,2015-07-01 2015-07-31,web,0
52,7/21/2015,0,Bitcoin,EG,2015-07-01 2015-07-31,web,0
53,7/22/2015,0,Bitcoin,EG,2015-07-01 2015-07-31,web,0
54,7/23/2015,0,Bitcoin,EG,2015-07-01 2015-07-31,web,0
55,7/24/2015,0,Bitcoin,EG,2015-07-01 2015-07-31,web,0
56,7/25/2015,0,Bitcoin,EG,2015-07-01 2015-07-31,web,0
57,7/26/2015,0,Bitcoin,EG,2015-07-01 2015-07-31,web,0
58,7/27/2015,0,Bitcoin,EG,2015-07-01 2015-07-31,web,0
59,7/28/2015,0,Bitcoin,EG,2015-07-01 2015-07-31,web,0
60,7/29/2015,34,Bitcoin,EG,2015-07-01 2015-07-31,web,0
61,7/30/2015,0,Bitcoin,EG,2015-07-01 2015-07-31,web,0
62,7/31/2015,0,Bitcoin,EG,2015-07-01 2015-07-31,web,0
63,10/1/2015,0,Bitcoin,EG,2015-10-01 2015-10-31,web,0
64,10/2/2015,80,Bitcoin,EG,2015-10-01 2015-10-31,web,0
65,10/3/2015,0,Bitcoin,EG,2015-10-01 2015-10-31,web,0
66,10/4/2015,0,Bitcoin,EG,2015-10-01 2015-10-31,web,0
67,10/5/2015,0,Bitcoin,EG,2015-10-01 2015-10-31,web,0
68,10/6/2015,0,Bitcoin,EG,2015-10-01 2015-10-31,web,0
