,date,hits,keyword,geo,time,gprop,category
1,10/1/2017,0,Bitcoin,FO,2017-10-01 2017-10-31,web,0
2,10/2/2017,0,Bitcoin,FO,2017-10-01 2017-10-31,web,0
3,10/3/2017,0,Bitcoin,FO,2017-10-01 2017-10-31,web,0
4,10/4/2017,0,Bitcoin,FO,2017-10-01 2017-10-31,web,0
5,10/5/2017,0,Bitcoin,FO,2017-10-01 2017-10-31,web,0
6,10/6/2017,0,Bitcoin,FO,2017-10-01 2017-10-31,web,0
7,10/7/2017,0,Bitcoin,FO,2017-10-01 2017-10-31,web,0
8,10/8/2017,0,Bitcoin,FO,2017-10-01 2017-10-31,web,0
9,10/9/2017,0,Bitcoin,FO,2017-10-01 2017-10-31,web,0
10,10/10/2017,0,Bitcoin,FO,2017-10-01 2017-10-31,web,0
11,10/11/2017,0,Bitcoin,FO,2017-10-01 2017-10-31,web,0
12,10/12/2017,0,Bitcoin,FO,2017-10-01 2017-10-31,web,0
13,10/13/2017,0,Bitcoin,FO,2017-10-01 2017-10-31,web,0
14,10/14/2017,0,Bitcoin,FO,2017-10-01 2017-10-31,web,0
15,10/15/2017,43,Bitcoin,FO,2017-10-01 2017-10-31,web,0
16,10/16/2017,0,Bitcoin,FO,2017-10-01 2017-10-31,web,0
17,10/17/2017,0,Bitcoin,FO,2017-10-01 2017-10-31,web,0
18,10/18/2017,63,Bitcoin,FO,2017-10-01 2017-10-31,web,0
19,10/19/2017,0,Bitcoin,FO,2017-10-01 2017-10-31,web,0
20,10/20/2017,50,Bitcoin,FO,2017-10-01 2017-10-31,web,0
21,10/21/2017,92,Bitcoin,FO,2017-10-01 2017-10-31,web,0
22,10/22/2017,100,Bitcoin,FO,2017-10-01 2017-10-31,web,0
23,10/23/2017,0,Bitcoin,FO,2017-10-01 2017-10-31,web,0
24,10/24/2017,57,Bitcoin,FO,2017-10-01 2017-10-31,web,0
25,10/25/2017,0,Bitcoin,FO,2017-10-01 2017-10-31,web,0
26,10/26/2017,34,Bitcoin,FO,2017-10-01 2017-10-31,web,0
27,10/27/2017,35,Bitcoin,FO,2017-10-01 2017-10-31,web,0
28,10/28/2017,49,Bitcoin,FO,2017-10-01 2017-10-31,web,0
29,10/29/2017,38,Bitcoin,FO,2017-10-01 2017-10-31,web,0
30,10/30/2017,0,Bitcoin,FO,2017-10-01 2017-10-31,web,0
31,10/31/2017,0,Bitcoin,FO,2017-10-01 2017-10-31,web,0
32,11/1/2017,0,Bitcoin,FO,2017-11-01 2017-11-30,web,0
33,11/2/2017,0,Bitcoin,FO,2017-11-01 2017-11-30,web,0
34,11/3/2017,0,Bitcoin,FO,2017-11-01 2017-11-30,web,0
35,11/4/2017,0,Bitcoin,FO,2017-11-01 2017-11-30,web,0
36,11/5/2017,0,Bitcoin,FO,2017-11-01 2017-11-30,web,0
37,11/6/2017,0,Bitcoin,FO,2017-11-01 2017-11-30,web,0
38,11/7/2017,48,Bitcoin,FO,2017-11-01 2017-11-30,web,0
39,11/8/2017,0,Bitcoin,FO,2017-11-01 2017-11-30,web,0
40,11/9/2017,0,Bitcoin,FO,2017-11-01 2017-11-30,web,0
41,11/10/2017,0,Bitcoin,FO,2017-11-01 2017-11-30,web,0
42,11/11/2017,0,Bitcoin,FO,2017-11-01 2017-11-30,web,0
43,11/12/2017,48,Bitcoin,FO,2017-11-01 2017-11-30,web,0
44,11/13/2017,0,Bitcoin,FO,2017-11-01 2017-11-30,web,0
45,11/14/2017,41,Bitcoin,FO,2017-11-01 2017-11-30,web,0
46,11/15/2017,0,Bitcoin,FO,2017-11-01 2017-11-30,web,0
47,11/16/2017,46,Bitcoin,FO,2017-11-01 2017-11-30,web,0
48,11/17/2017,0,Bitcoin,FO,2017-11-01 2017-11-30,web,0
