,date,hits,keyword,geo,time,gprop,category
1,6/1/2017,48,Bitcoin,GI,2017-06-01 2017-06-30,web,0
2,6/2/2017,0,Bitcoin,GI,2017-06-01 2017-06-30,web,0
3,6/3/2017,0,Bitcoin,GI,2017-06-01 2017-06-30,web,0
4,6/4/2017,0,Bitcoin,GI,2017-06-01 2017-06-30,web,0
5,6/5/2017,0,Bitcoin,GI,2017-06-01 2017-06-30,web,0
6,6/6/2017,0,Bitcoin,GI,2017-06-01 2017-06-30,web,0
7,6/7/2017,0,Bitcoin,GI,2017-06-01 2017-06-30,web,0
8,6/8/2017,0,Bitcoin,GI,2017-06-01 2017-06-30,web,0
9,6/9/2017,0,Bitcoin,GI,2017-06-01 2017-06-30,web,0
10,6/10/2017,0,Bitcoin,GI,2017-06-01 2017-06-30,web,0
11,6/11/2017,0,Bitcoin,GI,2017-06-01 2017-06-30,web,0
12,6/12/2017,0,Bitcoin,GI,2017-06-01 2017-06-30,web,0
13,6/13/2017,0,Bitcoin,GI,2017-06-01 2017-06-30,web,0
14,6/14/2017,0,Bitcoin,GI,2017-06-01 2017-06-30,web,0
15,6/15/2017,0,Bitcoin,GI,2017-06-01 2017-06-30,web,0
16,6/16/2017,0,Bitcoin,GI,2017-06-01 2017-06-30,web,0
17,6/17/2017,95,Bitcoin,GI,2017-06-01 2017-06-30,web,0
18,6/18/2017,0,Bitcoin,GI,2017-06-01 2017-06-30,web,0
19,6/19/2017,100,Bitcoin,GI,2017-06-01 2017-06-30,web,0
20,6/20/2017,0,Bitcoin,GI,2017-06-01 2017-06-30,web,0
21,6/21/2017,47,Bitcoin,GI,2017-06-01 2017-06-30,web,0
22,6/22/2017,0,Bitcoin,GI,2017-06-01 2017-06-30,web,0
23,6/23/2017,0,Bitcoin,GI,2017-06-01 2017-06-30,web,0
24,6/24/2017,0,Bitcoin,GI,2017-06-01 2017-06-30,web,0
25,6/25/2017,0,Bitcoin,GI,2017-06-01 2017-06-30,web,0
26,6/26/2017,0,Bitcoin,GI,2017-06-01 2017-06-30,web,0
