"","date","hits","keyword","geo","time","gprop","category"
"1",2013-12-01,"0","Bitcoin","GU","2013-12-01 2013-12-31","web",0
"2",2013-12-02,"0","Bitcoin","GU","2013-12-01 2013-12-31","web",0
"3",2013-12-03,"0","Bitcoin","GU","2013-12-01 2013-12-31","web",0
"4",2013-12-04,"28","Bitcoin","GU","2013-12-01 2013-12-31","web",0
"5",2013-12-05,"21","Bitcoin","GU","2013-12-01 2013-12-31","web",0
"6",2013-12-06,"82","Bitcoin","GU","2013-12-01 2013-12-31","web",0
"7",2013-12-07,"0","Bitcoin","GU","2013-12-01 2013-12-31","web",0
"8",2013-12-08,"0","Bitcoin","GU","2013-12-01 2013-12-31","web",0
"9",2013-12-09,"0","Bitcoin","GU","2013-12-01 2013-12-31","web",0
"10",2013-12-10,"0","Bitcoin","GU","2013-12-01 2013-12-31","web",0
"11",2013-12-11,"30","Bitcoin","GU","2013-12-01 2013-12-31","web",0
"12",2013-12-12,"0","Bitcoin","GU","2013-12-01 2013-12-31","web",0
"13",2013-12-13,"0","Bitcoin","GU","2013-12-01 2013-12-31","web",0
"14",2013-12-14,"0","Bitcoin","GU","2013-12-01 2013-12-31","web",0
"15",2013-12-15,"0","Bitcoin","GU","2013-12-01 2013-12-31","web",0
"16",2013-12-16,"0","Bitcoin","GU","2013-12-01 2013-12-31","web",0
"17",2013-12-17,"0","Bitcoin","GU","2013-12-01 2013-12-31","web",0
"18",2013-12-18,"0","Bitcoin","GU","2013-12-01 2013-12-31","web",0
"19",2013-12-19,"0","Bitcoin","GU","2013-12-01 2013-12-31","web",0
"20",2013-12-20,"0","Bitcoin","GU","2013-12-01 2013-12-31","web",0
"21",2013-12-21,"0","Bitcoin","GU","2013-12-01 2013-12-31","web",0
"22",2013-12-22,"0","Bitcoin","GU","2013-12-01 2013-12-31","web",0
"23",2013-12-23,"0","Bitcoin","GU","2013-12-01 2013-12-31","web",0
"24",2013-12-24,"0","Bitcoin","GU","2013-12-01 2013-12-31","web",0
"25",2013-12-25,"0","Bitcoin","GU","2013-12-01 2013-12-31","web",0
"26",2013-12-26,"0","Bitcoin","GU","2013-12-01 2013-12-31","web",0
"27",2013-12-27,"100","Bitcoin","GU","2013-12-01 2013-12-31","web",0
"28",2013-12-28,"0","Bitcoin","GU","2013-12-01 2013-12-31","web",0
"29",2013-12-29,"0","Bitcoin","GU","2013-12-01 2013-12-31","web",0
"30",2013-12-30,"0","Bitcoin","GU","2013-12-01 2013-12-31","web",0
"31",2013-12-31,"0","Bitcoin","GU","2013-12-01 2013-12-31","web",0
"32",2014-03-01,"0","Bitcoin","GU","2014-03-01 2014-03-31","web",0
"33",2014-03-02,"39","Bitcoin","GU","2014-03-01 2014-03-31","web",0
"34",2014-03-03,"0","Bitcoin","GU","2014-03-01 2014-03-31","web",0
"35",2014-03-04,"0","Bitcoin","GU","2014-03-01 2014-03-31","web",0
"36",2014-03-05,"0","Bitcoin","GU","2014-03-01 2014-03-31","web",0
"37",2014-03-06,"0","Bitcoin","GU","2014-03-01 2014-03-31","web",0
"38",2014-03-07,"0","Bitcoin","GU","2014-03-01 2014-03-31","web",0
"39",2014-03-08,"41","Bitcoin","GU","2014-03-01 2014-03-31","web",0
"40",2014-03-09,"0","Bitcoin","GU","2014-03-01 2014-03-31","web",0
"41",2014-03-10,"0","Bitcoin","GU","2014-03-01 2014-03-31","web",0
"42",2014-03-11,"100","Bitcoin","GU","2014-03-01 2014-03-31","web",0
"43",2014-03-12,"0","Bitcoin","GU","2014-03-01 2014-03-31","web",0
"44",2014-03-13,"46","Bitcoin","GU","2014-03-01 2014-03-31","web",0
"45",2014-03-14,"0","Bitcoin","GU","2014-03-01 2014-03-31","web",0
"46",2014-03-15,"0","Bitcoin","GU","2014-03-01 2014-03-31","web",0
"47",2014-03-16,"0","Bitcoin","GU","2014-03-01 2014-03-31","web",0
"48",2014-03-17,"40","Bitcoin","GU","2014-03-01 2014-03-31","web",0
"49",2014-03-18,"0","Bitcoin","GU","2014-03-01 2014-03-31","web",0
"50",2014-03-19,"0","Bitcoin","GU","2014-03-01 2014-03-31","web",0
"51",2014-03-20,"0","Bitcoin","GU","2014-03-01 2014-03-31","web",0
"52",2014-03-21,"46","Bitcoin","GU","2014-03-01 2014-03-31","web",0
"53",2014-03-22,"0","Bitcoin","GU","2014-03-01 2014-03-31","web",0
"54",2014-03-23,"0","Bitcoin","GU","2014-03-01 2014-03-31","web",0
"55",2014-03-24,"0","Bitcoin","GU","2014-03-01 2014-03-31","web",0
"56",2014-03-25,"0","Bitcoin","GU","2014-03-01 2014-03-31","web",0
"57",2014-03-26,"0","Bitcoin","GU","2014-03-01 2014-03-31","web",0
"58",2014-03-27,"0","Bitcoin","GU","2014-03-01 2014-03-31","web",0
"59",2014-03-28,"0","Bitcoin","GU","2014-03-01 2014-03-31","web",0
"60",2014-03-29,"0","Bitcoin","GU","2014-03-01 2014-03-31","web",0
"61",2014-03-30,"0","Bitcoin","GU","2014-03-01 2014-03-31","web",0
"62",2014-03-31,"84","Bitcoin","GU","2014-03-01 2014-03-31","web",0
"63",2015-11-01,"0","Bitcoin","GU","2015-11-01 2015-11-30","web",0
"64",2015-11-02,"100","Bitcoin","GU","2015-11-01 2015-11-30","web",0
"65",2015-11-03,"46","Bitcoin","GU","2015-11-01 2015-11-30","web",0
"66",2015-11-04,"0","Bitcoin","GU","2015-11-01 2015-11-30","web",0
"67",2015-11-05,"72","Bitcoin","GU","2015-11-01 2015-11-30","web",0
"68",2015-11-06,"0","Bitcoin","GU","2015-11-01 2015-11-30","web",0
"69",2015-11-07,"0","Bitcoin","GU","2015-11-01 2015-11-30","web",0
"70",2015-11-08,"0","Bitcoin","GU","2015-11-01 2015-11-30","web",0
"71",2015-11-09,"0","Bitcoin","GU","2015-11-01 2015-11-30","web",0
"72",2015-11-10,"36","Bitcoin","GU","2015-11-01 2015-11-30","web",0
"73",2015-11-11,"0","Bitcoin","GU","2015-11-01 2015-11-30","web",0
"74",2015-11-12,"0","Bitcoin","GU","2015-11-01 2015-11-30","web",0
"75",2015-11-13,"0","Bitcoin","GU","2015-11-01 2015-11-30","web",0
"76",2015-11-14,"0","Bitcoin","GU","2015-11-01 2015-11-30","web",0
"77",2015-11-15,"0","Bitcoin","GU","2015-11-01 2015-11-30","web",0
"78",2015-11-16,"0","Bitcoin","GU","2015-11-01 2015-11-30","web",0
"79",2015-11-17,"0","Bitcoin","GU","2015-11-01 2015-11-30","web",0
"80",2015-11-18,"21","Bitcoin","GU","2015-11-01 2015-11-30","web",0
"81",2015-11-19,"0","Bitcoin","GU","2015-11-01 2015-11-30","web",0
"82",2015-11-20,"0","Bitcoin","GU","2015-11-01 2015-11-30","web",0
"83",2015-11-21,"0","Bitcoin","GU","2015-11-01 2015-11-30","web",0
"84",2015-11-22,"30","Bitcoin","GU","2015-11-01 2015-11-30","web",0
"85",2015-11-23,"76","Bitcoin","GU","2015-11-01 2015-11-30","web",0
"86",2015-11-24,"0","Bitcoin","GU","2015-11-01 2015-11-30","web",0
"87",2015-11-25,"30","Bitcoin","GU","2015-11-01 2015-11-30","web",0
"88",2015-11-26,"0","Bitcoin","GU","2015-11-01 2015-11-30","web",0
"89",2015-11-27,"0","Bitcoin","GU","2015-11-01 2015-11-30","web",0
"90",2015-11-28,"0","Bitcoin","GU","2015-11-01 2015-11-30","web",0
"91",2015-11-29,"0","Bitcoin","GU","2015-11-01 2015-11-30","web",0
"92",2015-11-30,"0","Bitcoin","GU","2015-11-01 2015-11-30","web",0
"93",2015-12-01,"0","Bitcoin","GU","2015-12-01 2015-12-31","web",0
"94",2015-12-02,"0","Bitcoin","GU","2015-12-01 2015-12-31","web",0
"95",2015-12-03,"51","Bitcoin","GU","2015-12-01 2015-12-31","web",0
"96",2015-12-04,"27","Bitcoin","GU","2015-12-01 2015-12-31","web",0
"97",2015-12-05,"0","Bitcoin","GU","2015-12-01 2015-12-31","web",0
"98",2015-12-06,"0","Bitcoin","GU","2015-12-01 2015-12-31","web",0
"99",2015-12-07,"0","Bitcoin","GU","2015-12-01 2015-12-31","web",0
"100",2015-12-08,"0","Bitcoin","GU","2015-12-01 2015-12-31","web",0
"101",2015-12-09,"28","Bitcoin","GU","2015-12-01 2015-12-31","web",0
"102",2015-12-10,"29","Bitcoin","GU","2015-12-01 2015-12-31","web",0
"103",2015-12-11,"38","Bitcoin","GU","2015-12-01 2015-12-31","web",0
"104",2015-12-12,"0","Bitcoin","GU","2015-12-01 2015-12-31","web",0
"105",2015-12-13,"28","Bitcoin","GU","2015-12-01 2015-12-31","web",0
"106",2015-12-14,"0","Bitcoin","GU","2015-12-01 2015-12-31","web",0
"107",2015-12-15,"0","Bitcoin","GU","2015-12-01 2015-12-31","web",0
"108",2015-12-16,"0","Bitcoin","GU","2015-12-01 2015-12-31","web",0
"109",2015-12-17,"0","Bitcoin","GU","2015-12-01 2015-12-31","web",0
"110",2015-12-18,"0","Bitcoin","GU","2015-12-01 2015-12-31","web",0
