"","date","hits","keyword","geo","time","gprop","category"
"1",2014-02-01,"13","Bitcoin","IE","2014-02-01 2014-02-28","web",0
"2",2014-02-02,"22","Bitcoin","IE","2014-02-01 2014-02-28","web",0
"3",2014-02-03,"48","Bitcoin","IE","2014-02-01 2014-02-28","web",0
"4",2014-02-04,"17","Bitcoin","IE","2014-02-01 2014-02-28","web",0
"5",2014-02-05,"11","Bitcoin","IE","2014-02-01 2014-02-28","web",0
"6",2014-02-06,"52","Bitcoin","IE","2014-02-01 2014-02-28","web",0
"7",2014-02-07,"22","Bitcoin","IE","2014-02-01 2014-02-28","web",0
"8",2014-02-08,"27","Bitcoin","IE","2014-02-01 2014-02-28","web",0
"9",2014-02-09,"0","Bitcoin","IE","2014-02-01 2014-02-28","web",0
"10",2014-02-10,"42","Bitcoin","IE","2014-02-01 2014-02-28","web",0
"11",2014-02-11,"59","Bitcoin","IE","2014-02-01 2014-02-28","web",0
"12",2014-02-12,"58","Bitcoin","IE","2014-02-01 2014-02-28","web",0
"13",2014-02-13,"23","Bitcoin","IE","2014-02-01 2014-02-28","web",0
"14",2014-02-14,"65","Bitcoin","IE","2014-02-01 2014-02-28","web",0
"15",2014-02-15,"16","Bitcoin","IE","2014-02-01 2014-02-28","web",0
"16",2014-02-16,"44","Bitcoin","IE","2014-02-01 2014-02-28","web",0
"17",2014-02-17,"12","Bitcoin","IE","2014-02-01 2014-02-28","web",0
"18",2014-02-18,"52","Bitcoin","IE","2014-02-01 2014-02-28","web",0
"19",2014-02-19,"62","Bitcoin","IE","2014-02-01 2014-02-28","web",0
"20",2014-02-20,"47","Bitcoin","IE","2014-02-01 2014-02-28","web",0
"21",2014-02-21,"52","Bitcoin","IE","2014-02-01 2014-02-28","web",0
"22",2014-02-22,"0","Bitcoin","IE","2014-02-01 2014-02-28","web",0
"23",2014-02-23,"0","Bitcoin","IE","2014-02-01 2014-02-28","web",0
"24",2014-02-24,"40","Bitcoin","IE","2014-02-01 2014-02-28","web",0
"25",2014-02-25,"81","Bitcoin","IE","2014-02-01 2014-02-28","web",0
"26",2014-02-26,"38","Bitcoin","IE","2014-02-01 2014-02-28","web",0
"27",2014-02-27,"29","Bitcoin","IE","2014-02-01 2014-02-28","web",0
"28",2014-02-28,"100","Bitcoin","IE","2014-02-01 2014-02-28","web",0
"29",2017-10-01,"42","Bitcoin","IE","2017-10-01 2017-10-31","web",0
"30",2017-10-02,"32","Bitcoin","IE","2017-10-01 2017-10-31","web",0
"31",2017-10-03,"40","Bitcoin","IE","2017-10-01 2017-10-31","web",0
"32",2017-10-04,"23","Bitcoin","IE","2017-10-01 2017-10-31","web",0
"33",2017-10-05,"29","Bitcoin","IE","2017-10-01 2017-10-31","web",0
"34",2017-10-06,"36","Bitcoin","IE","2017-10-01 2017-10-31","web",0
"35",2017-10-07,"48","Bitcoin","IE","2017-10-01 2017-10-31","web",0
"36",2017-10-08,"42","Bitcoin","IE","2017-10-01 2017-10-31","web",0
"37",2017-10-09,"60","Bitcoin","IE","2017-10-01 2017-10-31","web",0
"38",2017-10-10,"46","Bitcoin","IE","2017-10-01 2017-10-31","web",0
"39",2017-10-11,"35","Bitcoin","IE","2017-10-01 2017-10-31","web",0
"40",2017-10-12,"70","Bitcoin","IE","2017-10-01 2017-10-31","web",0
"41",2017-10-13,"100","Bitcoin","IE","2017-10-01 2017-10-31","web",0
"42",2017-10-14,"62","Bitcoin","IE","2017-10-01 2017-10-31","web",0
"43",2017-10-15,"57","Bitcoin","IE","2017-10-01 2017-10-31","web",0
"44",2017-10-16,"25","Bitcoin","IE","2017-10-01 2017-10-31","web",0
"45",2017-10-17,"70","Bitcoin","IE","2017-10-01 2017-10-31","web",0
"46",2017-10-18,"61","Bitcoin","IE","2017-10-01 2017-10-31","web",0
"47",2017-10-19,"32","Bitcoin","IE","2017-10-01 2017-10-31","web",0
"48",2017-10-20,"53","Bitcoin","IE","2017-10-01 2017-10-31","web",0
"49",2017-10-21,"90","Bitcoin","IE","2017-10-01 2017-10-31","web",0
"50",2017-10-22,"76","Bitcoin","IE","2017-10-01 2017-10-31","web",0
"51",2017-10-23,"89","Bitcoin","IE","2017-10-01 2017-10-31","web",0
"52",2017-10-24,"85","Bitcoin","IE","2017-10-01 2017-10-31","web",0
"53",2017-10-25,"75","Bitcoin","IE","2017-10-01 2017-10-31","web",0
"54",2017-10-26,"51","Bitcoin","IE","2017-10-01 2017-10-31","web",0
"55",2017-10-27,"48","Bitcoin","IE","2017-10-01 2017-10-31","web",0
"56",2017-10-28,"58","Bitcoin","IE","2017-10-01 2017-10-31","web",0
"57",2017-10-29,"49","Bitcoin","IE","2017-10-01 2017-10-31","web",0
"58",2017-10-30,"64","Bitcoin","IE","2017-10-01 2017-10-31","web",0
"59",2017-10-31,"67","Bitcoin","IE","2017-10-01 2017-10-31","web",0
"60",2018-05-01,"52","Bitcoin","IE","2018-05-01 2018-05-31","web",0
"61",2018-05-02,"56","Bitcoin","IE","2018-05-01 2018-05-31","web",0
"62",2018-05-03,"55","Bitcoin","IE","2018-05-01 2018-05-31","web",0
"63",2018-05-04,"27","Bitcoin","IE","2018-05-01 2018-05-31","web",0
"64",2018-05-05,"40","Bitcoin","IE","2018-05-01 2018-05-31","web",0
"65",2018-05-06,"48","Bitcoin","IE","2018-05-01 2018-05-31","web",0
"66",2018-05-07,"77","Bitcoin","IE","2018-05-01 2018-05-31","web",0
"67",2018-05-08,"100","Bitcoin","IE","2018-05-01 2018-05-31","web",0
"68",2018-05-09,"46","Bitcoin","IE","2018-05-01 2018-05-31","web",0
"69",2018-05-10,"69","Bitcoin","IE","2018-05-01 2018-05-31","web",0
"70",2018-05-11,"54","Bitcoin","IE","2018-05-01 2018-05-31","web",0
"71",2018-05-12,"57","Bitcoin","IE","2018-05-01 2018-05-31","web",0
"72",2018-05-13,"72","Bitcoin","IE","2018-05-01 2018-05-31","web",0
"73",2018-05-14,"41","Bitcoin","IE","2018-05-01 2018-05-31","web",0
"74",2018-05-15,"44","Bitcoin","IE","2018-05-01 2018-05-31","web",0
"75",2018-05-16,"52","Bitcoin","IE","2018-05-01 2018-05-31","web",0
"76",2018-05-17,"43","Bitcoin","IE","2018-05-01 2018-05-31","web",0
"77",2018-05-18,"57","Bitcoin","IE","2018-05-01 2018-05-31","web",0
"78",2018-05-19,"50","Bitcoin","IE","2018-05-01 2018-05-31","web",0
"79",2018-05-20,"24","Bitcoin","IE","2018-05-01 2018-05-31","web",0
"80",2018-05-21,"81","Bitcoin","IE","2018-05-01 2018-05-31","web",0
"81",2018-05-22,"14","Bitcoin","IE","2018-05-01 2018-05-31","web",0
"82",2018-05-23,"72","Bitcoin","IE","2018-05-01 2018-05-31","web",0
"83",2018-05-24,"54","Bitcoin","IE","2018-05-01 2018-05-31","web",0
"84",2018-05-25,"58","Bitcoin","IE","2018-05-01 2018-05-31","web",0
"85",2018-05-26,"29","Bitcoin","IE","2018-05-01 2018-05-31","web",0
"86",2018-05-27,"36","Bitcoin","IE","2018-05-01 2018-05-31","web",0
"87",2018-05-28,"58","Bitcoin","IE","2018-05-01 2018-05-31","web",0
"88",2018-05-29,"54","Bitcoin","IE","2018-05-01 2018-05-31","web",0
"89",2018-05-30,"65","Bitcoin","IE","2018-05-01 2018-05-31","web",0
"90",2018-05-31,"46","Bitcoin","IE","2018-05-01 2018-05-31","web",0
"91",2020-03-01,"34","Bitcoin","IE","2020-03-01 2020-03-31","web",0
"92",2020-03-02,"33","Bitcoin","IE","2020-03-01 2020-03-31","web",0
"93",2020-03-03,"35","Bitcoin","IE","2020-03-01 2020-03-31","web",0
"94",2020-03-04,"21","Bitcoin","IE","2020-03-01 2020-03-31","web",0
"95",2020-03-05,"43","Bitcoin","IE","2020-03-01 2020-03-31","web",0
"96",2020-03-06,"30","Bitcoin","IE","2020-03-01 2020-03-31","web",0
"97",2020-03-07,"33","Bitcoin","IE","2020-03-01 2020-03-31","web",0
"98",2020-03-08,"45","Bitcoin","IE","2020-03-01 2020-03-31","web",0
"99",2020-03-09,"54","Bitcoin","IE","2020-03-01 2020-03-31","web",0
"100",2020-03-10,"47","Bitcoin","IE","2020-03-01 2020-03-31","web",0
"101",2020-03-11,"21","Bitcoin","IE","2020-03-01 2020-03-31","web",0
"102",2020-03-12,"78","Bitcoin","IE","2020-03-01 2020-03-31","web",0
"103",2020-03-13,"100","Bitcoin","IE","2020-03-01 2020-03-31","web",0
"104",2020-03-14,"68","Bitcoin","IE","2020-03-01 2020-03-31","web",0
"105",2020-03-15,"63","Bitcoin","IE","2020-03-01 2020-03-31","web",0
