"","hits","date","keyword","geo","time","gprop","category"
"1","58",2023-03-21 18:16:00,"Bitcoin","US","now 1-d","web",0
"2","61",2023-03-21 18:24:00,"Bitcoin","US","now 1-d","web",0
"3","62",2023-03-21 18:32:00,"Bitcoin","US","now 1-d","web",0
"4","57",2023-03-21 18:40:00,"Bitcoin","US","now 1-d","web",0
"5","59",2023-03-21 18:48:00,"Bitcoin","US","now 1-d","web",0
"6","61",2023-03-21 18:56:00,"Bitcoin","US","now 1-d","web",0
"7","57",2023-03-21 19:04:00,"Bitcoin","US","now 1-d","web",0
"8","59",2023-03-21 19:12:00,"Bitcoin","US","now 1-d","web",0
"9","63",2023-03-21 19:20:00,"Bitcoin","US","now 1-d","web",0
"10","56",2023-03-21 19:28:00,"Bitcoin","US","now 1-d","web",0
"11","56",2023-03-21 19:36:00,"Bitcoin","US","now 1-d","web",0
"12","64",2023-03-21 19:44:00,"Bitcoin","US","now 1-d","web",0
"13","57",2023-03-21 19:52:00,"Bitcoin","US","now 1-d","web",0
"14","63",2023-03-21 20:00:00,"Bitcoin","US","now 1-d","web",0
"15","60",2023-03-21 20:08:00,"Bitcoin","US","now 1-d","web",0
"16","63",2023-03-21 20:16:00,"Bitcoin","US","now 1-d","web",0
"17","60",2023-03-21 20:24:00,"Bitcoin","US","now 1-d","web",0
"18","59",2023-03-21 20:32:00,"Bitcoin","US","now 1-d","web",0
"19","64",2023-03-21 20:40:00,"Bitcoin","US","now 1-d","web",0
"20","57",2023-03-21 20:48:00,"Bitcoin","US","now 1-d","web",0
"21","58",2023-03-21 20:56:00,"Bitcoin","US","now 1-d","web",0
"22","61",2023-03-21 21:04:00,"Bitcoin","US","now 1-d","web",0
"23","57",2023-03-21 21:12:00,"Bitcoin","US","now 1-d","web",0
"24","56",2023-03-21 21:20:00,"Bitcoin","US","now 1-d","web",0
"25","55",2023-03-21 21:28:00,"Bitcoin","US","now 1-d","web",0
"26","55",2023-03-21 21:36:00,"Bitcoin","US","now 1-d","web",0
"27","50",2023-03-21 21:44:00,"Bitcoin","US","now 1-d","web",0
"28","57",2023-03-21 21:52:00,"Bitcoin","US","now 1-d","web",0
