,hits,date,keyword,geo,time,gprop,category
1,<1,1/1/2004,Bitcoin,US,all,web,0
2,0,2/1/2004,Bitcoin,US,all,web,0
3,0,3/1/2004,Bitcoin,US,all,web,0
4,0,4/1/2004,Bitcoin,US,all,web,0
5,0,5/1/2004,Bitcoin,US,all,web,0
6,0,6/1/2004,Bitcoin,US,all,web,0
7,0,7/1/2004,Bitcoin,US,all,web,0
8,0,8/1/2004,Bitcoin,US,all,web,0
9,0,9/1/2004,Bitcoin,US,all,web,0
10,0,10/1/2004,Bitcoin,US,all,web,0
11,0,11/1/2004,Bitcoin,US,all,web,0
12,0,12/1/2004,Bitcoin,US,all,web,0
13,<1,1/1/2005,Bitcoin,US,all,web,0
14,0,2/1/2005,Bitcoin,US,all,web,0
15,<1,3/1/2005,Bitcoin,US,all,web,0
16,0,4/1/2005,Bitcoin,US,all,web,0
17,0,5/1/2005,Bitcoin,US,all,web,0
18,<1,6/1/2005,Bitcoin,US,all,web,0
19,0,7/1/2005,Bitcoin,US,all,web,0
20,0,8/1/2005,Bitcoin,US,all,web,0
21,0,9/1/2005,Bitcoin,US,all,web,0
22,0,10/1/2005,Bitcoin,US,all,web,0
23,0,11/1/2005,Bitcoin,US,all,web,0
24,0,12/1/2005,Bitcoin,US,all,web,0
25,0,1/1/2006,Bitcoin,US,all,web,0
26,0,2/1/2006,Bitcoin,US,all,web,0
27,0,3/1/2006,Bitcoin,US,all,web,0
28,0,4/1/2006,Bitcoin,US,all,web,0
29,0,5/1/2006,Bitcoin,US,all,web,0
30,0,6/1/2006,Bitcoin,US,all,web,0
31,0,7/1/2006,Bitcoin,US,all,web,0
32,<1,8/1/2006,Bitcoin,US,all,web,0
33,<1,9/1/2006,Bitcoin,US,all,web,0
34,0,10/1/2006,Bitcoin,US,all,web,0
35,0,11/1/2006,Bitcoin,US,all,web,0
36,0,12/1/2006,Bitcoin,US,all,web,0
37,0,1/1/2007,Bitcoin,US,all,web,0
38,0,2/1/2007,Bitcoin,US,all,web,0
39,<1,3/1/2007,Bitcoin,US,all,web,0
40,0,4/1/2007,Bitcoin,US,all,web,0
41,0,5/1/2007,Bitcoin,US,all,web,0
42,<1,6/1/2007,Bitcoin,US,all,web,0
43,0,7/1/2007,Bitcoin,US,all,web,0
44,0,8/1/2007,Bitcoin,US,all,web,0
45,0,9/1/2007,Bitcoin,US,all,web,0
46,0,10/1/2007,Bitcoin,US,all,web,0
47,<1,11/1/2007,Bitcoin,US,all,web,0
