Date,Open,High,Low,Close,Adj Close,Volume
11/9/2017,0.482362,0.502058,0.464854,0.49809,0.49809,78041
11/10/2017,0.499319,0.596507,0.481728,0.542294,0.542294,101098
11/11/2017,0.530291,0.685403,0.52933,0.590455,0.590455,80123
11/12/2017,0.596832,0.720232,0.540049,0.560787,0.560787,61636
11/13/2017,0.551813,0.585361,0.503366,0.545384,0.545384,69489
11/14/2017,0.546399,0.596519,0.520511,0.582012,0.582012,64625
11/15/2017,0.583487,0.69396,0.583487,0.664187,0.664187,69773
11/16/2017,0.660497,1.03859,0.620642,1.03859,1.03859,122852
11/17/2017,1.06821,1.23532,0.80233,0.943546,0.943546,217164
11/18/2017,0.941066,1.53151,0.924385,1.30234,1.30234,252043
11/19/2017,1.33657,1.99745,1.27454,1.72089,1.72089,544612
11/20/2017,1.72303,2.08699,1.49444,1.94074,1.94074,350698
11/21/2017,1.92,2.18134,1.86351,2.10354,2.10354,266057
11/22/2017,2.13123,2.14146,1.61545,1.80226,1.80226,248173
11/23/2017,1.81647,2.11591,1.70385,1.90122,1.90122,213313
11/24/2017,1.88009,2.09472,1.5738,1.88514,1.88514,221974
11/25/2017,1.88288,1.98485,1.81997,1.87097,1.87097,142648
11/26/2017,1.88722,1.91321,1.58713,1.66824,1.66824,166723
11/27/2017,1.6908,1.93295,1.433,1.43839,1.43839,178210
11/28/2017,1.5298,2.71075,1.18589,1.24411,1.24411,133411
11/29/2017,1.26603,1.67558,1.14442,1.43316,1.43316,141155
11/30/2017,1.45762,1.67948,1.33525,1.4456,1.4456,131054
12/1/2017,1.48473,1.49623,1.32431,1.44166,1.44166,121701
12/2/2017,1.46049,1.49234,0.825466,1.33885,1.33885,299964
12/3/2017,1.32438,1.45076,1.24855,1.33242,1.33242,131199
12/4/2017,1.32556,1.36434,1.02915,1.03463,1.03463,105081
12/5/2017,1.11198,1.20208,1.04997,1.08417,1.08417,109424
12/6/2017,1.10938,1.16191,0.990336,1.07277,1.07277,120335
12/7/2017,1.07556,1.30259,0.938838,1.07353,1.07353,109857
12/8/2017,1.07786,1.14427,0.854286,1.00662,1.00662,83022
12/9/2017,1.01708,1.11881,0.911248,1.07722,1.07722,85774
12/10/2017,1.06492,1.205,0.918479,1.17552,1.17552,116147
12/11/2017,1.16248,1.41838,1.15019,1.31154,1.31154,127014
12/12/2017,1.30783,1.38987,1.26951,1.32357,1.32357,118399
12/13/2017,1.32465,1.34232,1.16125,1.22258,1.22258,106060
12/14/2017,1.22029,1.27398,1.10557,1.22956,1.22956,109769
12/15/2017,1.2149,1.27045,1.13113,1.16199,1.16199,116000
12/16/2017,1.16354,1.2509,1.11787,1.13206,1.13206,109016
12/17/2017,1.16242,1.24748,1.09038,1.10903,1.10903,103402
12/18/2017,1.12511,1.12511,1.02389,1.08908,1.08908,97308
12/19/2017,1.09296,1.17182,1.01869,1.0615,1.0615,93549
12/20/2017,1.05965,1.15004,0.974113,1.0778,1.0778,103481
12/21/2017,1.09595,1.13453,0.990672,1.03537,1.03537,93898
12/22/2017,1.03688,1.04578,0.790062,0.898399,0.898399,69363
12/23/2017,0.907879,1.07342,0.900368,1.02134,1.02134,82311
12/24/2017,1.02438,2.29934,0.949605,1.06848,1.06848,79406
12/25/2017,1.0789,1.21752,1.02277,1.21752,1.21752,156930
12/26/2017,1.21181,1.29502,1.16057,1.23886,1.23886,105960
12/27/2017,1.24423,1.32381,1.15784,1.24214,1.24214,84299
12/28/2017,1.24952,1.26369,1.10891,1.20745,1.20745,97571
12/29/2017,1.21269,2.02049,1.17805,1.89244,1.89244,256439
12/30/2017,1.87759,2.21526,1.58015,1.80797,1.80797,267567
12/31/2017,1.81988,1.91276,1.48615,1.61671,1.61671,131356
1/1/2018,1.62254,1.74467,1.49997,1.66739,1.66739,139391
1/2/2018,1.715,1.9403,1.59511,1.84371,1.84371,220712
1/3/2018,1.84832,1.98937,1.72889,1.76941,1.76941,146461
1/4/2018,1.78622,1.80449,1.61517,1.74632,1.74632,141634
1/5/2018,1.75028,1.97422,1.6303,1.74383,1.74383,118568
1/6/2018,1.73609,1.84561,1.59448,1.79495,1.79495,191795
1/7/2018,1.80271,1.82014,1.51369,1.63699,1.63699,120681
1/8/2018,1.63527,1.87758,1.45646,1.68299,1.68299,152882
1/9/2018,1.68424,1.95376,1.58495,1.67372,1.67372,147238
1/10/2018,1.67694,1.70163,1.55843,1.65258,1.65258,95097
1/11/2018,1.65084,1.66591,1.36143,1.4194,1.4194,146313
1/12/2018,1.4205,1.52277,1.37551,1.46541,1.46541,115213
1/13/2018,1.46387,1.59655,1.46387,1.57914,1.57914,141462
1/14/2018,1.57895,1.75217,1.38648,1.65077,1.65077,156141
1/15/2018,1.5926,1.68066,1.51583,1.55421,1.55421,95017
1/16/2018,1.55199,1.55199,0.983832,1.28639,1.28639,134624
1/17/2018,1.27698,1.31219,0.998201,1.15111,1.15111,74516
1/18/2018,1.17749,1.57098,1.13019,1.28986,1.28986,125186
1/19/2018,1.25759,1.29884,1.15683,1.21963,1.21963,89975
1/20/2018,1.23025,1.38727,1.22368,1.35265,1.35265,89956
1/21/2018,1.35597,1.3817,1.18749,1.20994,1.20994,92521
1/22/2018,1.22548,1.37924,1.11539,1.17902,1.17902,109429
1/23/2018,1.17718,1.22604,1.07344,1.16392,1.16392,79875
1/24/2018,1.17176,1.25015,1.13969,1.2073,1.2073,54825
1/25/2018,1.22387,1.46073,1.14576,1.22623,1.22623,92919
1/26/2018,1.24727,1.54214,1.21434,1.3443,1.3443,111728
1/27/2018,1.35789,1.37705,1.28459,1.35169,1.35169,110348
1/28/2018,1.35948,1.40513,1.27253,1.33554,1.33554,98357
1/29/2018,1.32541,1.34905,1.19471,1.23595,1.23595,94350
1/30/2018,1.2485,1.25504,1.08527,1.09366,1.09366,70006
1/31/2018,1.10754,1.14432,1.0721,1.13214,1.13214,68172
2/1/2018,1.12657,1.13371,0.973594,0.988662,0.988662,89888
2/2/2018,0.986874,1.12492,0.915513,1.09492,1.09492,101672
2/3/2018,1.10198,1.17077,1.04153,1.12776,1.12776,53697
2/4/2018,1.12831,1.14484,0.993073,1.0319,1.0319,90640
2/5/2018,1.02205,1.04046,0.833478,0.861234,0.861234,88016
2/6/2018,0.86168,0.924949,0.706899,0.91559,0.91559,68807
2/7/2018,0.902897,1.06667,0.875044,0.89946,0.89946,81478
2/8/2018,0.905351,1.01199,0.901368,0.96707,0.96707,67486
2/9/2018,0.978455,1.10658,0.904132,1.10333,1.10333,70602
2/10/2018,1.07029,1.13498,0.991181,1.03683,1.03683,95898
2/11/2018,1.03245,1.03245,0.935691,0.959375,0.959375,44378
2/12/2018,0.965315,1.12479,0.965024,1.10689,1.10689,104665
2/13/2018,1.10375,1.10761,1.03187,1.03889,1.03889,75141
2/14/2018,1.04147,1.25305,1.04147,1.23546,1.23546,102890
2/15/2018,1.24257,1.31653,1.217,1.30072,1.30072,109861
2/16/2018,1.30039,1.38622,1.19611,1.37728,1.37728,127917
2/17/2018,1.37454,1.45595,1.32123,1.39268,1.39268,92371
2/18/2018,1.40734,1.43635,1.14091,1.18925,1.18925,79183
2/19/2018,1.17846,1.23886,1.16455,1.22635,1.22635,64539
2/20/2018,1.21876,1.27121,1.19297,1.20456,1.20456,56376
2/21/2018,1.20304,1.24228,1.09716,1.12131,1.12131,79671
2/22/2018,1.12017,1.17025,1.02845,1.04382,1.04382,72245
2/23/2018,1.04286,1.11716,1.01301,1.10122,1.10122,95693
2/24/2018,1.09379,1.13287,0.965011,1.00569,1.00569,61618
2/25/2018,1.00455,1.0283,0.961296,1.02383,1.02383,81530
2/26/2018,1.00527,1.08894,0.959821,1.07811,1.07811,35955
2/27/2018,1.08118,1.14096,1.07073,1.09592,1.09592,34942
2/28/2018,1.09417,1.12167,0.989078,0.989384,0.989384,33559
3/1/2018,0.990459,1.03846,0.95759,1.01024,1.01024,24356
3/2/2018,1.00285,1.05162,0.999071,1.01521,1.01521,36460
3/3/2018,1.01805,1.04741,0.959005,0.962799,0.962799,35182
3/4/2018,0.964183,0.978349,0.872045,0.961421,0.961421,24868
3/5/2018,0.968102,1.00379,0.899626,0.939938,0.939938,36072
3/6/2018,0.909518,0.91099,0.859393,0.882707,0.882707,28174
3/7/2018,0.88152,0.893134,0.784909,0.799666,0.799666,30651
3/8/2018,0.798864,0.808603,0.738695,0.777877,0.777877,29135
3/9/2018,0.770357,0.779274,0.697895,0.759966,0.759966,24682
3/10/2018,0.762317,0.801655,0.745787,0.754838,0.754838,25111
3/11/2018,0.753447,0.817007,0.737863,0.794948,0.794948,19640
3/12/2018,0.79496,0.814801,0.752139,0.763105,0.763105,32521
3/13/2018,0.769925,0.789925,0.727102,0.752531,0.752531,22369
3/14/2018,0.75054,0.763479,0.672971,0.681958,0.681958,22010
3/15/2018,0.686862,0.689011,0.635635,0.666627,0.666627,14139
3/16/2018,0.66655,0.680895,0.646532,0.646548,0.646548,22163
3/17/2018,0.65091,0.65091,0.590346,0.604142,0.604142,24590
3/18/2018,0.601222,0.6207,0.546595,0.617101,0.617101,19880
3/19/2018,0.614451,0.637674,0.582373,0.622568,0.622568,20763
3/20/2018,0.626296,0.63085,0.59889,0.613132,0.613132,16513
3/21/2018,0.614016,0.661122,0.612382,0.62651,0.62651,22046
3/22/2018,0.626974,0.633736,0.593762,0.595252,0.595252,20740
3/23/2018,0.601063,0.614065,0.577182,0.611478,0.611478,16722
3/24/2018,0.617047,0.695523,0.61152,0.621378,0.621378,25102
3/25/2018,0.61454,0.631054,0.603894,0.608284,0.608284,18273
3/26/2018,0.603988,0.6126,0.562711,0.5878,0.5878,22146
3/27/2018,0.584537,0.593709,0.552072,0.565671,0.565671,18955
3/28/2018,0.564725,0.581598,0.543673,0.54926,0.54926,15103
3/29/2018,0.550259,0.552124,0.445967,0.461679,0.461679,22427
3/30/2018,0.460403,0.465045,0.419172,0.45617,0.45617,13477
3/31/2018,0.453485,0.471683,0.404653,0.445182,0.445182,9796
4/1/2018,0.443452,0.449429,0.406425,0.425165,0.425165,10046
4/2/2018,0.428035,0.457812,0.422757,0.457464,0.457464,13553
4/3/2018,0.457876,0.49118,0.456711,0.475126,0.475126,9881
4/4/2018,0.472407,0.474602,0.429993,0.444001,0.444001,13045
4/5/2018,0.441901,0.454766,0.424911,0.454082,0.454082,7647
4/6/2018,0.444792,0.447097,0.413264,0.424238,0.424238,9878
4/7/2018,0.424037,0.466785,0.421356,0.458206,0.458206,8993
4/8/2018,0.458871,0.473905,0.454632,0.471085,0.471085,8023
4/9/2018,0.470939,0.484141,0.431477,0.439066,0.439066,12958
4/10/2018,0.439066,0.46387,0.430186,0.459065,0.459065,8278
4/11/2018,0.460132,0.469237,0.451934,0.46864,0.46864,10690
4/12/2018,0.467591,0.522903,0.452112,0.505262,0.505262,20220
4/13/2018,0.511937,0.655916,0.443741,0.599433,0.599433,118745
4/14/2018,0.612852,0.649335,0.576581,0.576648,0.576648,68610
4/15/2018,0.577241,0.620454,0.570619,0.60063,0.60063,15804
4/16/2018,0.600415,0.603498,0.542211,0.550506,0.550506,18120
4/17/2018,0.538265,0.545645,0.515781,0.520894,0.520894,12948
4/18/2018,0.52151,0.543778,0.508742,0.529498,0.529498,14928
4/19/2018,0.530802,0.530802,0.476209,0.520098,0.520098,67512
4/20/2018,0.520003,0.53312,0.480747,0.528265,0.528265,55812
4/21/2018,0.527647,0.596264,0.523629,0.528902,0.528902,16351
4/22/2018,0.528909,0.557877,0.521532,0.530389,0.530389,14797
4/23/2018,0.529412,0.573985,0.508637,0.570596,0.570596,15560
4/24/2018,0.571133,0.633997,0.542763,0.633997,0.633997,46339
4/25/2018,0.630219,0.710757,0.592213,0.629986,0.629986,37847
4/26/2018,0.635073,0.715961,0.569089,0.712678,0.712678,53788
4/27/2018,0.707592,0.728507,0.638269,0.638269,0.638269,26422
4/28/2018,0.636637,0.686789,0.635454,0.660861,0.660861,15106
4/29/2018,0.660662,0.676003,0.627136,0.658364,0.658364,24417
