Date,Open,High,Low,Close,Adj Close,Volume
11/9/2017,1.24923,1.39415,1.18424,1.22699,1.22699,306104
11/10/2017,1.22576,1.84259,1.1842,1.37373,1.37373,864621
11/11/2017,1.36947,1.49477,1.25593,1.27951,1.27951,224059
11/12/2017,1.27844,1.29672,1.08811,1.12157,1.12157,137899
11/13/2017,1.12311,1.29149,1.11457,1.25989,1.25989,41460
11/14/2017,1.26232,1.30374,1.22926,1.26872,1.26872,48286
11/15/2017,1.27016,1.35744,1.26859,1.31747,1.31747,54404
11/16/2017,1.32534,1.38121,1.28215,1.33305,1.33305,72579
11/17/2017,1.3231,1.36222,1.22887,1.24164,1.24164,52376
11/18/2017,1.24306,1.30163,1.19551,1.25234,1.25234,55018
11/19/2017,1.26276,1.30326,1.23886,1.26508,1.26508,51275
11/20/2017,1.27571,1.40487,1.25678,1.31768,1.31768,90496
11/21/2017,1.3086,1.39791,1.23991,1.31007,1.31007,102642
11/22/2017,1.31441,1.49051,1.29642,1.46575,1.46575,105478
11/23/2017,1.44149,1.48498,1.38418,1.39093,1.39093,111889
11/24/2017,1.39271,1.5238,1.31997,1.44129,1.44129,235934
11/25/2017,1.40364,1.46852,1.38759,1.44386,1.44386,86974
11/26/2017,1.45094,1.54436,1.43344,1.53217,1.53217,94630
11/27/2017,1.51011,1.63544,1.47,1.57325,1.57325,110483
11/28/2017,1.57057,1.62606,1.54657,1.61777,1.61777,107466
11/29/2017,1.61652,2.8824,1.58113,1.60264,1.60264,3156810
11/30/2017,1.58501,1.76444,1.40017,1.66304,1.66304,526908
12/1/2017,1.65466,1.92666,1.60712,1.89229,1.89229,259128
12/2/2017,1.88237,2.01405,1.79762,1.83272,1.83272,232523
12/3/2017,1.85369,2.001,1.78083,1.88924,1.88924,164052
12/4/2017,1.89364,2.12521,1.85318,2.07194,2.07194,403890
12/5/2017,2.07645,3.39999,2.02932,2.38734,2.38734,5769620
12/6/2017,2.36425,3.30789,2.3551,2.42411,2.42411,4347510
12/7/2017,2.42051,2.77327,2.25268,2.25268,2.25268,973105
12/8/2017,2.26174,2.63526,1.89033,2.19418,2.19418,388817
12/9/2017,2.17231,2.58396,1.91767,2.09851,2.09851,450862
12/10/2017,2.10657,2.47498,1.80577,2.27635,2.27635,662800
