Timezones are UTC,https://www.CryptoDataDownload.com,,,,,,,
Unix Timestamp,Date,Symbol,Open,High,Low,Close,Volume MON,Volume AJPY
1602460800,10/12/2020,MONAJPY,131.4,131.5,129,129,7948,1036830.8
1602374400,10/11/2020,MONAJPY,131.6,132.1,129,131.4,53021,6928641.8
1602288000,10/10/2020,MONAJPY,131.9,133.9,130.6,131.6,28727,3807237.3
1602201600,10/9/2020,MONAJPY,129.6,132.9,129.2,131.9,53886,7076587.4
1602115200,10/8/2020,MONAJPY,129.2,130.9,127.3,129.6,26435,3420260.7
1602028800,10/7/2020,MONAJPY,129.2,129.4,127,129.2,29460,3765135.6
1601942400,10/6/2020,MONAJPY,133.1,133.1,128,129.2,48235,6277078
1601856000,10/5/2020,MONAJPY,132.9,133.9,130.6,133.1,75827,10023873.3
1601769600,10/4/2020,MONAJPY,127.7,133.7,127.5,132.9,94333,12346057.1
1601683200,10/3/2020,MONAJPY,125,129.8,124.6,127.7,76123,9702509.1
1601596800,10/2/2020,MONAJPY,127.4,128.7,123.8,125,32340,4051752.2
1601510400,10/1/2020,MONAJPY,129.2,131,126,127.4,39607,5097738.2
1601424000,9/30/2020,MONAJPY,131,131.4,127.8,129.2,18963,2442592.7
1601337600,9/29/2020,MONAJPY,134.1,134.1,128.9,131,22272,2913271.1
1601251200,9/28/2020,MONAJPY,133,134.5,131.1,134.1,24530,3257384.8
1601164800,9/27/2020,MONAJPY,131,135,128.9,133,81728,10856946
1601078400,9/26/2020,MONAJPY,126.2,133.7,126.1,131,99851,13104362.7
1600992000,9/25/2020,MONAJPY,126.6,129.8,124,126.2,92857,11776531.5
1600905600,9/24/2020,MONAJPY,123.7,127.3,123,126.6,94131,11761972.3
1600819200,9/23/2020,MONAJPY,132,132.4,123.5,123.7,101339,13001852.5
1600732800,9/22/2020,MONAJPY,129.5,132,128.7,132,63526,8260098.8
1600646400,9/21/2020,MONAJPY,135.2,146.2,127,129.5,279750,37961030.2
1600560000,9/20/2020,MONAJPY,133.7,142,132.3,135.2,106321,14410839.6
1600473600,9/19/2020,MONAJPY,135.6,135.7,131.7,133.7,30930,4138758.2
1600387200,9/18/2020,MONAJPY,131.1,136.5,130,135.6,94857,12627881.9
1600300800,9/17/2020,MONAJPY,138,139.3,127.1,131.1,135453,17990158.5
1600214400,9/16/2020,MONAJPY,142.1,142.1,135.9,138,121160,16700109.4
1600128000,9/15/2020,MONAJPY,143.7,146.8,141.7,142.1,78024,11227026.4
1600041600,9/14/2020,MONAJPY,143.1,145.1,141.5,143.7,75097,10775609
1599955200,9/13/2020,MONAJPY,148.2,148.4,138,143.1,122390,17686868.1
1599868800,9/12/2020,MONAJPY,142.1,152.6,141.2,148.2,224731,33042384.1
1599782400,9/11/2020,MONAJPY,147.5,147.5,135.6,142.1,186676,26218064.7
1599696000,9/10/2020,MONAJPY,148.3,149.6,144.1,147.5,100577,14790954.8
1599609600,9/9/2020,MONAJPY,154.7,154.9,141.4,148.3,351016,51537622.3
1599523200,9/8/2020,MONAJPY,165.9,167.5,153,154.7,206175,32959147.5
1599436800,9/7/2020,MONAJPY,165,169.5,156,165.9,225477,36837495.3
1599350400,9/6/2020,MONAJPY,156.8,167,153,165,178812,28561577.7
1599264000,9/5/2020,MONAJPY,169.4,170.5,155.1,156.8,254888,41169497.7
1599177600,9/4/2020,MONAJPY,156.5,178,154.3,169.4,419958,70376445.8
1599091200,9/3/2020,MONAJPY,177,178.3,153,156.5,428113,71008155.1
1599004800,9/2/2020,MONAJPY,181.4,196.4,173,177,494084,91725596.5
1598918400,9/1/2020,MONAJPY,181.2,184.1,179,181.4,202841,36749076.1
1598832000,8/31/2020,MONAJPY,181.8,184.2,181,181.2,117535,21448482
1598745600,8/30/2020,MONAJPY,184.1,186,180,181.8,214878,39317361.4
1598659200,8/29/2020,MONAJPY,184,187.3,181.8,184.1,211782,39098277.6
1598572800,8/28/2020,MONAJPY,184.4,188,182,184,149914,27605315
1598486400,8/27/2020,MONAJPY,195.8,195.8,177,184.4,289425,53343849
1598400000,8/26/2020,MONAJPY,200.9,201.7,191.7,195.8,142378,27865697
1598313600,8/25/2020,MONAJPY,202.6,203.5,197.2,200.9,155707,31247121.3
1598227200,8/24/2020,MONAJPY,200,203.3,198.5,202.6,151836,30543322.7
1598140800,8/23/2020,MONAJPY,201.9,202.2,197.6,200,134413,26809555.1
1598054400,8/22/2020,MONAJPY,200,202.2,197,201.9,91808,18318578.8
1597968000,8/21/2020,MONAJPY,202,206.3,199,200,144065,29257211.4
1597881600,8/20/2020,MONAJPY,202.4,202.9,199.3,202,28955,5828841
1597795200,8/19/2020,MONAJPY,203,204.5,200,202.4,84825,17133473.2
1597708800,8/18/2020,MONAJPY,208,209.1,201.2,203,174340,35905900.2
1597622400,8/17/2020,MONAJPY,204.2,210,203,208,165366,34202852.9
1597536000,8/16/2020,MONAJPY,204.5,206.9,200.1,204.2,72466,14820653.3
1597449600,8/15/2020,MONAJPY,206.7,208.7,203,204.5,78021,16077596.3
1597363200,8/14/2020,MONAJPY,202.8,206.9,199.1,206.7,132508,26910802.9
1597276800,8/13/2020,MONAJPY,199.4,202.8,196,202.8,68593,13687629.8
1597190400,8/12/2020,MONAJPY,199.1,201.9,196.1,199.4,81363,16164508.5
1597104000,8/11/2020,MONAJPY,206,206.5,198,199.1,79450,16131142.8
1597017600,8/10/2020,MONAJPY,203.4,208.7,202.5,206,97165,20026072.1
1596931200,8/9/2020,MONAJPY,203.5,209.3,201.9,203.4,107157,22104310.9
1596844800,8/8/2020,MONAJPY,204,205.9,201,203.5,62092,12652049.9
1596758400,8/7/2020,MONAJPY,206.6,210.8,200,204,186196,38541953.9
1596672000,8/6/2020,MONAJPY,210,210.9,205.3,206.6,103881,21602203.2
1596585600,8/5/2020,MONAJPY,198.5,214,195,210,208091,42445105.6
1596499200,8/4/2020,MONAJPY,204.1,207.4,196.2,198.5,132961,26867166.9
1596412800,8/3/2020,MONAJPY,202.4,208,199,204.1,204724,41606174.3
1596326400,8/2/2020,MONAJPY,223.3,227.9,193.2,202.4,327994,69245389.4
1596240000,8/1/2020,MONAJPY,214.5,225.4,212.1,223.3,201043,43761701.6
1596153600,7/31/2020,MONAJPY,211.8,216,208.5,214.5,64452,13659768.1
1596067200,7/30/2020,MONAJPY,214.6,216.2,208,211.8,121812,25780146.7
1595980800,7/29/2020,MONAJPY,209,217.5,206.8,214.6,76706,16183618.1
1595894400,7/28/2020,MONAJPY,207.2,212.1,203,209,138444,28895762.3
1595808000,7/27/2020,MONAJPY,194.6,209.9,192.2,207.2,250467,50154063.7
1595721600,7/26/2020,MONAJPY,194.2,199.3,192,194.6,150094,29295004.9
1595635200,7/25/2020,MONAJPY,189.7,195.5,189.6,194.2,53587,10347541.7
1595548800,7/24/2020,MONAJPY,192.6,192.6,188.6,189.7,74403,14156741.2
1595462400,7/23/2020,MONAJPY,188.5,193.7,186,192.6,100911,19084309.3
1595376000,7/22/2020,MONAJPY,184.3,188.5,184.1,188.5,60359,11202570
1595289600,7/21/2020,MONAJPY,182.5,186.6,181.3,184.3,61479,11344073.8
1595203200,7/20/2020,MONAJPY,184,184.4,181.8,182.5,30226,5533705.2
1595116800,7/19/2020,MONAJPY,182.4,184,181.1,184,55019,10072704.3
1595030400,7/18/2020,MONAJPY,184.5,184.7,182,182.4,33087,6049455.9
1594944000,7/17/2020,MONAJPY,179.9,187.4,178.2,184.5,126886,23068482.4
1594857600,7/16/2020,MONAJPY,180,180,176.3,179.9,72273,12911496.4
1594771200,7/15/2020,MONAJPY,181.4,182,179,180,36716,6597778.8
1594684800,7/14/2020,MONAJPY,180.3,181.5,178.8,181.4,28375,5098310.2
1594598400,7/13/2020,MONAJPY,182.2,183.9,180,180.3,14250,2595268.4
1594512000,7/12/2020,MONAJPY,180.7,182.9,180.1,182.2,34942,6332636.8
1594425600,7/11/2020,MONAJPY,182,182,177.8,180.7,23235,4185053.1
1594339200,7/10/2020,MONAJPY,183.1,183.4,175.8,182,42587,7674273
1594252800,7/9/2020,MONAJPY,187.5,190,181.6,183.1,70242,13098170.1
1594166400,7/8/2020,MONAJPY,181.4,189.3,179.2,187.5,65516,12069445.7
1594080000,7/7/2020,MONAJPY,184.8,184.9,180.2,181.4,24206,4388580.9
1593993600,7/6/2020,MONAJPY,173.8,184.8,172.1,184.8,62007,11044710.9
1593907200,7/5/2020,MONAJPY,177.9,177.9,171,173.8,26693,4623268.6
1593820800,7/4/2020,MONAJPY,177,178.7,175.8,177.9,18112,3216188.6
1593734400,7/3/2020,MONAJPY,176.1,179.9,175.2,177,17808,3151139.3
1593648000,7/2/2020,MONAJPY,180.9,181.9,176.1,176.1,62118,11099080.6
