snapped_at,price (open),market_cap,total_volume
2014-02-27 00:00:00 UTC,3.2069,33946082,6827
2014-02-28 00:00:00 UTC,12.1997,129181721,190404
2014-03-01 00:00:00 UTC,21.5454,228225596,490620
2014-03-02 00:00:00 UTC,20.7634,220007969,158507
2014-03-03 00:00:00 UTC,37.1182,393424191,995011
2014-03-04 00:00:00 UTC,96.808,1026360933,6774910
2014-03-05 00:00:00 UTC,42.9888,455813514,2054620
2014-03-06 00:00:00 UTC,19.6367,208246241,545220
2014-03-07 00:00:00 UTC,19.7867,209880515,393723
2014-03-08 00:00:00 UTC,20.0646,212860847,164892
2014-03-09 00:00:00 UTC,25.3849,269369988,925772
2014-03-10 00:00:00 UTC,28.693,304541792,427146
2014-03-11 00:00:00 UTC,27.43,291245544,324849
2014-03-12 00:00:00 UTC,27.473,291662324,292935
2014-03-13 00:00:00 UTC,25.1123,266638660,251468
2014-03-14 00:00:00 UTC,21.966,233243247,133051
2014-03-15 00:00:00 UTC,20.5979,218753323,117248
2014-03-16 00:00:00 UTC,15.1375,160773510,162857
2014-03-17 00:00:00 UTC,8.91987,94746422,175121
2014-03-18 00:00:00 UTC,10.3705,110162461,488381
2014-03-19 00:00:00 UTC,15.8354,168242035,902257
2014-03-20 00:00:00 UTC,14.8524,157810478,379348
2014-03-21 00:00:00 UTC,14.5186,154289177,100531
2014-03-22 00:00:00 UTC,14.6316,155495515,112058
2014-03-23 00:00:00 UTC,14.4074,153115018,157766
2014-03-24 00:00:00 UTC,11.3273,120412325,146337
2014-03-25 00:00:00 UTC,11.6169,123509440,261296
2014-03-26 00:00:00 UTC,7.66,81422249,805082
2014-03-27 00:00:00 UTC,7.5229,80001911,740703
2014-03-28 00:00:00 UTC,4.8763,51857383,277167
2014-03-29 00:00:00 UTC,2.95437,31432098,280145
2014-03-30 00:00:00 UTC,1.84524,19639746,173112
2014-03-31 00:00:00 UTC,3.20863,34164331,309792
2014-04-01 00:00:00 UTC,3.422816758,32960200,289121
2014-04-02 00:00:00 UTC,2.695368034,25454055,159120
2014-04-03 00:00:00 UTC,2.369558014,25858878,107741
2014-04-04 00:00:00 UTC,2.3566158,21996824,82826
2014-04-05 00:00:00 UTC,2.304606812,22266647,85241
2014-04-06 00:00:00 UTC,2.02709232,19809804,53958
2014-04-07 00:00:00 UTC,1.84536,19694468,73319
2014-04-08 00:00:00 UTC,1.698293572,16458036,70528
2014-04-09 00:00:00 UTC,1.448248005,14365430,136043
2014-04-10 00:00:00 UTC,0.977878297,11351361,54480
2014-04-11 00:00:00 UTC,1.155646291,12499388,49882
2014-04-12 00:00:00 UTC,1.169847047,12637211,37888
2014-04-13 00:00:00 UTC,0.842347485,8944420,62265
2014-04-14 00:00:00 UTC,0.704724018,8416522,60423
2014-04-15 00:00:00 UTC,0.858203445,8839761,51324
2014-04-16 00:00:00 UTC,1.012451903,10595376,71827
2014-04-17 00:00:00 UTC,0.9858336,10109733,30344
2014-04-18 00:00:00 UTC,0.90870145,9751133,19007
2014-04-19 00:00:00 UTC,0.903740632,9539817,17455
2014-04-20 00:00:00 UTC,0.845937408,9051801,15410
2014-04-21 00:00:00 UTC,0.782434175,8597538,13027
2014-04-22 00:00:00 UTC,0.677994612,7184494,9382.716465
2014-04-23 00:00:00 UTC,0.663058376,7055335,22370.41042
2014-04-24 00:00:00 UTC,0.654635329,7094324,11839.50734
2014-04-25 00:00:00 UTC,0.515244512,5606351,9275.393723
2014-04-26 00:00:00 UTC,0.48334238,5200171,7569.172102
2014-04-27 00:00:00 UTC,0.383325914,4133401,10230.14766
2014-04-28 00:00:00 UTC,0.613894446,9084626,123118.1658
2014-04-29 00:00:00 UTC,0.620578,6928656,55612.52921
2014-04-30 00:00:00 UTC,0.558475434,5970581,18806.94388
2014-05-01 00:00:00 UTC,0.552963235,5888439,9400.758064
2014-05-02 00:00:00 UTC,0.523232091,5756869,11192.77173
2014-05-03 00:00:00 UTC,0.464437333,5074009,5718.520953
2014-05-04 00:00:00 UTC,0.470667813,5013650,5871.899841
2014-05-05 00:00:00 UTC,0.450529905,4733769,5894.643288
2014-05-06 00:00:00 UTC,0.43083899,4589988,3709.252703
2014-05-07 00:00:00 UTC,0.448397903,4849644,11849.08253
2014-05-08 00:00:00 UTC,0.467042774,4883826,4604.588299
2014-05-09 00:00:00 UTC,0.454398122,4987485,2633.648574
2014-05-10 00:00:00 UTC,0.457061725,4994439,7393.550923
2014-05-11 00:00:00 UTC,0.422322234,4569026,7526.481859
2014-05-12 00:00:00 UTC,0.416207187,4342260,11095.25692
2014-05-13 00:00:00 UTC,0.403212702,4388587,2210.281385
2014-05-14 00:00:00 UTC,0.406623447,4462660,2928.018667
2014-05-15 00:00:00 UTC,0.3875637,4183509,3658.340883
2014-05-16 00:00:00 UTC,0.37250962,3968552,3945.882244
2014-05-17 00:00:00 UTC,0.367641714,4006413,3354.406264
2014-05-18 00:00:00 UTC,0.369181231,4060137,8263.619788
2014-05-19 00:00:00 UTC,0.364324057,3927919,3994.458208
2014-05-20 00:00:00 UTC,0.384620829,4078700,5673.517581
2014-05-21 00:00:00 UTC,0.372898593,4059894,4312.215173
2014-05-22 00:00:00 UTC,0.348908979,3839720,6948.70083
2014-05-23 00:00:00 UTC,0.317669263,3243019,24134.15343
2014-05-24 00:00:00 UTC,0.32980409,3562780,5378.912944
