,Country,Legal Status,Remaining Text,Reference number,Citation Id,Citation Link,Citation Date,Citation number,Article Contents,Article Contents (EN),Dominant_Topic,Topic_Words,Dominant_Topic2,Topic_Words2
0,Afghanistan,Illegal, In August 2022 Taliban banned trading in cryptocurrencies.[57],57,cite_note-57,https://www.bloomberg.com/news/articles/2022-08-26/taliban-ban-crypto-in-afghanistan-arrest-digital-coin-dealers,['26 August 2022'],57,"Storylines

Follow Bloomberg reporters as they uncover some of the biggest financial crimes of the modern era. This documentary-style series follows investigative journalists as they uncover the truth.","Storylines

Follow Bloomberg reporters as they uncover some of the biggest financial crimes of the modern era. This documentary-style series follows investigative journalists as they uncover the truth.",1,"[('cryptocurrency', 0.039894804), ('financial', 0.03495469), ('2018', 0.020681204), ('exchange', 0.0182124), ('transaction', 0.017677767), ('cryptocurrencies', 0.017443212), ('trading', 0.01689826), ('ban', 0.015825065), ('payment', 0.014948157), ('regulation', 0.012330683)]",9,"[('financial', 0.044230234), ('cryptocurrencies', 0.03441032), ('bank', 0.031900886), ('use', 0.021217927), ('crypto', 0.016177198), ('report', 0.015891159), ('law', 0.015110531), ('cryptocurrency', 0.014988081), ('money', 0.014789157), ('regulation', 0.014762163)]"
1,Albania,Legal," On 21 May 2020, Albania passed a new law to regulate cryptocurrency activities.[152]",152,cite_note-152,https://www.tagesanzeiger.ch/schweizer-boerse-kotiert-bereits-das-hundertste-kryptoprodukt-450198413162,['11 June 2021'],152,"Digitale Währung im Aufwind – Schweizer Börse kotiert bereits das hundertste Kryptoprodukt Wer über SIX in die Kursentwicklung von Kryptowährungen investieren will, hat zunehmend die Qual der Wahl.

Kryptowährungen wie Bitcoin oder Ether erkennt die SNB-Direktorin derweil nicht als eigentliches Geld an: Dafür erfüllten sie wesentliche Eigenschaften nicht. Foto: Keystone

Mit der Neukotierungen von vier Bitcoin- und Ethereum-ETP der US-Firma VanEck am Freitag werden nun insgesamt 100 Exchange Traded Products (ETP) und Strukturierte Produkte mit Kryptowährungen als Basiswert an der SIX gehandelt.

Mit dem breiten Angebot an Kryptoprodukten sei die SIX weltweit führend, schrieb die Börse in einer Medienmitteilung vom Freitag. Seit Jahresbeginn wurden an der SIX Produkte auf Basis von Kryptowährungen im Wert von fast 4,6 Milliarden Franken gehandelt – im Vergleich zum gesamten letzten Jahr ist das ein Plus von 310 Prozent.

Von den 100 Kryptoprodukten basieren deren 59 auf den beiden liquidesten Kryptowährungen Bitcoin und Ethereum. Das Angebot umfasse aber auch acht weitere Kryptowährungen. Beim grössten Teil davon wendeten sich die Anleger zunehmend besicherten ETPs zu, schrieb die SIX.

Die vier neuen ETP des US-Vermögensverwalters VanEck wollen Anlegern eine Beteiligung an der Kursentwicklung von Bitcoin und Ethereum bieten, ohne dass diese die Kryptowährungen selbst halten müssen. Die vier ETPs sind laut den Angaben mit der entsprechenden Kryptowährung zu 100 Prozent hinterlegt. VanEck ist seit 2015 an der Börse SIX aktiv.

SNB-Direktorin Maechler gegen breit verfügbares Digitalgeld

Die Schweizerische Nationalbank (SNB) will weiterhin kein breit verfügbares Zentralbanken-Digitalgeld. Es sei die weitaus bessere Alternative, wenn die Nationalbank innerhalb des bestehenden Zahlungssystems Sofortzahlungen ermögliche, sagte SNB-Direktoriumsmitglied Andréa Maechler an einem Bankenanlass.

Die Möglichkeit sofortiger Zahlungen werde heute von den Konsumenten erwartet, sagte Maechler in ihrem Referat am letzten Dienstag am «Branchentalk Banken» in Zürich. «Das hat sich während der Corona-Pandemie noch beschleunigt.» Tatsächlich dauert die Abwicklung einer Zahlung über SIC (Swiss Interbank Clearing) derzeit aber noch zwei Tage – «das gilt auch für Twint, auch wenn sie das nicht merken.»

Kein Konflikt mit Banken

Eine Möglichkeit wäre es, solche Sofortzahlungen über eine breit verfügbare Zentralbanken-Digitalwährung zu ermöglichen, wie Maechler einräumte. Die SNB halte es aber für die viel bessere Alternative, das bereits bestehende und auch krisenerprobte Zahlungssystem für Sofortzahlungen bereit zu machen. Die SNB wolle dies «in Sekunden» ermöglichen.

Andrea Maechler, Mitglied des Direktoriums der Schweizerischen Nationalbank. Foto: Marcel Bieri (Keystone)

Gegen eine solche «Retail-CBDC» (Central Bank Digital Currency) spreche weiterhin vor allem, dass die Nationalbank nicht in die Domäne der Banken eindringen wolle. So könnte die Gefahr bestehen, dass die Menschen in Krisenzeiten ihre Gelder aus den Geschäftsbanken abziehen und ihr Geld in grossem Stil in die sicheren Retail-CBDC umschichten.

Weiterhin untersucht die SNB dagegen eine «Wholesale»-CBDC, die lediglich von Finanzinstituten benutzt werden kann. Wie bekannt hatte die Nationalbank gemeinsam im Rahmen des «Projekts Helvetia» zwei Varianten einer solchen Währung getestet, die den Finanzinstituten neue technische Möglichkeiten wie «Smart Contracts» ermöglicht. «Wir als Zentralbank müssen diese Technologie gut verstehen», sagte Maechler.

Bitcoin ist spekulative Anlage

Kryptowährungen wie Bitcoin oder Ether erkennt die SNB-Direktorin derweil nicht als eigentliches Geld an: Dafür erfüllten sie wesentliche Eigenschaften nicht. Nicht zuletzt die sehr hohen Wertschwankungen der Kryptowährungen sprächen dagegen. «Wir sehen Kryptowährungen als ein spekulatives Anlageinstrument.»

Dass die SNB selbst in Bitcoin investieren würde, käme für Maechler derzeit «nicht in Frage», wie sie auf eine entsprechende Frage sagte. Dies nicht nur deshalb, weil die Kryptowährung Probleme mit der Reputation habe. Für eine Investition der Nationalbank in eine Anlageklasse müsse auch eine hohe Liquidität am Markt vorhanden sein, sagte sie.

SDA

Fehler gefunden?Jetzt melden.","Digital currency on the upswing - Swiss stock exchange already reports the hundredth crypto product. Those who want to invest in the course development of cryptocurrencies via Six is increasingly spoiled for choice.

The SNB director does not recognize cryptocurrencies such as Bitcoin or ether as actual money: they did not meet essential properties for this.Photo: Keystone

With the new features of four Bitcoin and Ethereum ETP of the US company Vaneck on Friday, a total of 100 Exchange Traded Products (ETP) and structured products with cryptocurrencies are traded as a basic value on the SIX.

With the wide range of crypto products, the SIX is a leader worldwide, the stock exchange wrote in a media release on Friday.Since the beginning of the year, the SIX products based on cryptocurrencies worth almost CHF 4.6 billion have been traded - compared to the entire last year, this is an increase of 310 percent.

Of the 100 crypto products, their 59 are based on the two most liquid cryptocurrencies Bitcoin and Ethereum.The offer also includes eight other cryptocurrencies.In the majority of this, investors increasingly turned to ETPs, the Six wrote.

The four new ETP of the US assets administrator Vaneck want to offer investors to participate in the course development of Bitcoin and Ethereum without having to keep the cryptocurrencies themselves.According to the information, the four ETPs are 100 percent stored with the corresponding cryptocurrency.Vaneck has been active on the SIX stock exchange since 2015.

SNB director Maechler against wide-available digital money

The Swiss National Bank (SNB) still does not want a wide range of central banking digit money.It is the far better alternative if the National Bank enables immediate payments within the existing payment system, said SNB directorate member Andréa Maechler at a banking event.

The possibility of immediate payments is expected today by consumers, Maechler said in her presentation on the last Tuesday at the ""Industry Talk Banken"" in Zurich.""That accelerated during the Corona pandemic.""In fact, the processing of a payment via SIC (Swiss Interbank Clearing) currently takes two days - ""This also applies to Twint, even if you don't notice that.""

No conflict with banks

One possibility would be to enable such immediate payments via a broadly available central banking digital currency, as Maechler granted.However, the SNB thinks it is the much better alternative to make the existing and crisis -proven payment system ready for immediate payment.The SNB wants to enable this ""in seconds"".

Andrea Maechler, member of the directorate of the Swiss National Bank.Photo: Marcel Bieri (Keystone)

Against such a “Retail CBDC” (Central Bank Digital Currency), the main thing is that the National Bank does not want to penetrate the banks of the banks.So there could be a risk that people in times of crisis will deduct their funds from the commercial banks and to lay their money into the safe retail CBDC on a large scale.

The SNB, on the other hand, examines a “wholesale” CBDC that can only be used by financial institutions.As is known, the National Bank, together as part of the “Project Helvetia”, had tested two variants of such a currency, which enables the financial institutions to make new technical options such as “smart contracts”.""As a central bank, we as a central bank have to understand this technology well,"" said Maechler.

Bitcoin is speculative system

The SNB director does not recognize cryptocurrencies such as Bitcoin or ether as actual money: they did not meet essential properties for this.Last but not least, the very high fluctuations in value of the cryptocurrencies speak.""We see cryptocurrencies as a speculative investment tool.""

For Maechler, the fact that the SNB would invest in Bitcoin would currently be “out of the question”, as she said to a question.This is not only because the cryptocurrency has problems with the reputation.There must also be high liquidity on the market for an investment by the National Bank in an investment class, she said.

Sda

Found error? Report now.",2,"[('commodity', 0.029102603), ('crypto', 0.02754619), ('cryptocurrencies', 0.02538575), ('payment', 0.023513056), ('exchange', 0.019869275), ('authority', 0.018995756), ('asset', 0.018564375), ('law', 0.018133642), ('cryptocurrency', 0.016359076), ('trading', 0.016177863)]",0,"[('use', 0.062151197), ('copyright', 0.024864022), ('library', 0.019866286), ('government', 0.019797979), ('item', 0.018867392), ('law', 0.018566867), ('bitcoin', 0.017421842), ('reuse', 0.017286222), ('right', 0.016354026), ('permission', 0.016217122)]"
2,Algeria,Illegal," According to the ""Journal Officiel"" (28 December 2017): Art. 117. — The purchase, sale, use, and holding of so-called virtual currency is prohibited. Virtual currency is that used by internet users via the web. It is characterized by the absence of physical support such as coins, notes, payments by cheque or credit card. Any breach of this provision is punishable in accordance with the laws and regulations in force.[13][14]: 82",14,cite_note-RCAWJune2018LOC-14,https://www.loc.gov/item/2021687419/,['14 August 2018'],14,"Publications of the Law Library of Congress are works of the United States Government as defined in the United States Code 17 U.S.C. §105 and therefore are not subject to copyright and are free to use and reuse. The Library of Congress has no objection to the international use and reuse of Library U.S. Government works on loc.gov. These works are also available for worldwide use and reuse under CC0 1.0 Universal.

However, copyright protections may apply to copyrighted images or material from a third party that is contained in the publication. Please note that the written permission of the copyright owners and/or other rights holders (such as publicity and/or privacy rights) is required for distribution, reproduction, or other use of protected items beyond that allowed by fair use or other statutory exemptions. Responsibility for making an independent legal assessment of an item and securing any necessary permissions ultimately rests with persons desiring to use the item. You are responsible for deciding whether your use of the items in this collection is legal. You will need written permission from the rightsholders to copy, distribute, or otherwise use copyrighted materials except as allowed by fair use or other statutory exemptions. Some materials may be protected under international law. You may also need permission from holders of other rights, such as publicity and/or privacy rights.

Credit Line: Law Library of Congress

More about Copyright and other Restrictions

For guidance about compiling full citations consult Citing Primary Sources.","Publications of the Law Library of Congress are works of the United States Government as defined in the United States Code 17 U.S.C. §105 and therefore are not subject to copyright and are free to use and reuse. The Library of Congress has no objection to the international use and reuse of Library U.S. Government works on loc.gov. These works are also available for worldwide use and reuse under CC0 1.0 Universal.

However, copyright protections may apply to copyrighted images or material from a third party that is contained in the publication. Please note that the written permission of the copyright owners and/or other rights holders (such as publicity and/or privacy rights) is required for distribution, reproduction, or other use of protected items beyond that allowed by fair use or other statutory exemptions. Responsibility for making an independent legal assessment of an item and securing any necessary permissions ultimately rests with persons desiring to use the item. You are responsible for deciding whether your use of the items in this collection is legal. You will need written permission from the rightsholders to copy, distribute, or otherwise use copyrighted materials except as allowed by fair use or other statutory exemptions. Some materials may be protected under international law. You may also need permission from holders of other rights, such as publicity and/or privacy rights.

Credit Line: Law Library of Congress

More about Copyright and other Restrictions

For guidance about compiling full citations consult Citing Primary Sources.",0,"[('virtual', 0.04537402), ('financial', 0.028159728), ('risk', 0.027705299), ('european', 0.022151865), ('legal', 0.022136075), ('issued', 0.022047507), ('authority', 0.018713262), ('3', 0.018013643), ('central', 0.017341798), ('trading', 0.015194941)]",1,"[('use', 0.035869658), ('translation', 0.022106161), ('unavailable', 0.02210551), ('digital', 0.02120728), ('permission', 0.018492848), ('right', 0.017274445), ('bitcoin', 0.017273907), ('also', 0.017009981), ('law', 0.016546033), ('currency', 0.016354725)]"
3,Algeria,Illegal," According to the ""Journal Officiel"" (28 December 2017): Art. 117. — The purchase, sale, use, and holding of so-called virtual currency is prohibited. Virtual currency is that used by internet users via the web. It is characterized by the absence of physical support such as coins, notes, payments by cheque or credit card. Any breach of this provision is punishable in accordance with the laws and regulations in force.[13][14]: 82",13,cite_note-13,https://www.joradp.dz/FTP/jo-francais/2017/F2017076.pdf,['3 January 2019'],13,,Translation Unavailable,0,"[('virtual', 0.04537402), ('financial', 0.028159728), ('risk', 0.027705299), ('european', 0.022151865), ('legal', 0.022136075), ('issued', 0.022047507), ('authority', 0.018713262), ('3', 0.018013643), ('central', 0.017341798), ('trading', 0.015194941)]",8,"[('crypto', 0.070355825), ('report', 0.047153495), ('asset', 0.037488226), ('unavailable', 0.035197947), ('law', 0.032530762), ('translation', 0.029793777), ('cryptocurrencies', 0.024107039), ('currency', 0.019878889), ('legal', 0.019419), ('business', 0.017929077)]"
4,Angola,Legal," While government officials have advised against the use of bitcoin, there is no legislation against it and it remains fully legal.[24]",24,cite_note-24,https://www.youtube.com/watch?v=CxporKEMZY4,['7 January 2020'],24,,Translation Unavailable,8,"[('cryptocurrency', 0.05219771), ('legal', 0.023711251), ('government', 0.02183282), ('cryptocurrencies', 0.01757398), ('ban', 0.01730918), ('market', 0.01691718), ('bitcoins', 0.016005572), ('central', 0.015489987), ('payment', 0.014102425), ('service', 0.014048554)]",8,"[('crypto', 0.070355825), ('report', 0.047153495), ('asset', 0.037488226), ('unavailable', 0.035197947), ('law', 0.032530762), ('translation', 0.029793777), ('cryptocurrencies', 0.024107039), ('currency', 0.019878889), ('legal', 0.019419), ('business', 0.017929077)]"
5,Argentina,Legal /  Banking ban," Bitcoins may be considered money, but not legal currency. A bitcoin may be considered either a good or a thing under the Argentina's Civil Code, and transactions with bitcoins may be governed by the rules for the sale of goods under the Civil Code.[3]: Argentina  On May 5, 2022, the Central Bank of Argentina banned financial institutions to facilitate any cryptocurrency-related transactions.[49]",49,cite_note-49,https://www.lanacion.com.ar/economia/el-bcra-les-prohibio-a-los-bancos-ofrecer-criptomonedas-a-sus-clientes-nid05052022/,"['5 May 2022', '6 May 2022']",49,"El Banco Central (BCRA) prohibió hoy a los bancos ofrecer a sus clientes la compra de criptomonedas. Esa actividad había sido habilitada al comenzar el mes por al menos dos entidades locales (Banco Galicia y el digital Brubank) y conseguido buena recepción entre sus clientes, la mayoría de los cuales solo intentan escapar a la fuerte depreciación real que sufre el peso por la elevada inflación.

El directorio del ente rector del sistema financiero local dispuso explícitamente hoy que “no podrán realizar ni facilitar a sus clientes la realización de operaciones con activos digitales, incluidos los criptoactivos y aquellos cuyos rendimientos se determinen en función de las variaciones que esos registren, que no se encuentren regulados por autoridad nacional y autorizados por el Banco Central de la República Argentina (BCRA)”.

En un comunicado al respecto, explicó que con la prohibición procura “mitigar los riesgos asociados a las operaciones con estos activos que podrían generar para las personas usuarias de servicios financieros y para el sistema financiero en su conjunto”.

Desde el Central dejaron trascender que los bancos que incursionaron en la oferta de criptomonedas a través de su homebanking lo hicieron aprovechando una “zona gris” que había en la normativa oficial.

.#IMPORTANTE: ¡BOMBA🔥💣! El Banco Central comunica que las entidades financieras NO PODRÁN REALIZAR NI FACILITAR A SUS CLIENTES la realización de operaciones con #Criptoactivos.



🔥🔥🔥🔥💣💣💣💣



¿Tres días duró la novedad de #Cripto en Bancos? ¿Alguien tiene más información? pic.twitter.com/SiBhcojxuS — Ignacio E. Carballo (@IECarballo) May 5, 2022

De allí que el BCRA haya optado ahora por una veda explícita al respecto. En el comunicado, la entidad recordó textualmente que “la actividad de las entidades financieras debe estar orientada a financiar la inversión, la producción, la comercialización, el consumo de los bienes y servicios requeridos tanto por la demanda interna como por la exportación”.

Y que ya en mayo de 2021, junto a la Comisión Nacional de Valores (CNV), había publicado un alerta sobre las “eventuales implicancias y riesgos que las operaciones con criptoactivos pueden acarrear” en el que recomendaba “una actitud prudente a fin de mitigar una eventual fuente de vulnerabilidad para las personas usuarias e inversores”.

La nota no alude a las escasas oportunidades que los argentinos que tengan la posibilidad de tener ahorros tienen para resguardar el valor de sus ingresos en un previsible contexto de inflación descontrolada.

Desde los bancos alcanzados por el cambio de norma aseguraron que están a la espera del detalle de la normativa para resolver. “Estamos esperando que salga la para analizarla. Lo que podemos asegurar es que ningún cliente que haya operado con criptoactivos en Banco Galicia perderá dinero”, aseguraron desde esa entidad ante una consulta al respecto.

Temas Comunidad de Negocios","The Central Bank (BCRA) today prohibited banks from offering its customers to buy cryptocurrencies.This activity had been enabled at the beginning of at least two local entities (Banco Galicia and Digital Brubank) and achieved good reception among their clients, most of whom only try to escape the strong real depreciation suffered by the weight by thehigh inflation.

The directory of the governing body of the local financial system explicitly ordered that “they cannot make or facilitate their clients to perform operations with digital assets, including cryptoactive ones and those whose yields are determined based on the variations that those register, which does notThey are regulated by national authority and authorized by the Central Bank of the Argentine Republic (BCRA) ”.

In a statement in this regard, he explained that with the prohibition it seeks to ""mitigate the risks associated with operations with these assets that could generate for the users of financial services and for the financial system as a whole.""

From the central they let it transcend that the banks that ventured into the supply of cryptocurrencies through their homebanking did so by taking advantage of a “gray zone” that was in the official regulations.

.#Important: Bomba🔥💣!The Central Bank communicates that financial institutions will not be able to make or facilitate its clients carrying out operations with #Ccriptivoactives.



🔥🔥🔥🔥💣💣💣💣



Three days did the #described in banks?Does anyone have more information?pic.twitter.com/sibhcojxus - Ignacio E. Carballo (@IECARBALLO) May 5, 2022

Hence the BCRA has now opted for an explicit closure about it.In the statement, the entity textually recalled that ""the activity of financial institutions must be oriented to finance investment, production, commercialization, consumption of goods and services required both for internal demand and export.""

And that in May 2021, together with the National Securities Commission (CNV), he had published an alert on the “eventual implications and risks that cryptoactive operations can lead to” in which he recommended “a prudent attitude in order to mitigatean eventual source of vulnerability for users and investors. ”

The note does not refer to the few opportunities that Argentines who have the possibility of having savings have to protect the value of their income in a foreseeable context of uncontrolled inflation.

From the banks reached by the change of norm they assured that they are waiting for the detail of the regulations to resolve.“We are waiting for him to analyze it.What we can assure is that no client who has operated with cryptoactive in Banco Galicia will lose money, ”they said from that entity before a consultation in this regard.

Business community issues",1,"[('cryptocurrency', 0.039894804), ('financial', 0.03495469), ('2018', 0.020681204), ('exchange', 0.0182124), ('transaction', 0.017677767), ('cryptocurrencies', 0.017443212), ('trading', 0.01689826), ('ban', 0.015825065), ('payment', 0.014948157), ('regulation', 0.012330683)]",0,"[('use', 0.062151197), ('copyright', 0.024864022), ('library', 0.019866286), ('government', 0.019797979), ('item', 0.018867392), ('law', 0.018566867), ('bitcoin', 0.017421842), ('reuse', 0.017286222), ('right', 0.016354026), ('permission', 0.016217122)]"
6,Argentina,Legal /  Banking ban," Bitcoins may be considered money, but not legal currency. A bitcoin may be considered either a good or a thing under the Argentina's Civil Code, and transactions with bitcoins may be governed by the rules for the sale of goods under the Civil Code.[3]: Argentina  On May 5, 2022, the Central Bank of Argentina banned financial institutions to facilitate any cryptocurrency-related transactions.[49]",3,cite_note-regulation-3,https://www.loc.gov/item/2014427360/,['15 January 2022'],3,"Publications of the Law Library of Congress are works of the United States Government as defined in the United States Code 17 U.S.C. §105 and therefore are not subject to copyright and are free to use and reuse. The Library of Congress has no objection to the international use and reuse of Library U.S. Government works on loc.gov. These works are also available for worldwide use and reuse under CC0 1.0 Universal.

However, copyright protections may apply to copyrighted images or material from a third party that is contained in the publication. Please note that the written permission of the copyright owners and/or other rights holders (such as publicity and/or privacy rights) is required for distribution, reproduction, or other use of protected items beyond that allowed by fair use or other statutory exemptions. Responsibility for making an independent legal assessment of an item and securing any necessary permissions ultimately rests with persons desiring to use the item. You are responsible for deciding whether your use of the items in this collection is legal. You will need written permission from the rightsholders to copy, distribute, or otherwise use copyrighted materials except as allowed by fair use or other statutory exemptions. Some materials may be protected under international law. You may also need permission from holders of other rights, such as publicity and/or privacy rights.

Credit Line: Law Library of Congress

More about Copyright and other Restrictions

For guidance about compiling full citations consult Citing Primary Sources.","Publications of the Law Library of Congress are works of the United States Government as defined in the United States Code 17 U.S.C. §105 and therefore are not subject to copyright and are free to use and reuse. The Library of Congress has no objection to the international use and reuse of Library U.S. Government works on loc.gov. These works are also available for worldwide use and reuse under CC0 1.0 Universal.

However, copyright protections may apply to copyrighted images or material from a third party that is contained in the publication. Please note that the written permission of the copyright owners and/or other rights holders (such as publicity and/or privacy rights) is required for distribution, reproduction, or other use of protected items beyond that allowed by fair use or other statutory exemptions. Responsibility for making an independent legal assessment of an item and securing any necessary permissions ultimately rests with persons desiring to use the item. You are responsible for deciding whether your use of the items in this collection is legal. You will need written permission from the rightsholders to copy, distribute, or otherwise use copyrighted materials except as allowed by fair use or other statutory exemptions. Some materials may be protected under international law. You may also need permission from holders of other rights, such as publicity and/or privacy rights.

Credit Line: Law Library of Congress

More about Copyright and other Restrictions

For guidance about compiling full citations consult Citing Primary Sources.",1,"[('cryptocurrency', 0.039894804), ('financial', 0.03495469), ('2018', 0.020681204), ('exchange', 0.0182124), ('transaction', 0.017677767), ('cryptocurrencies', 0.017443212), ('trading', 0.01689826), ('ban', 0.015825065), ('payment', 0.014948157), ('regulation', 0.012330683)]",1,"[('use', 0.035869658), ('translation', 0.022106161), ('unavailable', 0.02210551), ('digital', 0.02120728), ('permission', 0.018492848), ('right', 0.017274445), ('bitcoin', 0.017273907), ('also', 0.017009981), ('law', 0.016546033), ('currency', 0.016354725)]"
7,Australia,Legal," In December 2013, the governor of the Reserve Bank of Australia (RBA) indicated in an interview about bitcoin legality stating, ""There would be nothing to stop people in this country deciding to transact in some other currency in a shop if they wanted to. There's no law against that, so we do have competing currencies.""[192] Beginning in April 2018, Australian digital currency exchanges must register with the Australian Transaction Reports and Analysis Centre and implement ""know your customer"" policies to comply with new anti-money laundering legislation.[193]",193,cite_note-rbabtc-193,http://www.afr.com/p/national/glenn_stevens_says_bitcoins_show_GWLQFcefJfF4RmiE0Z08AJ,"['13 December 2013', '21 September 2014']",193,No Link,No Link,1,"[('cryptocurrency', 0.039894804), ('financial', 0.03495469), ('2018', 0.020681204), ('exchange', 0.0182124), ('transaction', 0.017677767), ('cryptocurrencies', 0.017443212), ('trading', 0.01689826), ('ban', 0.015825065), ('payment', 0.014948157), ('regulation', 0.012330683)]",4,"[('bitcoin', 0.041835908), ('use', 0.035592847), ('item', 0.017968236), ('permission', 0.01764473), ('legal', 0.017348329), ('library', 0.017226133), ('right', 0.0170403), ('may', 0.016907401), ('currency', 0.016311739), ('bank', 0.016299358)]"
8,Australia,Legal," In December 2013, the governor of the Reserve Bank of Australia (RBA) indicated in an interview about bitcoin legality stating, ""There would be nothing to stop people in this country deciding to transact in some other currency in a shop if they wanted to. There's no law against that, so we do have competing currencies.""[192] Beginning in April 2018, Australian digital currency exchanges must register with the Australian Transaction Reports and Analysis Centre and implement ""know your customer"" policies to comply with new anti-money laundering legislation.[193]",192,cite_note-192,https://www.telegraph.co.uk/business/2022/03/11/bitcoin-cashpoints-forced-shut-declared-illegal/,"['11 March 2022', '11 March 2022']",192,"All Bitcoin cashpoints in Britain have been ordered to shut down after the City watchdog declared them illegal.

The Financial Conduct Authority (FCA) has written to providers of cryptocurrency ATMs telling them to cease operations or face enforcement action.

Britain has 81 functioning Bitcoin ATMs, according to Coin ATM Radar, which tracks the machines around the world. Most operate in convenience stores and supermarkets which the FCA has also written to.

They are run by at least eight operators, none of whom are licensed by the FCA and all of whom have been told to turn off the machines and remove them from stores.

Bitcoin ATMs let users deposit cash in exchange for the cryptocurrency, which they can then transfer to other online wallets.","All Bitcoin cashpoints in Britain have been ordered to shut down after the City watchdog declared them illegal.

The Financial Conduct Authority (FCA) has written to providers of cryptocurrency ATMs telling them to cease operations or face enforcement action.

Britain has 81 functioning Bitcoin ATMs, according to Coin ATM Radar, which tracks the machines around the world. Most operate in convenience stores and supermarkets which the FCA has also written to.

They are run by at least eight operators, none of whom are licensed by the FCA and all of whom have been told to turn off the machines and remove them from stores.

Bitcoin ATMs let users deposit cash in exchange for the cryptocurrency, which they can then transfer to other online wallets.",1,"[('cryptocurrency', 0.039894804), ('financial', 0.03495469), ('2018', 0.020681204), ('exchange', 0.0182124), ('transaction', 0.017677767), ('cryptocurrencies', 0.017443212), ('trading', 0.01689826), ('ban', 0.015825065), ('payment', 0.014948157), ('regulation', 0.012330683)]",0,"[('use', 0.062151197), ('copyright', 0.024864022), ('library', 0.019866286), ('government', 0.019797979), ('item', 0.018867392), ('law', 0.018566867), ('bitcoin', 0.017421842), ('reuse', 0.017286222), ('right', 0.016354026), ('permission', 0.016217122)]"
9,Austria,Legal," Not considered to be an official form of currency, earnings are subject to tax law. The Financial Market Authority (FMA) has warned investors that cryptocurrencies are risky and that the FMA does not supervise or regulate virtual currencies, including bitcoin, or cryptocurrency trading platforms.[14]: 30–31",14,cite_note-RCAWJune2018LOC-14,https://www.loc.gov/item/2021687419/,['14 August 2018'],14,"Publications of the Law Library of Congress are works of the United States Government as defined in the United States Code 17 U.S.C. §105 and therefore are not subject to copyright and are free to use and reuse. The Library of Congress has no objection to the international use and reuse of Library U.S. Government works on loc.gov. These works are also available for worldwide use and reuse under CC0 1.0 Universal.

However, copyright protections may apply to copyrighted images or material from a third party that is contained in the publication. Please note that the written permission of the copyright owners and/or other rights holders (such as publicity and/or privacy rights) is required for distribution, reproduction, or other use of protected items beyond that allowed by fair use or other statutory exemptions. Responsibility for making an independent legal assessment of an item and securing any necessary permissions ultimately rests with persons desiring to use the item. You are responsible for deciding whether your use of the items in this collection is legal. You will need written permission from the rightsholders to copy, distribute, or otherwise use copyrighted materials except as allowed by fair use or other statutory exemptions. Some materials may be protected under international law. You may also need permission from holders of other rights, such as publicity and/or privacy rights.

Credit Line: Law Library of Congress

More about Copyright and other Restrictions

For guidance about compiling full citations consult Citing Primary Sources.","Publications of the Law Library of Congress are works of the United States Government as defined in the United States Code 17 U.S.C. §105 and therefore are not subject to copyright and are free to use and reuse. The Library of Congress has no objection to the international use and reuse of Library U.S. Government works on loc.gov. These works are also available for worldwide use and reuse under CC0 1.0 Universal.

However, copyright protections may apply to copyrighted images or material from a third party that is contained in the publication. Please note that the written permission of the copyright owners and/or other rights holders (such as publicity and/or privacy rights) is required for distribution, reproduction, or other use of protected items beyond that allowed by fair use or other statutory exemptions. Responsibility for making an independent legal assessment of an item and securing any necessary permissions ultimately rests with persons desiring to use the item. You are responsible for deciding whether your use of the items in this collection is legal. You will need written permission from the rightsholders to copy, distribute, or otherwise use copyrighted materials except as allowed by fair use or other statutory exemptions. Some materials may be protected under international law. You may also need permission from holders of other rights, such as publicity and/or privacy rights.

Credit Line: Law Library of Congress

More about Copyright and other Restrictions

For guidance about compiling full citations consult Citing Primary Sources.",1,"[('cryptocurrency', 0.039894804), ('financial', 0.03495469), ('2018', 0.020681204), ('exchange', 0.0182124), ('transaction', 0.017677767), ('cryptocurrencies', 0.017443212), ('trading', 0.01689826), ('ban', 0.015825065), ('payment', 0.014948157), ('regulation', 0.012330683)]",1,"[('use', 0.035869658), ('translation', 0.022106161), ('unavailable', 0.02210551), ('digital', 0.02120728), ('permission', 0.018492848), ('right', 0.017274445), ('bitcoin', 0.017273907), ('also', 0.017009981), ('law', 0.016546033), ('currency', 0.016354725)]"
