date,count,input_total_min,output_total_min,input_total_usd_min,output_total_usd_min,fee_min,fee_usd_min,input_total_max,output_total_max,input_total_usd_max,output_total_usd_max,fee_max,fee_usd_max,input_total_mean,output_total_mean,input_total_usd_mean,output_total_usd_mean,fee_mean,fee_usd_mean,input_total_quant25,output_total_quant25,input_total_usd_quant25,output_total_usd_quant25,fee_quant25,fee_usd_quant25,input_total_median,output_total_median,input_total_usd_median,output_total_usd_median,fee_median,fee_usd_median,input_total_quant75,output_total_quant75,input_total_usd_quant75,output_total_usd_quant75,fee_quant75,fee_usd_quant75,input_total_sum,output_total_sum,input_total_usd_sum,output_total_usd_sum,fee_sum,fee_usd_sum
2009-01-03,1,0,5000000000,0.0,0.5,0,0.0,0,5000000000,0.0,0.5,0,0.0,0.0,5000000000.0,0.0,0.5,0.0,0.0,0.0,5000000000.0,0.0,0.5,0.0,0.0,0.0,5000000000.0,0.0,0.5,0.0,0.0,0.0,5000000000.0,0.0,0.5,0.0,0.0,0,5000000000,0.0,0.5,0,0.0
2009-01-09,14,0,5000000000,0.0,0.5,0,0.0,0,5000000000,0.0,0.5,0,0.0,0.0,5000000000.0,0.0,0.5,0.0,0.0,0.0,5000000000.0,0.0,0.5,0.0,0.0,0.0,5000000000.0,0.0,0.5,0.0,0.0,0.0,5000000000.0,0.0,0.5,0.0,0.0,0,70000000000,0.0,7.0,0,0.0
2009-01-10,61,0,5000000000,0.0,0.5,0,0.0,0,5000000000,0.0,0.5,0,0.0,0.0,5000000000.0,0.0,0.5,0.0,0.0,0.0,5000000000.0,0.0,0.5,0.0,0.0,0.0,5000000000.0,0.0,0.5,0.0,0.0,0.0,5000000000.0,0.0,0.5,0.0,0.0,0,305000000000,0.0,30.5,0,0.0
2009-01-11,93,0,5000000000,0.0,0.5,0,0.0,0,5000000000,0.0,0.5,0,0.0,0.0,5000000000.0,0.0,0.5,0.0,0.0,0.0,5000000000.0,0.0,0.5,0.0,0.0,0.0,5000000000.0,0.0,0.5,0.0,0.0,0.0,5000000000.0,0.0,0.5,0.0,0.0,0,465000000000,0.0,46.5,0,0.0
2009-01-12,101,0,100000000,0.0,0.01,0,0.0,5000000000,5000000000,0.5,0.5,0,0.0,177227722.77227724,4830693069.306931,0.017722772277227725,0.48306930693069305,0.0,0.0,0.0,5000000000.0,0.0,0.5,0.0,0.0,0.0,5000000000.0,0.0,0.5,0.0,0.0,0.0,5000000000.0,0.0,0.5,0.0,0.0,17900000000,487900000000,1.79,48.79,0,0.0
2009-01-13,123,0,5000000000,0.0,0.5,0,0.0,0,5000000000,0.0,0.5,0,0.0,0.0,5000000000.0,0.0,0.5,0.0,0.0,0.0,5000000000.0,0.0,0.5,0.0,0.0,0.0,5000000000.0,0.0,0.5,0.0,0.0,0.0,5000000000.0,0.0,0.5,0.0,0.0,0,615000000000,0.0,61.5,0,0.0
2009-01-14,130,0,5000000000,0.0,0.5,0,0.0,6100000000,6100000000,0.61,0.61,0,0.0,46923076.92307692,5008461538.461538,0.004692307692307692,0.5008461538461538,0.0,0.0,0.0,5000000000.0,0.0,0.5,0.0,0.0,0.0,5000000000.0,0.0,0.5,0.0,0.0,0.0,5000000000.0,0.0,0.5,0.0,0.0,6100000000,651100000000,0.61,65.11,0,0.0
2009-01-15,134,0,2500000000,0.0,0.25,0,0.0,25000000000,25000000000,2.5,2.5,0,0.0,373134328.35820895,5074626865.671641,0.03731343283582089,0.5074626865671642,0.0,0.0,0.0,5000000000.0,0.0,0.5,0.0,0.0,0.0,5000000000.0,0.0,0.5,0.0,0.0,0.0,5000000000.0,0.0,0.5,0.0,0.0,50000000000,680000000000,5.0,68.0,0,0.0
2009-01-16,110,0,5000000000,0.0,0.5,0,0.0,10000000000,10000000000,1.0,1.0,0,0.0,181818181.8181818,5090909090.909091,0.01818181818181818,0.509090909090909,0.0,0.0,0.0,5000000000.0,0.0,0.5,0.0,0.0,0.0,5000000000.0,0.0,0.5,0.0,0.0,0.0,5000000000.0,0.0,0.5,0.0,0.0,20000000000,560000000000,2.0,56.0,0,0.0
2009-01-17,109,0,5000000000,0.0,0.5,0,0.0,0,5000000000,0.0,0.5,0,0.0,0.0,5000000000.0,0.0,0.5,0.0,0.0,0.0,5000000000.0,0.0,0.5,0.0,0.0,0.0,5000000000.0,0.0,0.5,0.0,0.0,0.0,5000000000.0,0.0,0.5,0.0,0.0,0,545000000000,0.0,54.5,0,0.0
2009-01-18,108,0,5000000000,0.0,0.5,0,0.0,15000000000,15000000000,1.5,1.5,0,0.0,138888888.8888889,5092592592.592592,0.013888888888888888,0.5092592592592593,0.0,0.0,0.0,5000000000.0,0.0,0.5,0.0,0.0,0.0,5000000000.0,0.0,0.5,0.0,0.0,0.0,5000000000.0,0.0,0.5,0.0,0.0,15000000000,550000000000,1.5,55.0,0,0.0
2009-01-19,117,0,5000000000,0.0,0.5,0,0.0,50000000000,50000000000,5.0,5.0,0,0.0,662393162.3931624,5576923076.923077,0.06623931623931624,0.5576923076923077,0.0,0.0,0.0,5000000000.0,0.0,0.5,0.0,0.0,0.0,5000000000.0,0.0,0.5,0.0,0.0,0.0,5000000000.0,0.0,0.5,0.0,0.0,77500000000,652500000000,7.75,65.25,0,0.0
2009-01-20,115,0,5000000000,0.0,0.5,0,0.0,40000000000,40000000000,4.0,4.0,0,0.0,347826086.95652175,5304347826.086957,0.034782608695652174,0.5304347826086957,0.0,0.0,0.0,5000000000.0,0.0,0.5,0.0,0.0,0.0,5000000000.0,0.0,0.5,0.0,0.0,0.0,5000000000.0,0.0,0.5,0.0,0.0,40000000000,610000000000,4.0,61.0,0,0.0
2009-01-21,103,0,5000000000,0.0,0.5,0,0.0,10000000000,10000000000,1.0,1.0,0,0.0,97087378.6407767,5048543689.320389,0.009708737864077669,0.5048543689320388,0.0,0.0,0.0,5000000000.0,0.0,0.5,0.0,0.0,0.0,5000000000.0,0.0,0.5,0.0,0.0,0.0,5000000000.0,0.0,0.5,0.0,0.0,10000000000,520000000000,1.0,52.0,0,0.0
2009-01-22,92,0,5000000000,0.0,0.5,0,0.0,50000000000,50000000000,5.0,5.0,0,0.0,543478260.8695652,5489130434.782609,0.05434782608695652,0.5489130434782609,0.0,0.0,0.0,5000000000.0,0.0,0.5,0.0,0.0,0.0,5000000000.0,0.0,0.5,0.0,0.0,0.0,5000000000.0,0.0,0.5,0.0,0.0,50000000000,505000000000,5.0,50.5,0,0.0
2009-01-23,86,0,5000000000,0.0,0.5,0,0.0,30000000000,30000000000,3.0,3.0,0,0.0,523255813.95348835,5406976744.186047,0.05232558139534884,0.5406976744186046,0.0,0.0,0.0,5000000000.0,0.0,0.5,0.0,0.0,0.0,5000000000.0,0.0,0.5,0.0,0.0,0.0,5000000000.0,0.0,0.5,0.0,0.0,45000000000,465000000000,4.5,46.5,0,0.0
2009-01-24,202,0,5000000000,0.0,0.5,0,0.0,50000000000,50000000000,5.0,5.0,0,0.0,247524752.47524753,5222772277.227723,0.024752475247524754,0.5222772277227723,0.0,0.0,0.0,5000000000.0,0.0,0.5,0.0,0.0,0.0,5000000000.0,0.0,0.5,0.0,0.0,0.0,5000000000.0,0.0,0.5,0.0,0.0,50000000000,1055000000000,5.0,105.5,0,0.0
2009-01-25,192,0,5000000000,0.0,0.5,0,0.0,5000000000,5000000000,0.5,0.5,0,0.0,26041666.666666668,5000000000.0,0.0026041666666666665,0.5,0.0,0.0,0.0,5000000000.0,0.0,0.5,0.0,0.0,0.0,5000000000.0,0.0,0.5,0.0,0.0,0.0,5000000000.0,0.0,0.5,0.0,0.0,5000000000,960000000000,0.5,96.0,0,0.0
2009-01-26,97,0,5000000000,0.0,0.5,0,0.0,100000000000,100000000000,10.0,10.0,0,0.0,1030927835.0515463,5979381443.298969,0.10309278350515463,0.5979381443298969,0.0,0.0,0.0,5000000000.0,0.0,0.5,0.0,0.0,0.0,5000000000.0,0.0,0.5,0.0,0.0,0.0,5000000000.0,0.0,0.5,0.0,0.0,100000000000,580000000000,10.0,58.0,0,0.0
2009-01-27,98,0,5000000000,0.0,0.5,0,0.0,15000000000,15000000000,1.5,1.5,0,0.0,153061224.48979592,5102040816.32653,0.015306122448979591,0.5102040816326531,0.0,0.0,0.0,5000000000.0,0.0,0.5,0.0,0.0,0.0,5000000000.0,0.0,0.5,0.0,0.0,0.0,5000000000.0,0.0,0.5,0.0,0.0,15000000000,500000000000,1.5,50.0,0,0.0
