Date,Country,Value
2013-06-29,AED,544.0
2013-07-06,AED,
2013-07-13,AED,
2013-07-20,AED,
2013-07-27,AED,
2013-08-03,AED,
2013-08-10,AED,
2013-08-17,AED,
2013-08-24,AED,
2013-08-31,AED,2215.0
2013-09-07,AED,
2013-09-14,AED,
2013-09-21,AED,479.0
2013-09-28,AED,2650.0
2013-10-05,AED,
2013-10-12,AED,
2013-10-19,AED,
2013-10-26,AED,
2013-11-02,AED,
2013-11-08,AED,
2013-11-09,AED,1493.0
2013-11-16,AED,
2013-11-23,AED,
2013-11-30,AED,
2013-12-07,AED,
2013-12-14,AED,65986.0
2013-12-21,AED,3078.0
2013-12-28,AED,17133.0
2014-01-04,AED,1009.0
2014-01-11,AED,27257.0
2014-01-18,AED,109056.0
2014-01-25,AED,31712.0
2014-02-01,AED,34614.0
2014-02-08,AED,21238.0
2014-02-15,AED,28010.0
2014-02-22,AED,32693.0
2014-03-01,AED,
2014-03-08,AED,19845.0
2014-03-15,AED,5103.0
2014-03-22,AED,21540.0
2014-03-29,AED,19254.0
2014-04-05,AED,4937.0
2014-04-12,AED,5521.0
2014-04-19,AED,
2014-04-26,AED,
2014-05-03,AED,807.0
2014-05-10,AED,6137.0
2014-05-17,AED,19493.0
2014-05-24,AED,30046.0
2014-05-31,AED,12718.0
2014-06-07,AED,22960.0
2014-06-14,AED,37343.0
2014-06-21,AED,990.0
2014-06-28,AED,2507.0
2014-07-05,AED,24438.0
2014-07-12,AED,2986.0
2014-07-19,AED,2421.0
2014-07-26,AED,28559.0
2014-08-02,AED,25945.0
2014-08-09,AED,47775.0
2014-08-16,AED,43267.0
2014-08-23,AED,15930.0
2014-08-30,AED,37827.0
2014-09-06,AED,31059.0
2014-09-13,AED,19079.0
2014-09-20,AED,22975.0
2014-09-27,AED,31457.0
2014-10-04,AED,18879.0
2014-10-11,AED,49078.0
2014-10-18,AED,30762.0
2014-10-25,AED,26081.0
2014-11-01,AED,53597.0
2014-11-08,AED,14931.0
2014-11-15,AED,21959.0
2014-11-22,AED,3572.0
2014-11-29,AED,7068.0
2014-12-06,AED,12415.0
2014-12-13,AED,5233.0
2014-12-20,AED,3121.0
2014-12-27,AED,4004.0
2015-01-03,AED,11655.0
2015-01-10,AED,11521.0
2015-01-17,AED,24277.0
2015-01-24,AED,62453.0
2015-01-31,AED,30463.0
2015-02-07,AED,29986.0
2015-02-14,AED,18064.0
2015-02-21,AED,11541.0
2015-02-28,AED,11512.0
2015-03-07,AED,25562.0
2015-03-14,AED,11980.0
2015-03-21,AED,3804.0
2015-03-28,AED,9577.0
2015-04-04,AED,10595.0
2015-04-11,AED,18604.0
2015-04-18,AED,11905.0
2015-04-25,AED,12981.0
2015-05-02,AED,6217.0
2015-05-09,AED,7500.0
2015-05-16,AED,5773.0
2015-05-23,AED,3871.0
2015-05-30,AED,4490.0
2015-06-06,AED,13143.0
2015-06-13,AED,5461.0
2015-06-20,AED,2260.0
2015-06-27,AED,3015.0
2015-07-04,AED,3189.0
2015-07-11,AED,13521.0
2015-07-18,AED,40009.0
2015-07-25,AED,34833.0
2015-08-01,AED,62196.0
2015-08-08,AED,34266.0
2015-08-15,AED,26050.0
2015-08-22,AED,60117.0
2015-08-29,AED,39860.0
2015-09-05,AED,11117.0
2015-09-12,AED,22116.0
2015-09-19,AED,10903.0
2015-09-26,AED,16743.0
2015-10-03,AED,5298.0
2015-10-10,AED,1606.0
2015-10-17,AED,6352.0
2015-10-24,AED,13971.0
2015-10-31,AED,82985.0
2015-11-07,AED,29638.0
2015-11-14,AED,64212.0
2015-11-21,AED,109463.0
2015-11-28,AED,214085.0
2015-12-05,AED,78414.0
2015-12-12,AED,35149.0
2015-12-19,AED,38139.0
2015-12-26,AED,33221.0
2016-01-02,AED,28673.0
2016-01-09,AED,28266.0
2016-01-16,AED,104898.0
2016-01-23,AED,15170.0
2016-01-30,AED,41297.0
2016-02-06,AED,25474.0
2016-02-13,AED,65645.0
2016-02-20,AED,92812.0
2016-02-27,AED,157716.0
2016-03-05,AED,62754.0
2016-03-12,AED,78113.0
2016-03-19,AED,60005.0
2016-03-26,AED,48703.0
2016-04-02,AED,537545.0
2016-04-09,AED,863158.0
2016-04-16,AED,67974.0
2016-04-23,AED,76490.0
2016-04-30,AED,218560.0
2016-05-07,AED,125394.0
2016-05-14,AED,152642.0
2016-05-21,AED,126433.0
2016-05-28,AED,196548.0
2016-06-04,AED,527713.0
2016-06-11,AED,514686.0
2016-06-18,AED,503939.0
2016-06-25,AED,67283.0
2016-07-02,AED,157032.0
2016-07-09,AED,52849.0
2016-07-16,AED,66717.0
2016-07-23,AED,120500.0
2016-07-30,AED,204053.0
2016-08-06,AED,170771.0
2016-08-13,AED,70078.0
2016-08-20,AED,73033.0
2016-08-27,AED,70917.0
2016-09-03,AED,88448.0
2016-09-10,AED,106888.0
2016-09-17,AED,196224.0
2016-09-24,AED,141420.0
2016-10-01,AED,87945.0
2016-10-08,AED,232744.0
2016-10-15,AED,53598.0
2016-10-22,AED,127005.0
2016-10-29,AED,69974.0
2016-11-05,AED,87942.0
2016-11-12,AED,142148.0
2016-11-19,AED,143344.0
2016-11-26,AED,152153.0
2016-12-03,AED,335841.0
2016-12-10,AED,181129.0
2016-12-17,AED,159013.0
2016-12-24,AED,188457.0
2016-12-31,AED,114047.0
2017-01-07,AED,162532.0
2017-01-14,AED,123483.0
2017-01-21,AED,140186.0
2017-01-28,AED,120907.0
2017-02-04,AED,152137.0
2017-02-11,AED,196250.0
2017-02-18,AED,142184.0
2017-02-25,AED,70616.0
2017-03-04,AED,228471.0
2017-03-11,AED,157781.0
2017-03-18,AED,157993.0
2017-03-25,AED,77264.0
2017-04-01,AED,257712.0
2017-04-08,AED,204349.0
2017-04-15,AED,130549.0
2017-04-22,AED,332907.0
2017-04-29,AED,406361.0
2017-05-06,AED,260740.0
2017-05-13,AED,295646.0
2017-05-20,AED,276220.0
2017-05-27,AED,234455.0
2017-06-03,AED,426836.0
2017-06-10,AED,442122.0
2017-06-17,AED,423385.0
2017-06-24,AED,530740.0
2017-07-01,AED,375748.0
2017-07-08,AED,242337.0
2017-07-15,AED,348100.0
2017-07-22,AED,405454.0
2017-07-29,AED,313733.0
2017-08-05,AED,334798.0
2017-08-12,AED,1018482.0
2017-08-19,AED,873743.0
2017-08-26,AED,521707.0
2017-09-02,AED,909761.0
2017-09-09,AED,1139237.0
2017-09-16,AED,1515121.0
2017-09-23,AED,923141.0
2017-09-30,AED,1253177.0
2017-10-07,AED,916304.0
2017-10-14,AED,2305367.0
2017-10-21,AED,1003958.0
2017-10-28,AED,960031.0
2017-11-04,AED,2971084.0
2017-11-11,AED,1300246.0
2017-11-18,AED,1553033.0
2017-11-25,AED,2097789.0
2017-12-02,AED,2047095.0
2017-12-09,AED,4183468.0
2017-12-16,AED,5606316.0
2017-12-23,AED,4361721.0
2017-12-30,AED,5066041.0
2018-01-06,AED,5932497.0
2018-01-13,AED,5948936.0
2018-01-20,AED,5269378.0
2018-01-27,AED,3588263.0
2018-02-03,AED,4002958.0
2018-02-10,AED,2817623.0
2018-02-17,AED,2806403.0
2018-02-24,AED,2317609.0
2018-03-03,AED,1684667.0
2018-03-10,AED,2243268.0
2018-03-17,AED,2497281.0
2018-03-24,AED,1937109.0
2018-03-31,AED,1513293.0
2018-04-07,AED,2373430.0
2018-04-14,AED,1683255.0
2018-04-21,AED,1423968.0
2018-04-28,AED,1968610.0
2018-05-05,AED,2087598.0
2018-05-12,AED,1921235.0
2018-05-19,AED,1260464.0
2018-05-26,AED,1979782.0
2018-06-02,AED,1339634.0
2018-06-09,AED,1662096.0
2018-06-16,AED,1595691.0
2018-06-23,AED,1346451.0
2018-06-30,AED,1065594.0
2018-07-07,AED,1569078.0
2018-07-14,AED,1105543.0
2018-07-21,AED,1232977.0
2018-07-28,AED,1383158.0
2018-08-04,AED,1307901.0
2018-08-11,AED,1517668.0
2018-08-18,AED,1065335.0
2018-08-25,AED,425551.0
2018-09-01,AED,849608.0
2018-09-08,AED,988170.0
2018-09-15,AED,1018540.0
2018-09-22,AED,1602184.0
2018-09-29,AED,1034130.0
2018-10-06,AED,1036955.0
2018-10-13,AED,1716707.0
2018-10-20,AED,899115.0
2018-10-27,AED,1071287.0
