"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2010-01","Jan-2010","NATUSD","National currency per US dollar","0","Units",,,1.096,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2010-02","Feb-2010","NATUSD","National currency per US dollar","0","Units",,,1.1287,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2010-03","Mar-2010","NATUSD","National currency per US dollar","0","Units",,,1.096478,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2010-04","Apr-2010","NATUSD","National currency per US dollar","0","Units",,,1.080636,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2010-05","May-2010","NATUSD","National currency per US dollar","0","Units",,,1.151571,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2010-06","Jun-2010","NATUSD","National currency per US dollar","0","Units",,,1.172,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2010-07","Jul-2010","NATUSD","National currency per US dollar","0","Units",,,1.141364,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2010-08","Aug-2010","NATUSD","National currency per US dollar","0","Units",,,1.1115,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2010-09","Sep-2010","NATUSD","National currency per US dollar","0","Units",,,1.065591,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2010-10","Oct-2010","NATUSD","National currency per US dollar","0","Units",,,1.020095,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2010-11","Nov-2010","NATUSD","National currency per US dollar","0","Units",,,1.011955,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2010-12","Dec-2010","NATUSD","National currency per US dollar","0","Units",,,1.006217,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2011-01","Jan-2011","NATUSD","National currency per US dollar","0","Units",,,1.003333,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2011-02","Feb-2011","NATUSD","National currency per US dollar","0","Units",,,0.9914,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2011-03","Mar-2011","NATUSD","National currency per US dollar","0","Units",,,0.9889565,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2011-04","Apr-2011","NATUSD","National currency per US dollar","0","Units",,,0.9447143,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2011-05","May-2011","NATUSD","National currency per US dollar","0","Units",,,0.9374545,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2011-06","Jun-2011","NATUSD","National currency per US dollar","0","Units",,,0.9419546,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2011-07","Jul-2011","NATUSD","National currency per US dollar","0","Units",,,0.9281428,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2011-08","Aug-2011","NATUSD","National currency per US dollar","0","Units",,,0.9524783,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2011-09","Sep-2011","NATUSD","National currency per US dollar","0","Units",,,0.9786818,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2011-10","Oct-2011","NATUSD","National currency per US dollar","0","Units",,,0.9861429,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2011-11","Nov-2011","NATUSD","National currency per US dollar","0","Units",,,0.9892727,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2011-12","Dec-2011","NATUSD","National currency per US dollar","0","Units",,,0.9877273,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2012-01","Jan-2012","NATUSD","National currency per US dollar","0","Units",,,0.9613182,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2012-02","Feb-2012","NATUSD","National currency per US dollar","0","Units",,,0.9319524,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2012-03","Mar-2012","NATUSD","National currency per US dollar","0","Units",,,0.95,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2012-04","Apr-2012","NATUSD","National currency per US dollar","0","Units",,,0.9670476,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2012-05","May-2012","NATUSD","National currency per US dollar","0","Units",,,1.002913,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2012-06","Jun-2012","NATUSD","National currency per US dollar","0","Units",,,1.001809,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2012-07","Jul-2012","NATUSD","National currency per US dollar","0","Units",,,0.9712273,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2012-08","Aug-2012","NATUSD","National currency per US dollar","0","Units",,,0.9551305,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2012-09","Sep-2012","NATUSD","National currency per US dollar","0","Units",,,0.96175,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2012-10","Oct-2012","NATUSD","National currency per US dollar","0","Units",,,0.9713478,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2012-11","Nov-2012","NATUSD","National currency per US dollar","0","Units",,,0.9612273,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2012-12","Dec-2012","NATUSD","National currency per US dollar","0","Units",,,0.9558572,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2013-01","Jan-2013","NATUSD","National currency per US dollar","0","Units",,,0.9524348,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2013-02","Feb-2013","NATUSD","National currency per US dollar","0","Units",,,0.97045,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2013-03","Mar-2013","NATUSD","National currency per US dollar","0","Units",,,0.967,,
"CCUS","Currency exchange rates, monthly average","AUS","Australia","M","Monthly","2013-04","Apr-2013","NATUSD","National currency per US dollar","0","Units",,,0.9641818,,
