Country,Legal Status,Citation Date,Log Price,Log Volume
Afghanistan,Illegal,2022-08-26,"[10.041434805880426, 9.841782347099448]","[12.399416565605865, 12.253480902925165]"
Albania,Legal,2021-06-11,"[10.807385813960234, 10.440790536745531]","[11.98754343176671, 10.483466034990435]"
Algeria,Illegal,2018-08-14,"[8.758239527251996, 8.776923220098448]","[12.104427441767973, 15.07680842890948]"
Algeria,Illegal,2019-01-03,"[8.283620444611488, 8.161232278211163]","[12.69682820624223, 13.002678534458349]"
Angola,Legal,2020-01-07,"[8.925906352218865, 9.187276432377631]","[13.12044153184163, 13.5653426150749]"
Argentina,Legal /  Banking ban,2022-05-05,"[10.725599464377073, 10.304419066083744]","[19.85840464017862, 10.419599180731357]"
Argentina,Legal /  Banking ban,2022-05-06,"[10.672970578838283, 10.306048447496902]","[20.291744186518464, 10.319892600682627]"
Argentina,Legal /  Banking ban,2022-01-15,"[10.771180301772798, 10.658442184505455]","[10.783114300038692, 10.889304347058893]"
Australia,Legal,2013-12-13,"[6.075116119603592, 6.8456670866687155]","[10.491829618729946, 9.203315757039219]"
Australia,Legal,2014-09-21,"[6.246300545154681, 5.946467181177246]","[8.704502289721232, 9.175748927206564]"
Australia,Legal,2022-03-11,"[10.700744717165106, 10.648705225387076]","[10.838011052671343, 19.360023719356672]"
Austria,Legal,2018-08-14,"[8.758239527251996, 8.776923220098448]","[12.104427441767973, 15.07680842890948]"
Bangladesh,Illegal,2021-07-27,"[10.453875177363901, 10.754313467726758]","[11.910358401381128, 11.208978500052412]"
Bangladesh,Illegal,2023-01-30,"[9.71337976154174, 10.070788529795731]","[11.778668629903255, 12.703113697125547]"
Bangladesh,Illegal,2014-09-15,"[6.257667587882639, 5.974318388273011]","[8.261009786023827, 10.020826044953361]"
Bangladesh,Illegal,2022-01-12,"[10.75157652848031, 10.65463001888321]","[11.294396251206765, 11.155535980093628]"
Bangladesh,Illegal,2015-02-23,"[5.514234872770507, 5.506956231659364]","[10.411509248969384, 11.786305752711149]"
Bangladesh,Illegal,2018-08-14,"[8.758239527251996, 8.776923220098448]","[12.104427441767973, 15.07680842890948]"
Belarus,Legal,,[],[]
Belgium,Legal,2022-01-15,"[10.771180301772798, 10.658442184505455]","[10.783114300038692, 10.889304347058893]"
Bolivia,Illegal,2018-08-14,"[8.758239527251996, 8.776923220098448]","[12.104427441767973, 15.07680842890948]"
Bolivia,Illegal,2014-06-20,"[6.191953407857386, 6.431331081933479]","[7.24422751560335, 7.7406644019172415]"
Bolivia,Illegal,2015-02-23,"[5.514234872770507, 5.506956231659364]","[10.411509248969384, 11.786305752711149]"
Bosnia and Herzegovina,Legal,,[],[]
Brazil,Legal,2014-02-19,"[6.862757913051401, 6.309190740908139]","[9.250522161609014, 8.24800570160062]"
Brazil,Legal,2019-05-03,"[8.51091351545893, 9.074360269421438]","[16.44235070364094, 13.328629299441742]"
Brazil,Legal,2021-03-04,"[10.476870987127503, 10.95185687222477]","[11.702305386131629, 11.138086550403825]"
Brazil,Legal,2017-11-17,"[8.62619108379135, 9.855646188113827]","[11.711940244705843, 11.673427361624258]"
Brunei,Legal to trade and hold,2018-12-12,"[8.769507120030227, 8.193261986289336]","[11.776519741892919, 13.220650938588275]"
Bulgaria,Legal,,[],[]
Cambodia,Legal /  Banking ban,2018-08-14,"[8.758239527251996, 8.776923220098448]","[12.104427441767973, 15.07680842890948]"
