Country,Legal Status,Citation Date,Exchange Rate
Afghanistan,Illegal,2022-08-26,"[nan, nan]"
Albania,Legal,2021-06-11,"[nan, nan]"
Algeria,Illegal,2018-08-14,"[nan, nan]"
Algeria,Illegal,2019-01-03,"[nan, nan]"
Angola,Legal,2020-01-07,"[nan, nan]"
Argentina,Legal /  Banking ban,2022-05-05,"[113.2374, 122.6425]"
Argentina,Legal /  Banking ban,2022-05-06,"[113.2374, 122.6425]"
Argentina,Legal /  Banking ban,2022-01-15,"[101.786, 106.2047]"
Australia,Legal,2013-12-13,"[1.071923, 1.128584]"
Australia,Legal,2014-09-21,"[1.074885, 1.138408]"
Australia,Legal,2022-03-11,"[1.397155, 1.351738]"
Austria,Legal,2018-08-14,"[nan, nan]"
Bangladesh,Illegal,2021-07-27,"[nan, nan]"
Bangladesh,Illegal,2023-01-30,"[nan, nan]"
Bangladesh,Illegal,2014-09-15,"[nan, nan]"
Bangladesh,Illegal,2022-01-12,"[nan, nan]"
Bangladesh,Illegal,2015-02-23,"[nan, nan]"
Bangladesh,Illegal,2018-08-14,"[nan, nan]"
Belarus,Legal,,
Belgium,Legal,2022-01-15,"[nan, nan]"
Bolivia,Illegal,2018-08-14,"[nan, nan]"
Bolivia,Illegal,2014-06-20,"[nan, nan]"
Bolivia,Illegal,2015-02-23,"[nan, nan]"
Bosnia and Herzegovina,Legal,,
Brazil,Legal,2014-02-19,"[2.381565, 2.328195]"
Brazil,Legal,2019-05-03,"[3.895557, 3.858226]"
Brazil,Legal,2021-03-04,"[5.415895, 5.561535]"
Brazil,Legal,2017-11-17,"[3.190638, 3.29131]"
Brunei,Legal to trade and hold,2018-12-12,"[nan, nan]"
Bulgaria,Legal,,
Cambodia,Legal /  Banking ban,2018-08-14,"[nan, nan]"
Canada,Legal /  Banking ban,2017-09-05,"[1.260622, 1.260209]"
Canada,Legal /  Banking ban,2019-03-22,"[1.32086, 1.337791]"
Central African Republic,Legal,2022-04-27,"[nan, nan]"
Chile,Legal,2022-01-15,"[849.8189, 806.892]"
China (PRC),Illegal,2015-02-18,"[nan, nan]"
China (PRC),Illegal,2018-08-14,"[nan, nan]"
China (PRC),Illegal,2021-09-24,"[nan, nan]"
China (PRC),Illegal,2018-01-05,"[nan, nan]"
China (PRC),Illegal,2018-01-10,"[nan, nan]"
China (PRC),Illegal,2014-04-01,"[nan, nan]"
China (PRC),Illegal,2014-11-08,"[nan, nan]"
China (PRC),Illegal,2018-07-12,"[nan, nan]"
China (PRC),Illegal,2018-09-29,"[nan, nan]"
China (PRC),Illegal,2018-01-09,"[nan, nan]"
China (PRC),Illegal,2013-12-05,"[nan, nan]"
China (PRC),Illegal,2013-12-16,"[nan, nan]"
Colombia,Legal /  Banking ban,2018-08-14,"[2885.532, 3033.467]"
Costa Rica,Not considered currency,2017-10-09,"[578.2404, 569.3128]"
Costa Rica,Not considered currency,2022-01-15,"[638.1115, 641.2982]"
Croatia,Legal,2018-08-14,"[nan, nan]"
Cyprus,Legal,2022-01-15,"[nan, nan]"
Czech Republic,Legal,2018-05-22,"[20.6631, 22.07409]"
Czech Republic,Legal,2017-12-14,"[21.76055, 20.88643]"
Czech Republic,Legal,2018-08-14,"[22.14236, 21.95835]"
Denmark,Legal,2013-12-17,"[5.527966, 5.479257]"
Denmark,Legal,2022-01-15,"[6.578561, 6.560795]"
Denmark,Legal,2022-04-22,"[6.7526, 7.036755]"
Ecuador,"Legal to trade and hold /  Illegal as a payment tool, banking ban",,
Ecuador,"Legal to trade and hold /  Illegal as a payment tool, banking ban",2021-02-07,"[nan, nan]"
Egypt,Illegal,2018-08-14,"[nan, nan]"
El Salvador,Legal,2021-09-07,"[nan, nan]"
El Salvador,Legal,2021-10-07,"[nan, nan]"
El Salvador,Legal,2021-10-12,"[nan, nan]"
El Salvador,Legal,2021-10-10,"[nan, nan]"
El Salvador,Legal,2021-06-09,"[nan, nan]"
El Salvador,Legal,2021-06-08,"[nan, nan]"
Estonia,Legal,2022-01-15,"[nan, nan]"
Estonia,Legal,2013-12-24,"[nan, nan]"
European Union,Legal,2022-01-18,"[nan, nan]"
European Union,Legal,2022-01-15,"[nan, nan]"
European Union,Legal,2014-03-05,"[nan, nan]"
European Union,Legal,2016-12-06,"[nan, nan]"
European Union,Legal,2015-02-18,"[nan, nan]"
European Union,Legal,2015-10-22,"[nan, nan]"
European Union,Legal,2015-10-23,"[nan, nan]"
European Union,Legal,2016-05-26,"[nan, nan]"
European Union,Legal,2019-03-22,"[nan, nan]"
European Union,Legal,2014-07-04,"[nan, nan]"
European Union,Legal,2014-07-08,"[nan, nan]"
Fiji,Legal,,
Finland,Legal,2017-03-15,"[nan, nan]"
Finland,Legal,2019-03-22,"[nan, nan]"
Finland,Legal,2014-11-14,"[nan, nan]"
Finland,Legal,2014-11-15,"[nan, nan]"
Finland,Legal,2022-01-15,"[nan, nan]"
France,Legal,2016-09-28,"[nan, nan]"
G7,Legal,2014-03-06,"[nan, nan]"
Georgia,Legal,2019-06-28,"[nan, nan]"
Georgia,Legal,2020-05-21,"[nan, nan]"
Georgia,Legal,2020-12-03,"[nan, nan]"
Germany,Legal,2019-11-15,"[nan, nan]"
Germany,Legal,2018-08-14,"[nan, nan]"
Germany,Legal,2013-08-19,"[nan, nan]"
Germany,Legal,2017-08-08,"[nan, nan]"
Germany,Legal,2014-01-18,"[nan, nan]"
Gibraltar,Legal,,
Greece,Legal,2022-01-15,"[nan, nan]"
Hong Kong,Legal,2022-01-15,"[nan, nan]"
Hong Kong,Legal,2013-11-16,"[nan, nan]"
Hong Kong,Legal,2014-01-18,"[nan, nan]"
Hungary,Legal,2018-09-18,"[279.78, 282.1113]"
Iceland,Legal,2014-09-23,"[115.9705, 120.8165]"
Iceland,Legal,2015-01-08,"[125.1661, 132.0265]"
Iceland,Legal,2014-03-19,"[114.1025, 112.2641]"
Iceland,Legal,2015-06-17,"[132.4105, 134.0074]"
Iceland,Legal,2013-12-19,"[121.6095, 115.7739]"
Iceland,Legal,2019-03-22,"[119.95, 120.4091]"
Iceland,Legal,2013-12-21,"[121.6095, 115.7739]"
Iceland,Legal,2014-12-09,"[123.6095, 131.3559]"
India,Legal,2022-02-02,"[74.4416, 76.24447]"
India,Legal,,
India,Legal,2020-03-04,"[71.48852, 76.23649]"
India,Legal,2019-02-17,"[70.73287, 69.47865]"
India,Legal,2019-02-20,"[70.73287, 69.47865]"
India,Legal,2021-01-30,"[73.59364, 72.75646]"
India,Legal,2021-02-06,"[73.1094, 72.7928]"
India,Legal,2021-06-02,"[73.26774, 74.52697]"
India,Legal,2018-04-06,"[65.02133, 67.53936]"
India,Legal,2021-09-18,"[74.18459, 74.91528]"
India,Legal,2018-02-01,"[63.63689, 65.02133]"
Indonesia,Legal to trade and hold /  Illegal as payment tool,2018-08-14,"[14414.5, 14868.74]"
Indonesia,Legal to trade and hold /  Illegal as payment tool,2021-11-11,"[14198.45, 14328.92]"
Indonesia,Legal to trade and hold /  Illegal as payment tool,2022-12-16,"[15658.73, 15295.24]"
Indonesia,Legal to trade and hold /  Illegal as payment tool,2022-12-17,"[15658.73, 15295.24]"
Iran,Legal /  Banking ban,2018-08-14,"[nan, nan]"
Iran,Legal /  Banking ban,2018-06-14,"[nan, nan]"
Iran,Legal /  Banking ban,2018-06-24,"[nan, nan]"
Ireland,Not regulated by central bank,2022-01-15,"[nan, nan]"
Israel,Legal,2017-08-21,"[3.550905, 3.533762]"
Israel,Legal,2017-07-06,"[3.531864, 3.599261]"
Italy,Legal,2022-01-15,"[nan, nan]"
Jamaica,Legal,,
Jamaica,Legal,2022-01-15,"[nan, nan]"
Japan,Legal,2014-03-07,"[102.024, 102.5214]"
Japan,Legal,2017-12-13,"[112.9005, 111.0861]"
Japan,Legal,2021-06-06,"[109.0814, 110.2309]"
Japan,Legal,2018-09-07,"[111.0522, 112.8517]"
Jordan,Legal /  Banking ban,2014-02-24,"[nan, nan]"
Jordan,Legal /  Banking ban,2015-06-17,"[nan, nan]"
Jordan,Legal /  Banking ban,2014-02-22,"[nan, nan]"
Kosovo,Ban on mining[155],2022-01-16,"[nan, nan]"
Kosovo,Ban on mining[155],2022-01-22,"[nan, nan]"
Kyrgyzstan,Legal,2014-07-18,"[nan, nan]"
Kyrgyzstan,Legal,2015-02-23,"[nan, nan]"
Kyrgyzstan,Legal,,
Lebanon,Legal,2014-02-24,"[nan, nan]"
Lebanon,Legal,2015-06-17,"[nan, nan]"
Lithuania,Legal,2017-04-25,"[nan, nan]"
Lithuania,Legal,2017-06-05,"[nan, nan]"
Luxembourg,Legal,2015-10-15,"[nan, nan]"
Luxembourg,Legal,2016-06-06,"[nan, nan]"
Malaysia,Legal,2022-01-15,"[nan, nan]"
Malaysia,Legal,2014-09-21,"[nan, nan]"
Malaysia,Legal,2014-01-06,"[nan, nan]"
Malaysia,Legal,2014-03-02,"[nan, nan]"
Malaysia,Legal,2014-01-11,"[nan, nan]"
Malta,Legal,2022-01-15,"[nan, nan]"
Malta,Legal,2017-02-09,"[nan, nan]"
Malta,Legal,2017-04-02,"[nan, nan]"
Marshall Islands,Legal,,
Mauritius,Legal,2018-09-17,"[nan, nan]"
Mexico,Legal,2019-03-22,"[19.15143, 18.93698]"
Morocco,Illegal,2019-01-03,"[nan, nan]"
Morocco,Illegal,2018-08-14,"[nan, nan]"
Namibia,Legal /  Banking ban,,
Nepal,Illegal,2021-09-09,"[nan, nan]"
Nepal,Illegal,2018-08-14,"[nan, nan]"
Netherlands,Legal,2022-01-15,"[nan, nan]"
Netherlands,Legal,2015-10-12,"[nan, nan]"
Netherlands,Legal,2019-11-06,"[nan, nan]"
New Zealand,Legal,2022-01-15,"[1.472721, 1.497691]"
Nicaragua,Not regulated as of 2014,2022-01-15,"[nan, nan]"
Nigeria,Legal /  Banking ban,2021-02-05,"[nan, nan]"
Nigeria,Legal /  Banking ban,2017-01-18,"[nan, nan]"
Nigeria,Legal /  Banking ban,2019-03-22,"[nan, nan]"
Nigeria,Legal /  Banking ban,2017-08-09,"[nan, nan]"
North Macedonia,Legal,2017-04-20,"[nan, nan]"
North Macedonia,Legal,2017-04-25,"[nan, nan]"
Norway,Legal,2014-01-31,"[6.1339, 6.118475]"
Norway,Legal,2013-12-13,"[6.081429, 6.164226]"
Pakistan,Legal,2020-12-18,"[nan, nan]"
Pakistan,Legal,2020-01-23,"[nan, nan]"
Pakistan,Legal,,
Pakistan,Legal,2020-12-03,"[nan, nan]"
Palau,Legal,,
Philippines,Legal,2017-02-06,"[nan, nan]"
Philippines,Legal,2017-05-07,"[nan, nan]"
Poland,Legal,2015-01-27,"[3.427017, 3.677865]"
Poland,Legal,2015-01-28,"[3.427017, 3.677865]"
Poland,Legal,2013-12-18,"[3.101462, 3.065513]"
Poland,Legal,2017-07-07,"[3.747273, 3.610835]"
Poland,Legal,2017-07-31,"[3.747273, 3.610835]"
Poland,Legal,2022-01-15,"[4.084509, 4.013855]"
Portugal,Legal,2022-01-15,"[nan, nan]"
Qatar,Legal /  Banking ban,2020-06-07,"[nan, nan]"
